,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,68.06,71.88,66.31,69.13,12824100.0,0.0,0.0,0.0,0.0,69.13,69.13,69.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,69.75,70.0,65.06,66.44,13243200.0,0.0,0.0,0.0,0.0,68.87380952380951,69.02450980392156,69.10323383084577,-0.21458689458688696,-0.042917378917377395,-0.17166951566950955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13243200.0
1999-11-03,68.19,68.5,65.0,65.81,10772100.0,0.0,0.0,0.0,0.0,68.58201814058955,68.89845059592464,69.07046533501646,-0.430521505507258,-0.12043820423535352,-0.3100833012719045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24015300.0
1999-11-04,67.19,67.19,61.0,63.06,16759200.0,0.0,0.0,0.0,0.0,68.0561116510096,68.66949174902564,69.01065970979242,-0.8141680353678566,-0.25918417046185416,-0.5549838649060025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40774500.0
1999-11-05,64.75,65.5,62.25,64.94,11091400.0,0.0,0.0,0.0,0.0,67.75933911281821,68.52323717063248,68.97015563307806,-0.9554960227473259,-0.39844654091894854,-0.5570494818283773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29683100.0
1999-11-08,64.81,80.0,63.5,78.0,32339400.0,0.0,0.0,0.0,0.0,68.73464014969267,68.8948749286469,69.06000483075888,-0.013510872999077606,-0.32145940733497436,0.30794853433589675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2656300.0
1999-11-09,80.88,83.06,70.0,70.81,26477100.0,0.0,0.0,0.0,0.0,68.93229346876956,68.96997787262153,69.07741771801501,0.15110439672389475,-0.22694664652320054,0.37805104324709526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23820800.0
1999-11-10,71.56,75.0,70.13,72.0,11506700.0,0.0,0.0,0.0,0.0,69.22445599555341,69.08880226977362,69.10649813873128,0.37328326164390546,-0.10690066488977935,0.4801839265336848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12314100.0
1999-11-11,74.75,75.0,71.38,73.0,9293900.0,0.0,0.0,0.0,0.0,69.58403161502451,69.24218257291976,69.1452394507837,0.6228731613773135,0.039054100363639224,0.5838190610136743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3020200.0
1999-11-12,73.75,75.0,70.81,74.94,10319600.0,0.0,0.0,0.0,0.0,70.09412384216503,69.46562639358957,69.20289875973114,0.9660803687310988,0.22445935403713116,0.7416210146939677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7299400.0
1999-11-15,75.63,76.0,73.31,73.5,6437200.0,0.0,0.0,0.0,0.0,70.41849300005408,69.62383712325273,69.24565598600248,1.109093646643828,0.4013862125584705,0.7077074340853574,0.0,0.0,0.0,0.0,6.32142340517865,0.0,0.0,0.0,0.0,862200.0
1999-11-16,74.25,79.63,73.75,78.94,15238700.0,0.0,0.0,0.0,0.0,71.23006509528703,69.98917684390949,69.34211712047012,1.642461956727658,0.6496013613923081,0.9928605953353499,0.0,0.0,0.0,0.0,18.81396748946418,0.0,0.0,0.0,0.0,16100900.0
1999-11-17,77.94,80.0,75.44,76.5,6657400.0,0.0,0.0,0.0,0.0,71.73196365764065,70.24450324218755,69.41333983568933,1.8469817215314919,0.8890774334201449,0.957904288111347,0.0,0.0,0.0,0.0,16.243731955629848,0.0,0.0,0.0,0.0,9443500.0
1999-11-18,76.75,78.19,75.25,77.94,5810400.0,0.0,0.0,0.0,5.857857142857142,72.32320521405582,70.54628742876844,69.49818222538397,2.1010415746224567,1.1314702616606074,0.9695713129618493,0.0,0.0,0.0,0.0,23.596574690770677,0.0,27.508840385318873,7.401536398000237,0.0,15253900.0
