,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2020-09-23,5.26169684,5.31871676,3.42738406,3.49239417,259345915.76437584,0.0,0.0,0.0,0.0,3.49239417,3.49239417,3.49239417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-24,3.50985308,4.74891792,3.46776992,4.56141765,166552062.37062702,0.0,0.0,0.0,0.0,3.5942059299999998,3.5343166594117648,3.5030312195522386,0.08527822632478621,0.01705564526495724,0.06822258105982897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166552062.37062702
2020-09-25,4.58848359,4.94671273,4.21894508,4.6928521,141296659.96686673,0.0,0.0,0.0,0.0,3.6988388985714282,3.579749421787774,3.5148702332880375,0.16160461929919379,0.04596544007180455,0.11563917922738923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307848722.3374938
2020-09-26,4.70477691,4.7893472,4.3654136,4.54030376,89634159.000846,0.0,0.0,0.0,0.0,3.778978409183673,3.6174182193647244,3.5250735519617886,0.20739375340393806,0.07825110273823126,0.1291426506657068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218214563.33664778
2020-09-27,4.52385882,4.70054413,4.13222561,4.62995796,60391730.73216864,0.0,0.0,0.0,0.0,3.86002408068999,3.657125660173951,3.5360674266686365,0.24805687153837974,0.11221225649826096,0.1358446150401188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278606294.0688164
2020-09-28,4.64658721,4.65097996,4.20751049,4.20751049,50731591.17662078,0.0,0.0,0.0,0.0,3.8931180244338,3.678709378990659,3.5427484521744215,0.2433890676660666,0.1384476187318221,0.10494144893424451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227874702.89219564
2020-09-29,4.20116579,4.27865431,3.97478419,4.13849168,45290933.5975351,0.0,0.0,0.0,0.0,3.9164869440115333,3.6967400574616134,3.548676245486119,0.23145251776421327,0.15704859853830033,0.07440391922591294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182583769.29466054
2020-09-30,4.13623096,4.39931438,4.00892955,4.32400644,42680912.11065201,0.0,0.0,0.0,0.0,3.9552983245818636,3.7213387391297856,3.55639097378974,0.2342617826814024,0.17249123536692076,0.061770547314481644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225264681.40531254
2020-10-01,4.32449114,4.49596385,4.04901317,4.14963956,51142674.88924398,0.0,0.0,0.0,0.0,3.973807013669305,3.738134849752147,3.5622939447968074,0.21988351510733217,0.18196969131500307,0.037913823792329104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174122006.51606855
2020-10-02,4.15390618,4.20283865,3.71019789,3.91323877,54366457.2798999,0.0,0.0,0.0,0.0,3.9680386095103235,3.7450016701540236,3.565785933107287,0.18725451293269257,0.18302665563854098,0.0042278572941515935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119755549.23616865
