,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,2140.0,2170.0,2063.0,2087.0,21600.0,0.0,0.0,0.0,0.0,2087.0,2087.0,2087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,2099.0,2181.0,2099.0,2141.0,18200.0,0.0,0.0,0.0,0.0,2092.1428571428573,2089.1176470588234,2087.537313432836,4.307692307692378,0.8615384615384756,3.4461538461539023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18200.0
1999-11-03,2146.0,2187.0,2141.0,2153.0,16000.0,0.0,0.0,0.0,0.0,2097.9387755102043,2091.622837370242,2088.18868344843,8.590839360070277,2.407398641244836,6.183440718825441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34200.0
1999-11-04,2163.0,2194.0,2149.0,2163.0,9800.0,0.0,0.0,0.0,0.0,2104.1350826044704,2094.4219417870954,2088.9330746578985,12.646400847146197,4.455199082425109,8.191201764721088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44000.0
1999-11-05,2210.0,2219.0,2116.0,2131.0,9400.0,0.0,0.0,0.0,0.0,2106.6936461659493,2095.8563754425036,2089.3516510294617,13.127009979788,6.189561261897687,6.937448717890312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34600.0
1999-11-08,2120.0,2120.0,2031.0,2088.0,12200.0,0.0,0.0,0.0,0.0,2104.9132989120494,2095.5482822878957,2089.338201765487,9.923760611005491,6.936401131719248,2.9873594792862432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22400.0
1999-11-09,2070.0,2075.0,2000.0,2014.0,9100.0,0.0,0.0,0.0,0.0,2096.254889491854,2092.3503104334686,2088.5885679170747,1.397867109982144,5.828694327371828,-4.430827217389684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13300.0
1999-11-10,1975.0,2009.0,1957.0,1985.0,14100.0,0.0,0.0,0.0,0.0,2085.6591857307253,2088.1404943380385,2087.557835897999,-7.611284403468744,3.1406985812037136,-10.751982984672457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-800.0
1999-11-11,1975.0,1996.0,1942.0,1958.0,11100.0,0.0,0.0,0.0,0.0,2073.501168042085,2083.0369455404684,2086.268703202497,-16.736844313967595,-0.8348099978305482,-15.902034316137046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11900.0
1999-11-12,1950.0,2026.0,1935.0,1968.0,19400.0,0.0,0.0,0.0,0.0,2063.4534377523623,2078.5256927741757,2085.091900185557,-22.898045448245284,-5.247457087913495,-17.65058836033179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0
1999-11-15,1935.0,1945.0,1900.0,1940.0,27500.0,0.0,0.0,0.0,0.0,2051.6959674902328,2073.0933126653845,2083.648199686198,-29.697869180818998,-10.137539506494596,-19.5603296743244,0.0,0.0,0.0,0.0,-7.043603258265452,0.0,0.0,0.0,0.0,-20000.0
1999-11-16,1950.0,1950.0,1898.0,1901.0,15500.0,0.0,0.0,0.0,0.0,2037.3439705864012,2066.344555305958,2081.8308046644447,-37.798040262683344,-15.669639657732347,-22.128400604950997,0.0,0.0,0.0,0.0,-11.209715086408224,0.0,0.0,0.0,0.0,-35500.0
1999-11-17,1892.0,1925.0,1882.0,1894.0,24600.0,0.0,0.0,0.0,0.0,2023.6921638638867,2059.5859452939594,2079.961841433953,-44.27198580815934,-21.390108887817746,-22.881876920341597,0.0,0.0,0.0,0.0,-12.029725963771487,0.0,0.0,0.0,0.0,-60100.0
