,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,107.5,107.6,106.5,106.5,559800.0,0.0,0.0,0.0,0.0,106.5,106.5,106.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,107.0,107.7,105.7,105.7,975300.0,0.0,0.0,0.0,0.0,106.42380952380952,106.46862745098039,106.49203980099503,-0.06381766381765885,-0.012763532763531772,-0.05105413105412708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-975300.0
1999-11-03,106.8,106.8,105.8,106.2,1025500.0,0.0,0.0,0.0,0.0,106.40249433106575,106.45809304113803,106.48913393232841,-0.0732039512666347,-0.02485161646415236,-0.04835233480248234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50200.0
1999-11-04,107.0,107.4,106.1,106.6,578600.0,0.0,0.0,0.0,0.0,106.42130439477377,106.46365801991693,106.49023707728037,-0.04781481520794273,-0.029444256212910434,-0.018370558995032295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628800.0
1999-11-05,108.0,108.3,106.9,107.5,1139100.0,0.0,0.0,0.0,0.0,106.52403730955722,106.50429888188098,106.50028446954624,0.04441672803129393,-0.014672059364069564,0.059088787395363496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1767900.0
1999-11-08,106.4,107.6,106.4,107.4,628600.0,0.0,0.0,0.0,0.0,106.60746232769462,106.53942441592487,106.5092368628841,0.10819452711581334,0.00990125793190702,0.09829326918390632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1139300.0
1999-11-09,107.9,107.9,106.0,106.3,668000.0,0.0,0.0,0.0,0.0,106.57818020124752,106.5300352231435,106.50715490404943,0.06918061440862289,0.021757129227250194,0.047423485181372696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471300.0
1999-11-10,105.6,106.8,105.4,106.0,825600.0,0.0,0.0,0.0,0.0,106.52311542017632,106.50924952811827,106.50210858659621,0.013894151582093173,0.020184533698218793,-0.00629038211612562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-354300.0
1999-11-11,106.3,106.6,105.6,106.1,727400.0,0.0,0.0,0.0,0.0,106.48281871349286,106.4932005270156,106.49810750613257,-0.0216025831290807,0.011827110332758895,-0.03342969346183959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373100.0
1999-11-12,107.0,108.1,105.5,108.1,818200.0,0.0,0.0,0.0,0.0,106.63683597887449,106.5562122710542,106.51404673492728,0.11037692765992801,0.03153707379819272,0.0788398538617353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191300.0
1999-11-15,107.9,108.2,107.3,107.8,573400.0,0.0,0.0,0.0,0.0,106.74761350469596,106.60498826042463,106.52684228980362,0.1885901976210107,0.06294769856275632,0.12564249905825436,0.0,0.0,0.0,0.0,1.2206572769952961,0.0,0.0,0.0,0.0,617900.0
1999-11-16,108.4,110.0,107.6,109.9,1382000.0,0.0,0.0,0.0,0.0,107.04784078996302,106.73420440707466,106.56040604811405,0.4152405920620623,0.13340627726261753,0.28183431479944476,0.0,0.0,0.0,0.0,3.9735099337748325,0.0,0.0,0.0,0.0,1999900.0
1999-11-17,109.4,109.7,109.0,109.2,433900.0,0.0,0.0,0.0,0.0,107.25280833377606,106.83090227346389,106.58667066455072,0.5322431450621963,0.21317365082253328,0.319069494239663,0.0,0.0,0.0,0.0,2.824858757062154,0.0,0.0,0.0,0.0,1566000.0
1999-11-18,109.9,110.7,109.6,110.5,645300.0,0.0,0.0,0.0,1.5,107.56206468294025,106.97478845881825,106.62560926490346,0.7215500666997627,0.3148489339979792,0.40670113270178354,0.0,0.0,0.0,0.0,3.658536585365857,0.0,28.095238095238123,10.95238095238094,0.0,2211300.0
1999-11-19,109.9,110.5,109.6,110.0,327800.0,0.0,0.0,0.0,1.4857142857142864,107.7942489988507,107.09342420553126,106.65918529211835,0.821758622778205,0.4162308717540244,0.4055277510241806,65.76576576576576,0.0,0.0,0.0,2.3255813953488413,0.0,28.365384615384627,11.057692307692289,0.0,1883500.0
1999-11-22,110.0,111.2,109.8,111.1,324000.0,0.0,0.0,0.0,1.4428571428571442,108.10908242753159,107.2505448249222,106.70337250314205,0.978654116882069,0.5287155207796334,0.4499385961024357,73.68421052631578,0.0,0.0,0.0,3.445065176908746,0.0,32.673267326732685,7.425742574257418,0.0,2207500.0
1999-11-23,111.2,111.2,109.8,110.1,362000.0,0.0,0.0,0.0,1.4642857142857164,108.29869362490953,107.36228816512133,106.73716979166801,1.0106531038080817,0.625103037385323,0.3855500664227587,66.38655462184872,0.0,0.0,0.0,3.5747883349012133,0.0,32.195121951219505,7.317073170731696,0.0,1845500.0
1999-11-24,109.6,110.5,109.5,110.1,251600.0,0.0,0.0,0.0,1.4428571428571442,108.47024661301339,107.46964941354794,106.77063078876584,1.0242061208719662,0.7049236540826517,0.3192824667893145,65.21739130434783,0.0,0.0,0.0,3.8679245283018915,0.0,29.702970297029673,8.910891089108889,0.0,1845500.0
1999-11-26,110.7,110.7,109.4,109.4,165100.0,0.0,0.0,0.0,1.414285714285715,108.55879455463116,107.54534943654606,106.79679366648958,0.9673122610687841,0.7574013754798782,0.20991088558890592,58.407079646017735,0.0,0.0,0.0,3.1102733270499616,0.0,26.76767676767681,9.090909090909072,0.0,1680400.0
1999-11-29,109.6,109.9,109.0,109.5,390700.0,111.2,105.4,108.30000000000001,1.3928571428571448,108.64843316847582,107.62200239981877,106.8236912419474,0.9196910061110941,0.7898593016061214,0.12983170450497272,59.29203539823008,111.78476307666061,104.6152369233394,0.0662617943929872,1.295097132284928,0.0,27.1794871794872,8.71794871794872,640095.0,2071100.0
1999-11-30,109.5,110.5,108.2,108.7,620000.0,111.2,105.4,108.30000000000001,1.4214285714285728,108.65334429528765,107.66427681551215,106.8423609808335,0.808082433068904,0.793503927898678,0.014578505170226075,60.90909090909096,111.8091126694755,104.81088733052448,0.0646129197576495,0.8348794063079756,0.0,26.63316582914576,10.55276381909544,643105.0,1451100.0
1999-12-01,108.7,110.1,108.7,110.1,435500.0,111.2,105.4,108.30000000000001,1.4214285714285728,108.79112102906979,107.75979537176659,106.87477529943219,0.8231118139268006,0.7994255051043025,0.023686308822498003,66.94214876033061,111.88863380746271,105.17136619253732,0.061893187274720256,0.18198362147405778,0.0,26.63316582914576,7.5376884422110475,616115.0,1886600.0
1999-12-02,110.2,110.8,110.1,110.6,266100.0,111.2,105.4,108.30000000000001,1.4000000000000017,108.96339521677743,107.8711759454228,106.91184221187565,0.8653928181439312,0.8126189677122283,0.05277385043170291,68.00000000000004,112.04177603637974,105.45822396362026,0.060538409864455064,1.2820512820512775,0.0,30.61224489795922,7.653061224489786,578145.0,2152700.0
1999-12-03,111.8,113.4,111.8,113.0,862700.0,113.4,105.4,109.4,1.414285714285717,109.34783376756053,108.07230630050427,106.97242089633461,1.0801099260844893,0.8661171593866805,0.21399276669780876,68.99224806201556,112.70787097945455,105.43212902054546,0.0667070868149729,2.262443438914019,0.0,35.858585858585904,7.575757575757561,592350.0,3015400.0
1999-12-06,113.0,113.1,112.0,112.3,304000.0,113.4,105.4,109.4,1.4285714285714306,109.62899245636429,108.23809821028841,107.02543163368452,1.180186179586812,0.9289309634267069,0.25125521616010515,66.91729323308273,113.1400199257417,105.47998007425828,0.07007629541197895,2.090909090909099,0.0,35.00000000000002,7.4999999999999885,550595.0,2711400.0
1999-12-07,112.6,112.8,111.2,111.2,505300.0,113.4,105.4,109.4,1.3714285714285726,109.77861222242483,108.35425122164966,107.06696962737921,1.157394797805594,0.9746237303024844,0.18277106750310967,55.28455284552845,113.30802476772126,105.69197523227874,0.06955296379399568,0.09000900090010422,0.0,27.083333333333403,11.979166666666643,544430.0,2206100.0
1999-12-08,111.0,111.9,110.5,110.5,454800.0,113.4,105.4,109.4,1.4071428571428584,109.84731582028913,108.43839823256536,107.10112913357445,1.070508161962124,0.9938006166344123,0.07670754532771162,55.28455284552845,113.2271160434591,106.19288395654091,0.06411659909687535,0.36330608537693543,51.62464260455702,26.39593908629448,15.22842639593907,533770.0,1751300.0
1999-12-09,111.5,112.2,110.5,111.4,832800.0,113.4,105.5,109.45,1.4214285714285728,109.99519050407112,108.55453947834711,107.14390396806624,1.0620299354527134,1.0074464803980725,0.054583455054640906,53.781512605042046,113.10517788967361,106.85482211032642,0.056831749221196465,1.180744777475029,49.91732553138629,22.613065326633215,15.075376884422095,534130.0,2584100.0
1999-12-10,112.2,113.0,111.2,112.5,472000.0,113.4,105.5,109.45,1.4857142857142864,110.23374378939768,108.70926342037272,107.19719845594618,1.1310338327977263,1.0321639508780034,0.0988698819197229,60.00000000000002,113.03918927690953,107.56081072309047,0.04966798326218546,2.833638025594154,48.7607829848937,25.480769230769273,14.423076923076916,521360.0,3056100.0
1999-12-13,111.7,112.7,111.6,112.2,570900.0,113.4,107.3,110.35,1.4642857142857153,110.42100628564552,108.84615505094635,107.24697757578751,1.148275816953543,1.0553863240931114,0.09288949286043158,54.70085470085475,113.16343246254141,107.84656753745858,0.048114247546109455,2.465753424657535,45.76718788603545,22.43902439024393,14.634146341463403,508995.0,2485200.0
1999-12-14,111.6,112.6,111.5,111.8,536300.0,113.4,107.6,110.5,1.442857142857143,110.55233902034594,108.96199210777199,107.29228128150108,1.1167898977940922,1.0676670388333076,0.04912285896078461,57.65765765765768,113.09486896800007,108.31513103199995,0.04317544768529079,2.8518859245630024,42.66129906586092,22.77227722772281,15.346534653465316,507140.0,1948900.0
1999-12-15,111.4,112.9,111.3,112.3,465700.0,113.4,108.2,110.80000000000001,1.4857142857142864,110.71878292317014,109.09289437805545,107.34210932845131,1.1192805320960133,1.0779897374858487,0.041290794610164605,59.48275862068969,113.2846747752496,108.3653252247504,0.04438844620346665,1.9981834695731227,40.76319716775904,23.557692307692392,13.461538461538442,461325.0,2414600.0
1999-12-16,112.7,112.7,111.4,112.4,623500.0,113.4,108.2,110.80000000000001,1.4857142857142864,110.87889883524917,109.2225847946023,107.39243659881498,1.1164537580351777,1.0856825415957145,0.030771216439463123,63.63636363636363,113.41574604098999,108.55425395900998,0.043803145307744325,1.627486437613035,39.05159421671947,22.596153846153914,13.461538461538442,470805.0,3038100.0
1999-12-17,112.8,114.0,112.8,112.8,472700.0,114.0,108.2,111.1,1.5357142857142858,111.06186085093972,109.36287558697084,107.44624319982181,1.133424761172293,1.0952309855110303,0.0381937756612627,64.60176991150442,113.64889036744663,108.55110963255336,0.045884615075546926,-0.1769911504424848,38.43934931876031,27.906976744186114,11.162790697674378,462175.0,3510800.0
1999-12-20,113.3,113.3,111.1,111.4,521700.0,114.0,108.2,111.1,1.528571428571429,111.09406457942166,109.44276281885435,107.48558406350517,1.022123697975772,1.0806095280039787,-0.05848583002820673,61.34453781512607,113.66808347591319,108.67191652408678,0.04494168347419637,-0.8014247551202058,37.424278948851224,28.037383177570153,15.420560747663533,471870.0,2989100.0
1999-12-21,111.1,112.7,110.9,112.1,773700.0,114.0,108.2,111.1,1.557142857142858,111.18986795281008,109.54696819850712,107.53149864993796,0.9791143328163798,1.060310488966459,-0.08119615615007914,58.92857142857144,113.7519848673363,108.6880151326637,0.04553110712706897,0.8093525179855954,35.312381558316076,27.522935779816564,16.05504587155956,494355.0,3762800.0
1999-12-22,112.3,112.7,111.9,112.2,407800.0,114.0,108.2,111.1,1.5642857142857147,111.2860710049234,109.65100866131077,107.57795139968982,0.9422367466337533,1.036695740499918,-0.09445899386616463,57.407407407407455,113.8355042479443,108.8144957520557,0.045102254622848365,1.538461538461533,32.48770623364077,24.20091324200918,15.981735159817282,496645.0,4170600.0
1999-12-23,113.0,114.5,113.0,114.5,524600.0,114.5,108.2,111.35,1.528571428571428,111.59215948064498,109.84116518439663,107.64682750516555,1.0860820936800337,1.0465730111359413,0.039509082544092466,57.00934579439252,114.35661126309022,108.73338873690979,0.05041214331597496,2.7827648114901127,28.729400585800246,21.028037383177576,16.355140186915825,510295.0,4695200.0
1999-12-27,114.6,114.9,113.9,114.1,450400.0,114.9,108.2,111.55000000000001,1.5214285714285711,111.83100143486926,110.00817831442029,107.71103817675595,1.1544956038310517,1.0681575296749635,0.08633807415608818,58.65384615384615,114.62223781367298,108.93776218632702,0.05085413873095331,1.4222222222222136,25.298028036780646,23.004694835680784,16.431924882629044,524560.0,4244800.0
1999-12-28,113.8,115.3,113.8,115.1,769600.0,115.3,108.2,111.75,1.5142857142857145,112.14233463154838,110.20785759620773,107.78456018494744,1.274711367011136,1.109468297142198,0.165243069868938,68.93203883495141,115.05571623981184,109.06428376018813,0.053466290198319756,2.584670231729058,24.857551846304457,24.999999999999986,12.735849056603717,543505.0,5014400.0
1999-12-29,115.5,115.6,114.7,114.9,273900.0,115.6,108.7,112.15,1.4785714285714278,112.40496942854378,110.39186318067017,107.85536058111713,1.3384164650352801,1.1552579307208146,0.1831585343144655,72.4489795918368,115.17908301202007,109.56091698797994,0.0499970278903634,2.7728085867620766,26.324634186300795,27.053140096618343,9.661835748792209,526200.0,4740500.0
1999-12-30,115.5,115.7,114.4,114.5,494700.0,115.7,110.1,112.9,1.4499999999999988,112.60449614963484,110.55296658534978,107.92147639623039,1.3411664254241629,1.1924396296614843,0.14872679576267855,66.66666666666666,115.33908597250233,109.84091402749765,0.04883357265303034,1.9590382902938686,27.71561162990983,26.10837438423646,11.33004926108367,529160.0,4245800.0
1999-12-31,114.7,115.6,114.4,115.2,549000.0,115.7,110.5,113.1,1.4071428571428553,112.85168699252677,110.73520318984588,107.99389951666592,1.3838774607667546,1.2307271958825383,0.15315026488421624,65.16853932584273,115.63694123025942,110.00305876974059,0.04993691243147344,2.491103202846978,28.047190044408175,22.84263959390866,11.67512690355323,543305.0,4794800.0
2000-01-03,116.03,116.03,113.0,113.5,1278800.0,116.03,110.5,113.265,1.5449999999999977,112.9134310884766,110.84362659416566,108.04868658615183,1.2659573037187215,1.237773217449775,0.028184086268946418,56.310679611650464,115.67749936126691,110.01250063873309,0.050201592649508825,0.6205673758865382,27.240294757410194,20.80443828016647,17.105871474803486,564110.0,3516000.0
2000-01-04,112.3,113.0,109.8,109.8,1535700.0,116.03,109.8,112.91499999999999,1.7307142857142839,112.61691384195501,110.80270006106112,108.06611259026973,0.8639861572711993,1.16301580541406,-0.2990296481428607,42.64705882352941,115.85795105795228,109.58204894204772,0.05567691728091339,-1.4362657091562037,27.302684958864855,18.572018159306666,28.064382996285612,625695.0,1980300.0
2000-01-05,110.0,112.0,109.0,111.8,2007000.0,116.03,109.0,112.515,1.8307142857142833,112.53911252367358,110.84180986258814,108.10326569882426,0.6987496618234559,1.0701625766959393,-0.3714129148724834,48.34437086092715,115.83783691960956,109.66216308039044,0.05477316043653317,-0.267618198037467,27.412744390958178,16.38704642996486,29.65275068279362,700780.0,3987300.0
2000-01-06,111.4,113.2,111.2,111.8,2639500.0,116.03,109.0,112.515,1.8807142857142836,112.46872085475229,110.8793859464082,108.14004912470661,0.5613279099846409,0.9683956433536797,-0.4070677333690388,47.99999999999997,115.75458464663552,109.87541535336445,0.05211336518433787,-0.35650623885918886,26.812011790225565,20.508925180402574,28.864413216862907,810015.0,3987300.0
