,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2003-04-14,100.3,101.0,100.3,101.0,10400.0,0.0,0.0,0.0,0.0,101.0,101.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-15,101.62,102.5,101.62,102.2,46800.0,0.0,0.0,0.0,0.0,101.11428571428571,101.04705882352941,101.01194029850747,0.09572649572649539,0.01914529914529908,0.0765811965811963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46800.0
2003-04-16,103.3,103.8,103.3,103.38,1000.0,0.0,0.0,0.0,0.0,101.33006802721088,101.13854671280276,101.0355030816069,0.2637660408600482,0.0680694474882489,0.1956965933717993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47800.0
2003-04-17,103.95,104.15,103.77,104.12,1900.0,0.0,0.0,0.0,0.0,101.59577583414318,101.2554664495556,101.06619459323271,0.45144641336230507,0.14474484066306015,0.3067015726992449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49700.0
2003-04-21,104.24,104.25,104.0,104.08,8100.0,0.0,0.0,0.0,0.0,101.83236861184383,101.36623247114166,101.09618270673289,0.5901538685892973,0.2338266462483076,0.3563272223409897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41600.0
2003-04-22,104.07,104.43,103.75,104.43,2200.0,0.0,0.0,0.0,0.0,102.07976207738251,101.4863802173714,101.12935501810868,0.7200226284555669,0.33106584268975947,0.3889567857658074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43800.0
2003-04-23,104.5,104.92,104.15,104.92,3500.0,0.0,0.0,0.0,0.0,102.3502609271556,101.62103197355292,101.16707287862502,0.8526545898498767,0.43538359212178296,0.4172709977280938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47300.0
2003-04-24,104.1,104.1,102.6,102.85,10000.0,0.0,0.0,0.0,0.0,102.39785512456936,101.66922679811947,101.18381842212129,0.7817234531662223,0.5046515643306708,0.27707188883555145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37300.0
2003-04-25,101.41,101.41,101.0,101.15,11400.0,0.0,0.0,0.0,0.0,102.27901177937228,101.6488649628991,101.18348192040865,0.581629560286828,0.5200471635219023,0.06158239676492572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25900.0
2003-04-28,101.41,102.82,101.4,102.82,10200.0,0.0,0.0,0.0,0.0,102.33053446705111,101.69479182709914,101.19976568239464,0.5514519569165088,0.5263281222008236,0.025123834715685245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36100.0
2003-04-29,104.41,105.8,104.41,105.75,8500.0,0.0,0.0,0.0,0.0,102.65619785114148,101.85381959858545,101.2450416457539,0.7552563764193394,0.5721137730445268,0.18314260337481258,0.0,0.0,0.0,0.0,4.702970297029707,0.0,0.0,0.0,0.0,44600.0
2003-04-30,105.5,105.59,105.18,105.45,25400.0,0.0,0.0,0.0,0.0,102.92227424627087,101.99484628099387,101.28688202738819,0.8823936694609529,0.634169752327812,0.24822391713314085,0.0,0.0,0.0,0.0,3.180039138943247,0.0,0.0,0.0,0.0,19200.0
2003-05-01,105.15,105.57,105.0,105.04,26100.0,0.0,0.0,0.0,0.0,103.1239624132927,102.11426407389607,101.32422648482712,0.9392403387162034,0.6951838696054904,0.244056469110713,0.0,0.0,0.0,0.0,1.605726446121114,0.0,0.0,0.0,0.0,-6900.0
2003-05-02,105.38,106.65,105.38,106.65,7500.0,0.0,0.0,0.0,1.2742857142857136,103.45977551678864,102.29213607099818,101.37721925612237,1.1015077822784036,0.7764486521400731,0.32505913013833054,0.0,0.0,0.0,0.0,2.4298885900883693,0.0,51.625560538116666,20.067264573991114,0.0,600.0
2003-05-05,107.05,107.82,107.05,107.8,5300.0,0.0,0.0,0.0,1.307857142857141,103.87313022947544,102.50813073488061,101.44112752223062,1.3078254912541638,0.8827240199628913,0.4251014712912725,71.46464646464648,0.0,0.0,0.0,3.5741737125288164,0.0,56.690333151283504,19.552157291097856,0.0,5900.0
2003-05-06,107.8,108.48,107.7,108.35,12200.0,0.0,0.0,0.0,1.2564285714285697,104.2994987790492,102.73722364723824,101.50987252200942,1.4984410696111894,1.005867429892551,0.49257363971863843,70.24358130348914,0.0,0.0,0.0,3.753710619553763,0.0,54.235361000568616,20.352472996020566,0.0,18100.0
2003-05-07,107.9,108.17,107.81,108.15,34800.0,0.0,0.0,0.0,1.1807142857142838,104.66621318104451,102.94948938656223,101.57594344218843,1.614753091747204,1.1276445622634816,0.4871085294837223,66.78395496129492,0.0,0.0,0.0,3.0785360274494966,0.0,49.848759830611144,21.657592256503438,0.0,-16700.0
