,open,high,low,close,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di
2007-01-12,155.36,155.86,155.1,155.51,0.0,0.0,0.0,0.0,155.51,155.51,155.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-15,155.77,155.85,155.67,155.79,0.0,0.0,0.0,0.0,155.53666666666666,155.52098039215687,155.51278606965175,0.022336182336175625,0.004467236467235125,0.0178689458689405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-16,155.79,156.34,155.68,155.88,0.0,0.0,0.0,0.0,155.56936507936507,155.53505959246445,155.51643993960548,0.04676098408293683,0.012925985990375467,0.033834998092561366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-17,155.86,156.22,155.5,156.11,0.0,0.0,0.0,0.0,155.62085411942553,155.5576062751129,155.52234600985815,0.08371191440778603,0.02708317167385758,0.05662874273392844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-18,156.05,157.35,155.96,157.13,0.0,0.0,0.0,0.0,155.76458229852787,155.61926877412807,155.538342566974,0.19307561293112485,0.06028165992531104,0.13279395300581381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-19,157.13,157.67,156.85,157.12,0.0,0.0,0.0,0.0,155.89366969866808,155.67812097906423,155.55408045187974,0.27576140963256535,0.10337760986676191,0.17238379976580342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-22,157.1,157.63,157.03,157.55,0.0,0.0,0.0,0.0,156.05141544165207,155.75152799949308,155.57394034788095,0.3717031431207829,0.1570427165175661,0.2146604266032168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-23,157.53,158.5,157.33,158.46,0.0,0.0,0.0,0.0,156.28080444720902,155.85774258774825,155.60265735934482,0.5152278272711328,0.22867973866827945,0.28654808860285336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-24,158.45,158.61,156.45,157.19,0.0,0.0,0.0,0.0,156.36739449985578,155.909987976464,155.6184518134807,0.5204938581322835,0.2870425625610803,0.23345129557120325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-25,157.18,157.18,155.77,156.78,0.0,0.0,0.0,0.0,156.4066902617743,155.94410609503404,155.6300095068789,0.4859815591416634,0.32683036187719694,0.15915119726446647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-26,156.78,157.41,156.55,156.94,0.0,0.0,0.0,0.0,156.45748166541483,155.98316075797388,155.64304423815375,0.4661672900277267,0.35469774750730293,0.11146954252042379,0.0,0.0,0.0,0.0,0.919555012539397,0.0,0.0,0.0
2007-01-29,156.99,158.0,156.88,157.75,0.0,0.0,0.0,0.0,156.58057864966105,156.05244857138666,155.66400897210247,0.5099462268754564,0.38574744338093364,0.12419878349452279,0.0,0.0,0.0,0.0,1.2581038577572423,0.0,0.0,0.0
