,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2000-07-14,18.75,18.88,18.75,18.88,25000.0,0.0,0.0,0.0,0.0,18.88,18.88,18.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-07-17,19.94,20.0,19.94,20.0,10000.0,0.0,0.0,0.0,0.0,18.986666666666665,18.92392156862745,18.891144278606966,0.08934472934473092,0.017868945868946187,0.07147578347578473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2000-07-18,19.94,19.94,19.94,19.94,10000.0,0.0,0.0,0.0,0.0,19.077460317460314,18.96376778162245,18.90158065394421,0.15353966282741283,0.04500308926063952,0.1085365735667733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-07-19,19.44,19.44,19.44,19.44,10000.0,0.0,0.0,0.0,0.0,19.11198790627362,18.98244355489216,18.906938060372628,0.16219905899957254,0.06844228320842613,0.09375677579114641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10000.0
2000-07-20,19.88,19.88,19.88,19.88,5000.0,0.0,0.0,0.0,0.0,19.18513191519994,19.017641846857174,18.91662026872713,0.20223477897491549,0.09520078236172401,0.10703399661319148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0
2000-07-21,20.0,20.0,20.0,20.0,200.0,0.0,0.0,0.0,0.0,19.262738399466613,19.05616569600003,18.92740016655074,0.24086977577639956,0.12433458104465914,0.11653519473174043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4800.0
2000-07-24,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,19.332953789993603,19.093178805960815,18.93807280170944,0.26839440545532156,0.15314654592679164,0.11524785952852992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4800.0
2000-07-25,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,19.396482000470403,19.128740421413333,18.948639241493424,0.2869006605547,0.1798973688523733,0.10700329170232667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4800.0
2000-07-26,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,19.453959905187507,19.16290746371085,18.959100542573093,0.29813034007068495,0.20354396309603565,0.0945863769746493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4800.0
2000-07-27,19.75,19.75,19.75,19.75,100.0,0.0,0.0,0.0,0.0,19.482154199931554,19.185930700428074,18.96697018891565,0.2835880053316906,0.21955277154316666,0.06403523378852394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4900.0
