,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2004-10-08,53.7,54.05,53.6,53.66,577900.0,0.0,0.0,0.0,0.0,53.66,53.66,53.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-11,54.3,54.4,54.08,54.33,344900.0,0.0,0.0,0.0,0.0,53.72380952380952,53.68627450980392,53.666666666666664,0.053447293447298705,0.010689458689459742,0.04275783475783897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344900.0
2004-10-12,53.6,53.85,53.38,53.7,248200.0,0.0,0.0,0.0,0.0,53.72154195011338,53.68681276432142,53.66699834162521,0.044456457333957644,0.017442858418359325,0.02701359891559832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96700.0
2004-10-13,53.0,53.31,52.2,52.32,369100.0,0.0,0.0,0.0,0.0,53.58806176438829,53.633212263759795,53.65359537305183,-0.0731797414139237,-0.0006816615480972787,-0.07249807986582642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272400.0
2004-10-14,51.96,52.1,51.45,51.62,119800.0,0.0,0.0,0.0,0.0,53.40062731063703,53.554262763220194,53.633360593220466,-0.220351353066377,-0.04461559985175322,-0.17573575321462376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392200.0
2004-10-15,52.05,52.64,52.03,52.4,234500.0,0.0,0.0,0.0,0.0,53.30532947152874,53.5089975568194,53.621088348511805,-0.2709233980582866,-0.0898771594930599,-0.18104623856522667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-157700.0
2004-10-18,51.89,51.95,51.62,51.75,186800.0,0.0,0.0,0.0,0.0,53.157202855192665,53.440017260473546,53.602470553999254,-0.35930977635042893,-0.14376368286453373,-0.2155460934858952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-344500.0
2004-10-19,52.39,52.46,52.01,52.06,158400.0,0.0,0.0,0.0,0.0,53.05270734517432,53.38589893653341,53.58712258828782,-0.399734320296119,-0.19495781035085077,-0.20477650994526822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-186100.0
2004-10-20,51.35,51.47,50.88,51.4,229000.0,0.0,0.0,0.0,0.0,52.89530664563391,53.308020546865436,53.565360174474016,-0.4795001673157202,-0.2518662817438247,-0.2276338855718955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-415100.0
2004-10-21,51.19,51.8,51.06,51.69,185500.0,0.0,0.0,0.0,0.0,52.78051553652592,53.244568760713854,53.5466998742305,-0.5133964842989869,-0.30417232225485713,-0.20922416204412975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-229600.0
2004-10-22,51.75,51.78,51.05,51.1,121100.0,0.0,0.0,0.0,0.0,52.62046643780916,53.16046802499959,53.5223546018501,-0.5811682826841817,-0.3595715143407221,-0.22159676834345965,0.0,0.0,0.0,0.0,-4.77077897875512,0.0,0.0,0.0,0.0,-350700.0
2004-10-25,50.8,50.86,50.52,50.75,139300.0,0.0,0.0,0.0,0.0,52.44232677706543,53.065939867156466,53.49476898392124,-0.6555630730693451,-0.4187698260864467,-0.23679324698289844,0.0,0.0,0.0,0.0,-6.589361310509845,0.0,0.0,0.0,0.0,-490000.0
2004-10-26,50.8,51.5,50.75,51.4,232200.0,0.0,0.0,0.0,0.0,52.343057560202055,53.00060889197386,53.47392551144441,-0.654526933649521,-0.46592124759906156,-0.1886056860504594,0.0,0.0,0.0,0.0,-4.283054003724407,0.0,0.0,0.0,0.0,-257800.0
2004-10-27,51.3,51.44,50.9,51.35,352800.0,0.0,0.0,0.0,0.8242857142857137,52.24848064970662,52.9358791315043,53.45279192426587,-0.6502447510995211,-0.5027859482991535,-0.1474588028003676,0.0,0.0,0.0,0.0,-1.8539755351681952,0.0,20.537261698440197,40.81455805892545,0.0,-610600.0
2004-10-28,51.8,51.8,50.2,50.6,571800.0,0.0,0.0,0.0,0.9064285714285708,52.09148249259171,52.84427602830805,53.42440593496969,-0.6993086280065057,-0.5420904842406239,-0.15721814376588183,31.914893617021306,0.0,0.0,0.0,-1.9759783029833278,0.0,18.67612293144207,42.631993695823425,0.0,-1182400.0
2004-10-29,51.25,51.5,51.24,51.49,145300.0,0.0,0.0,0.0,0.9178571428571419,52.034198445678214,52.79116716445284,53.40515811472124,-0.6587825073153297,-0.5654288888555651,-0.09335361845976464,33.64055299539173,0.0,0.0,0.0,-1.7366412213740356,0.0,15.719844357976637,42.10116731517506,0.0,-1037100.0
2004-11-01,51.54,51.55,51.3,51.4,121200.0,0.0,0.0,0.0,0.8678571428571422,51.973798593708864,52.73661158937626,53.38520629268422,-0.6267032673741966,-0.5776837645592914,-0.04901950281490519,35.87223587223586,0.0,0.0,0.0,-0.6763285024154575,0.0,17.037037037036995,38.76543209876541,0.0,-1158300.0
2004-11-02,52.3,52.74,52.09,52.24,154700.0,0.0,0.0,0.0,0.8564285714285711,51.999151108593736,52.717136625086994,53.373811205194826,-0.5274194951425528,-0.5676309106759437,0.040211415533390915,49.473684210526336,0.0,0.0,0.0,0.34575489819439476,0.0,27.189324437030855,29.44120100083399,0.0,-1003600.0
2004-11-03,52.76,53.12,52.7,53.07,234400.0,0.0,0.0,0.0,0.8571428571428567,52.10113671729909,52.73097440449535,53.37078820812821,-0.37741175911898495,-0.529587080364552,0.1521753212455671,59.37904269081502,0.0,0.0,0.0,3.2490272373540963,0.0,30.333333333333297,23.16666666666663,0.0,-769200.0
2004-11-04,52.7,53.25,52.48,53.13,187400.0,54.4,50.2,52.3,0.8392857142857137,52.19912369660394,52.746622467064164,53.36839230555977,-0.25079701711625546,-0.47382906771489275,0.2230320505986373,55.20684736091301,54.1306644910905,50.0153355089095,0.07902999600908336,2.785838653511319,0.0,26.38297872340423,25.531914893617035,245715.0,-581800.0
2004-11-05,53.18,53.4,53.06,53.31,239700.0,54.4,50.2,52.3,0.807857142857142,52.30492143978452,52.76871570364988,53.36781128759401,-0.13438037290197258,-0.40593932875230876,0.2715589558503362,61.926605504587165,54.06164293450996,50.04935706549006,0.07707707867602663,4.3248532289628105,0.0,28.73563218390801,22.90008841732979,228805.0,-342100.0
2004-11-08,53.31,53.39,52.85,53.0,251900.0,53.85,50.2,52.025000000000006,0.7957142857142847,52.37111939790028,52.77778567605577,53.3641514737871,-0.06636869583491745,-0.33802520216883053,0.2716565063339131,57.186544342507624,53.75100722861292,50.226992771387074,0.06778384768366089,4.4334975369458185,0.0,24.596050269299806,25.1346499102334,224155.0,-594000.0
2004-11-09,53.41,53.45,53.26,53.36,218400.0,53.45,50.2,51.825,0.7435714285714278,52.465298502862154,52.800617610328096,53.36411016559022,0.01639109327271626,-0.2671419430805212,0.28353303635323746,65.7051282051282,53.66989467158286,50.27410532841714,0.0653388236582336,3.8132295719844445,0.0,26.89721421709894,16.042267050912617,222665.0,-375600.0
2004-11-10,54.25,54.68,54.03,54.45,522200.0,54.68,50.2,52.44,0.7849999999999996,52.65431769306576,52.865299272668175,53.37491503956445,0.16799615774995402,-0.18011432291442617,0.3481104806643802,69.60227272727275,54.10392029426513,50.053079705734866,0.07778335759536592,6.037000973709827,0.0,33.66696997270243,15.195632393084646,230320.0,146600.0
2004-11-11,54.25,54.57,54.11,54.48,390700.0,54.68,50.2,52.44,0.7657142857142851,52.82819219848807,52.928620869818445,53.38591090981754,0.2872537306851086,-0.08664071219451921,0.3738944428796278,76.0802469135802,54.498804731937575,49.94419526806244,0.08721713209837209,7.66798418972332,0.0,34.51492537313431,15.485074626865652,243865.0,537300.0
2004-11-12,54.48,55.14,54.48,55.08,536700.0,55.14,50.2,52.67,0.7714285714285712,53.04265008434635,53.012988678845176,53.402767517680054,0.4252788521507114,0.01574320067452691,0.4095356514761845,82.16939078751854,54.96778252683358,49.74321747316643,0.09979018543738764,6.972227617012994,0.0,39.53703703703701,10.462962962962989,258975.0,1074000.0
2004-11-15,55.49,55.8,55.4,55.67,735400.0,55.8,50.2,53.0,0.769285714285714,53.292873885837174,53.11718520124341,53.425327044867316,0.5756372367502536,0.12772200788967225,0.4479152288605813,82.00899550224885,55.534435855124855,49.56856414487514,0.11352428970152546,8.307392996108964,28.97698534640652,39.832869080779886,10.492107706592414,286405.0,1809400.0
2004-11-16,54.79,54.8,54.43,54.55,424400.0,55.8,50.2,53.0,0.8192857142857142,53.41260018242411,53.17337401688092,53.43651782054028,0.5975346920718323,0.22168454472610427,0.375850147345728,70.67183462532293,55.7780360037274,49.5739639962726,0.11777796354041305,4.4218989280244925,29.064231990110546,37.40191804707928,18.308631211857033,299705.0,1385000.0
2004-11-17,55.05,55.59,54.99,55.32,372700.0,55.8,50.2,53.0,0.779285714285715,53.594257307907526,53.25755542798363,53.455258936753815,0.6693058073001623,0.3112087972409159,0.35809701005924643,80.41237113402053,56.12620278862177,49.61779721137823,0.12309739705786685,4.239683436970032,30.329630084985922,46.56278643446373,12.832263978001873,306890.0,1757700.0
2004-11-18,55.15,55.21,54.98,55.13,216500.0,55.8,50.2,53.0,0.7392857142857154,53.740518516678236,53.330984626886234,53.47192302693537,0.7027526262705024,0.3895175630468332,0.3132350632236692,75.77903682719541,56.39728527048672,49.69071472951329,0.12643410265012878,3.7643515904385527,31.10982258678344,49.08212560386464,13.623188405797185,308440.0,1541200.0
2004-11-19,54.91,54.95,54.32,54.41,456900.0,55.8,50.2,53.0,0.7792857142857156,53.80427865794697,53.37329895524364,53.48125712616985,0.6635129245946203,0.44431663535639065,0.21919628923822965,69.57087126137836,56.484621371796784,49.93437862820323,0.12310288094407121,2.0634027386981613,31.30640028304952,46.10449129239223,18.97341888175989,325230.0,1084300.0
2004-11-22,54.53,54.88,54.5,54.87,229300.0,55.8,50.2,53.0,0.7171428571428586,53.90577592861869,53.43199311386154,53.49507546322289,0.6619033244258219,0.48783397317027694,0.17406935125554496,67.98905608755123,56.55472199546991,50.27627800453008,0.11753974016792569,3.528301886792451,33.161600471869605,38.247011952191116,20.617529880478116,329730.0,1313600.0
2004-11-23,55.4,55.66,55.33,55.55,426000.0,55.8,50.2,53.0,0.7107142857142874,54.06236869732167,53.515052207435595,53.51552247353908,0.7073441980892881,0.5317360181540792,0.17560817993520883,67.31843575418988,56.74988242251137,50.49611757748864,0.11662467308846444,4.104197901049478,34.66118752472471,42.61306532663301,20.804020100502537,339420.0,1739600.0
2004-11-24,55.72,56.2,55.68,56.16,502900.0,56.2,50.2,53.2,0.7021428571428591,54.26214310710056,53.61877565028126,53.5418356827576,0.7835460883032397,0.5820980321839113,0.20144805611932837,69.64980544747074,56.99418531256589,50.732814687434114,0.11624514977919695,3.140495867768589,37.700738780283686,48.62665310274657,18.819938962360087,346925.0,2242500.0
2004-11-26,56.1,56.1,55.75,55.88,277500.0,56.2,51.24,53.72,0.7071428571428591,54.416224715948125,53.70745111497611,53.56510099934708,0.8119829414531594,0.628075014037761,0.1839079274153984,66.45326504481432,56.97734117747676,51.277658822523264,0.1053010457706987,2.569750367107204,39.95787197348994,46.76767676767667,18.686868686868653,332210.0,1965000.0
2004-11-29,56.23,56.23,55.77,55.85,499200.0,56.23,51.3,53.765,0.701428571428573,54.55277474300068,53.79147263987901,53.587836312786415,0.8226159980070591,0.6669832108316206,0.1556327871754385,68.92430278884461,57.006631338359675,51.68436866164033,0.09793382481933825,1.3979665940450303,43.36265536699174,48.47250509164957,16.70061099796331,349905.0,1465800.0
2004-11-30,56.05,56.05,55.75,55.8,347700.0,56.23,52.09,54.16,0.6907142857142868,54.67155810081014,53.87023841870729,53.609847891763664,0.8175835950449297,0.6971032876742824,0.1204803073706473,66.89750692520771,56.91000286504633,52.22099713495367,0.08593352448145183,0.23351895096102027,44.9711625155774,48.603929679420766,17.166494312306114,361230.0,1118100.0
2004-12-01,55.98,56.52,55.98,56.46,420600.0,56.52,52.48,54.5,0.6478571428571444,54.84188590073298,53.97179769640504,53.63820761423368,0.8569732098746599,0.7290772721143579,0.12789593776030195,64.80117820324001,56.99603314199652,52.55696685800348,0.08103961158513309,3.5013748854262117,45.179139561144225,43.439911797133355,18.30209481808159,374525.0,1538700.0
2004-12-02,56.86,56.86,56.5,56.5,476600.0,56.86,52.48,54.67,0.6435714285714299,54.9998015292346,54.07094288478132,53.66668316036071,0.8812588259392697,0.7595135828793403,0.1217452430599294,64.85294117647058,57.14225661791484,52.75374338208516,0.07986666003912203,2.1330441070137374,45.61114260508756,47.50277469478348,18.42397336293008,386635.0,2015300.0
2004-12-03,56.45,56.45,56.15,56.4,519600.0,56.86,52.85,54.855000000000004,0.6214285714285727,55.13315376454559,54.16227845792715,53.693880342844686,0.8822659744122348,0.7840640611859193,0.09820191322631544,60.47619047619044,57.22105994413399,53.00194005586601,0.07655607066162204,2.3036459278069854,43.580580574525534,42.64367816091947,23.103448275862082,403245.0,1495700.0
2004-12-06,56.48,56.5,56.3,56.39,362700.0,56.86,52.85,54.855000000000004,0.5842857142857157,55.25285340601744,54.24964008702805,53.720707404109916,0.8722030169547281,0.8016918523396811,0.07051116461504703,56.293706293706265,57.26831354730365,53.26268645269634,0.07247970423876209,3.6390369417386603,40.93973350628409,37.89731051344736,24.5721271393643,409395.0,1133000.0
2004-12-07,56.08,56.23,55.37,55.64,370500.0,56.86,53.26,55.06,0.5685714285714302,55.289724510206256,54.304164005183814,53.739804842874996,0.7945502381267175,0.8002635294970885,-0.00571329137037091,60.18691588785048,57.09658799065848,53.698412009341524,0.06134168475683836,1.403316930927656,40.08370979002202,38.94472361809036,24.748743718592973,415325.0,762500.0
2004-12-08,55.0,55.0,54.53,54.99,222900.0,56.86,54.03,55.445,0.5735714285714296,55.26117931875804,54.331059534392296,53.752244595682214,0.6728046109751205,0.7747717457926949,-0.10196713481757447,46.84512428298281,56.90023593359696,54.05776406640304,0.05123509557118769,-1.008100810081003,36.724817043108466,28.76712328767112,34.9937733499377,415550.0,539600.0
2004-12-09,54.95,55.0,54.1,54.93,361000.0,56.86,54.1,55.480000000000004,0.6135714285714293,55.22963843125727,54.35454739578868,53.76396355492916,0.5649662465574892,0.7328106459456538,-0.16784439938816464,48.03921568627449,56.86609400378615,54.13990599621386,0.049117849622043665,-2.1901709401709324,33.8718143277794,26.891734575087224,37.60186263096615,407490.0,178600.0
2004-12-10,54.2,54.2,53.8,54.03,213400.0,56.86,53.8,55.33,0.6364285714285722,55.115387152089916,54.341820046934224,53.76661068373584,0.40224426592763507,0.6666973699420501,-0.264453104014415,46.4015151515152,56.926998130695345,54.03400186930467,0.052144379762090784,-3.3106657122405125,31.666147896760872,25.925925925925835,32.21099887766555,398625.0,-34800.0
2004-12-13,54.0,54.12,53.75,54.04,201100.0,56.86,53.75,55.305,0.6292857142857144,55.012969328081354,54.3299839666623,53.76933097543996,0.2709692752241537,0.5875517509984708,-0.3165824757743171,41.40786749482404,57.0045880953203,53.8524119046797,0.05686923136365954,-3.240823634735901,30.36002227853504,26.2202043132803,33.14415437003406,381845.0,166300.0
