,open,high,low,close,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di
2007-01-12,1.9451,1.9606,1.9427,1.9589,0.0,0.0,0.0,0.0,1.9589,1.9589,1.9589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-15,1.9639,1.9652,1.963,1.9643,0.0,0.0,0.0,0.0,1.9594142857142858,1.9591117647058824,1.9589537313432837,0.00043076923076923457,8.615384615384691e-05,0.00034461538461538765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-16,1.9644,1.9702,1.9591,1.9609,0.0,0.0,0.0,0.0,1.9595557823129253,1.9591818915801615,1.9589730972005646,0.0004921323690554313,0.0001673495507341638,0.00032478281832126754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-17,1.9612,1.9723,1.9601,1.9697,0.0,0.0,0.0,0.0,1.960521898283123,1.9595943664201552,1.9590798325518028,0.0012365948578090258,0.00038119861214913625,0.0008553962456598896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-18,1.9697,1.9778,1.9635,1.9743,0.0,0.0,0.0,0.0,1.9618340984466351,1.9601710579330902,1.9592312770040239,0.0021727225073131518,0.0007395033911819394,0.0014332191161312124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-19,1.9742,1.977,1.9695,1.9737,0.0,0.0,0.0,0.0,1.9629641843088603,1.9607016046808121,1.9593752443970187,0.002833532232624947,0.0011583091594705409,0.001675223073154406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-22,1.9738,1.9786,1.9717,1.9761,0.0,0.0,0.0,0.0,1.9642152143746832,1.9613054633207803,1.9595416598756554,0.003510422675730984,0.0016287318627226297,0.0018816908130083545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-23,1.9761,1.9914,1.9751,1.9814,0.0,0.0,0.0,0.0,1.9658518606247133,1.9620934843670241,1.9597591557972909,0.004423537151945212,0.002187692920567146,0.0022358442313780654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-24,1.9813,1.983,1.9645,1.9695,0.0,0.0,0.0,0.0,1.9661993024699786,1.9623839359604742,1.9598560796202036,0.004139241802518345,0.002578002696957386,0.0015612391055609591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-25,1.9696,1.9731,1.9626,1.9639,0.0,0.0,0.0,0.0,1.9659803212823617,1.9624433894522204,1.959896317633933,0.0034226087874116295,0.002746923915048235,0.0006756848723633944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-26,1.9641,1.968,1.9559,1.9588,0.0,0.0,0.0,0.0,1.965296481160232,1.9623005114344862,1.9598854090007596,0.002415302478853132,0.0026805996278092144,-0.00026529714895608255,0.0,0.0,0.0,0.0,-0.0051049058144903015,0.0,0.0,0.0
2007-01-29,1.9595,1.9614,1.9549,1.961,0.0,0.0,0.0,0.0,1.9648872924783052,1.9622495109860751,1.9598964994584636,0.0017740761404800853,0.0024992949303433887,-0.0007252187898633034,0.0,0.0,0.0,0.0,-0.1679987781906922,0.0,0.0,0.0
2007-01-30,1.9608,1.9695,1.9599,1.9627,0.0,0.0,0.0,0.0,1.9646789789089427,1.9622671772219153,1.9599243949862402,0.0013870859763360777,0.0022768531395419267,-0.0008897671632058491,0.0,0.0,0.0,0.0,0.09179458411952002,0.0,0.0,0.0
2007-01-31,1.9626,1.9669,1.9481,1.9652,0.0,0.0,0.0,0.012035714285714292,1.964728599965234,1.9623821898798794,1.9599768885684667,0.0012675115061226983,0.0020749848128580814,-0.0008074733067353831,0.0,0.0,0.0,0.0,-0.22846118698278683,0.0,23.560830860534153,18.99109792284867
2007-02-01,1.9648,1.9735,1.9621,1.9667,0.0,0.0,0.0,0.011571428571428597,1.9649163523494975,1.962551515766943,1.9600437851996264,0.001279041348478227,0.0019157961199821106,-0.0006367547715038836,56.39344262295074,0.0,0.0,0.0,-0.384946563338906,0.0,28.580246913580186,19.75308641975306
2007-02-02,1.9666,1.9746,1.9637,1.966,0.0,0.0,0.0,0.011900000000000022,1.9650195568876405,1.9626867504427492,1.9601030510185358,0.0012176582751273202,0.0017761685510111526,-0.0005585102758838324,51.50976909413859,0.0,0.0,0.0,-0.39013021229163947,0.0,25.690276110443968,19.207683073229273
2007-02-05,1.9656,1.9667,1.9536,1.9603,0.0,0.0,0.0,0.012042857142857164,1.9645700752792938,1.9625931523861708,1.9601050107098936,0.0007009888213609372,0.0015611326050811096,-0.0008601437837201724,49.488054607508396,0.0,0.0,0.0,-0.7995546784069663,0.0,22.419928825622637,24.970344009489885
2007-02-06,1.9602,1.972,1.9588,1.9709,0.0,0.0,0.0,0.012114285714285728,1.9651729252526944,1.962918911116125,1.9602124235386509,0.0011337863852607377,0.0014756633611170353,-0.00034187697585629753,50.99337748344379,0.0,0.0,0.0,-0.5299283335015614,0.0,24.17452830188672,24.823113207547152
2007-02-07,1.971,1.9733,1.9675,1.9704,0.0,0.0,0.0,0.011507142857142874,1.965670741895295,1.9632122871507867,1.9603137924586644,0.0014200661132703907,0.0014645439115477065,-4.447779827731579e-05,46.536412078152736,0.0,0.0,0.0,0.045696877380030365,0.0,22.842954686530035,26.132836747361864
2007-02-08,1.9705,1.9728,1.9543,1.9587,1.9914,1.9427,1.96705,0.01229285714285717,1.9650068617147907,1.963035334713501,1.9602977348222599,0.0006948429245228205,0.0013106037141427294,-0.0006157607896199089,38.87240356083092,1.979534001178319,1.953805998821681,0.013082012923692318,-0.2647792657467174,0.0,21.38291690877389,32.132481115630455
2007-02-09,1.9588,1.96,1.9456,1.949,1.9914,1.9456,1.9685000000000001,0.012828571428571458,1.9634823986943344,1.9624849294306186,1.9601853195503967,-0.0006550594931515885,0.0009174710726838659,-0.0015725305658354544,31.86077643908976,1.980921971143077,1.9514280288569235,0.01500066997401225,-0.5003063099857097,0.0,19.59910913140314,35.634743875278346
2007-02-12,1.9481,1.9565,1.9438,1.9475,1.9914,1.9438,1.9676,0.012571428571428598,1.96196026548535,1.9618972851392218,1.9600590974653183,-0.0018248684016639594,0.00036900317781430084,-0.00219387157947826,26.09308885754581,1.9822815133815035,1.9483884866184966,0.017245419617015353,-0.688424273329935,0.0,12.727272727272688,37.3863636363636
