,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2004-11-18,44.43,44.49,44.07,44.38,5992000.0,0.0,0.0,0.0,0.0,44.38,44.38,44.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-19,44.49,44.92,44.47,44.78,11655300.0,0.0,0.0,0.0,0.0,44.41809523809524,44.395686274509806,44.383980099502494,0.03190883190882943,0.006381766381765886,0.02552706552706354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11655300.0
2004-11-22,44.75,44.97,44.74,44.95,11996000.0,0.0,0.0,0.0,0.0,44.468752834467125,44.41742406766629,44.38961213831342,0.0701062491375879,0.019126662932930288,0.050979586204657604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23651300.0
2004-11-23,44.88,44.92,44.72,44.75,3169200.0,0.0,0.0,0.0,0.0,44.495538278803586,44.43046626109114,44.39319808718592,0.08327965295912065,0.031957260938168364,0.05132239202095229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20482100.0
2004-11-24,44.93,45.05,44.79,45.05,6105100.0,0.0,0.0,0.0,0.0,44.54834415701277,44.454761701832666,44.39973342960199,0.11658326389667906,0.048882461529870504,0.06770080236680856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26587200.0
2004-11-26,45.25,45.6,45.06,45.29,3097700.0,0.0,0.0,0.0,0.0,44.61897804682108,44.48751614489805,44.40859180343679,0.16049255150990405,0.07120447952587722,0.08928807198402683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29684900.0
2004-11-29,45.1,45.5,45.08,45.4,3759000.0,0.0,0.0,0.0,0.0,44.693361089980975,44.523299825490284,44.41845656161155,0.20184036885348888,0.09733165739139955,0.10450871146208933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33443900.0
2004-11-30,45.37,45.41,44.82,45.12,3859100.0,0.0,0.0,0.0,0.0,44.73399336712564,44.5466998323338,44.42543709333681,0.20959902496195326,0.1197851309055103,0.08981389405644297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29584800.0
2004-12-01,45.28,45.59,45.26,45.38,2037500.0,0.0,0.0,0.0,0.0,44.79551780835177,44.579378270281495,44.43493523171157,0.23402989199893653,0.14263408312419557,0.09139580887474097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31622300.0
2004-12-02,45.55,45.57,44.68,44.95,6457800.0,0.0,0.0,0.0,0.0,44.81023039803255,44.59391245576065,44.440060254281605,0.2162018830735093,0.15734764311405833,0.058854239959450966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25164500.0
2004-12-03,45.04,46.0,44.8,45.6,4218300.0,0.0,0.0,0.0,0.0,44.88544655060088,44.633366869260236,44.45160194329373,0.25162208254135265,0.17620253099951722,0.07541955154183544,0.0,0.0,0.0,0.0,2.748986029743117,0.0,0.0,0.0,0.0,29382800.0
2004-12-06,45.39,45.47,45.11,45.17,3103000.0,0.0,0.0,0.0,0.0,44.912546879115084,44.65441130575984,44.45875018266395,0.24220346864816378,0.18940271852924653,0.052800750118917245,0.0,0.0,0.0,0.0,0.8709245198749382,0.0,0.0,0.0,0.0,26279800.0
2004-12-07,45.3,45.32,45.07,45.11,3809400.0,0.0,0.0,0.0,0.0,44.93135193824698,44.67227752906337,44.465230280348884,0.227277734473752,0.19697772171814765,0.030300012755604344,0.0,0.0,0.0,0.0,0.3559510567296975,0.0,0.0,0.0,0.0,22470400.0
2004-12-08,43.8,44.02,43.36,44.01,6150500.0,0.0,0.0,0.0,0.5950000000000009,44.84360413460441,44.64630586125697,44.46070062581805,0.12524443579609112,0.18263106453373634,-0.05738662873764522,0.0,0.0,0.0,0.0,-1.6536312849162016,0.0,21.24849939975991,31.332533013205232,0.0,16319900.0
2004-12-09,43.75,43.9,43.2,43.78,3553400.0,0.0,0.0,0.0,0.6228571428571433,44.74230850273732,44.61233308238415,44.453927485262646,0.025528951808794886,0.15121064198874806,-0.12568169017995318,43.82716049382716,0.0,0.0,0.0,-2.8190899001109826,0.0,20.2981651376147,31.76605504587149,0.0,12766500.0
2004-12-10,43.37,43.6,43.31,43.44,2464300.0,0.0,0.0,0.0,0.6178571428571432,44.618279121524246,44.56635923601614,44.443838654563514,-0.08000915048106805,0.10496668349478484,-0.18497583397585288,36.041666666666664,0.0,0.0,0.0,-4.084786928681828,0.0,15.491329479768817,32.02312138728317,0.0,10302200.0
2004-12-13,43.61,44.014,43.51,43.91,1445100.0,0.0,0.0,0.0,0.6424285714285725,44.550823967093365,44.54061965813315,44.438526827154924,-0.12429103517562368,0.05911513976070314,-0.18340617493632683,39.8039215686274,0.0,0.0,0.0,-3.281938325991196,0.0,18.945963975984043,30.798309984433974,0.0,11747300.0
2004-12-14,43.76,43.8,43.51,43.55,2240600.0,0.0,0.0,0.0,0.6545714285714291,44.45550739879876,44.50177182840244,44.42968576419816,-0.18628634614513828,0.010034842579534856,-0.19632118872467313,38.5931558935361,0.0,0.0,0.0,-3.4796099290780202,0.0,18.594500218245376,30.008729812308932,0.0,9506700.0
2004-12-15,44.1,44.17,43.92,43.99,2641400.0,0.0,0.0,0.0,0.6774285714285726,44.411173360817926,44.48170234493568,44.425310781469825,-0.19763553455549498,-0.031499232847471116,-0.16613630170802388,40.185185185185254,0.0,0.0,0.0,-3.063023358307626,0.0,20.49768030366948,28.996204133276976,0.0,12148100.0
2004-12-16,43.99,44.05,43.58,43.68,3269800.0,46.0,43.2,44.6,0.6717142857142865,44.341537802644794,44.450263037291144,44.41789475379351,-0.2290044367624091,-0.07100027363045872,-0.1580041631319504,35.28336380255945,46.012972474937534,43.216027525062465,0.06269138844714317,-2.8253615127920018,0.0,14.823479370480763,32.858358145469936,4551225.0,8878300.0
2004-12-17,43.93,44.22,43.78,44.19,1889300.0,46.0,43.2,44.6,0.6802857142857148,44.32710563096434,44.44005664367189,44.41562714430303,-0.21028771414090386,-0.09885776173254775,-0.11142995240835611,39.693356047700185,46.012730536415944,43.197269463584064,0.06311985366734402,-3.092105263157907,0.0,16.421671566568808,32.44435111297768,4346090.0,10767600.0
2004-12-20,44.33,44.37,44.13,44.34,1942100.0,46.0,43.2,44.6,0.6552857142857148,44.328333666110595,44.43613285372397,44.414874635404495,-0.18126136206831234,-0.11533848179970067,-0.06592288026861166,43.20557491289206,45.992966031692376,43.173033968307635,0.06325128554347488,-1.83750276732344,0.0,18.683235229997944,30.8480488336603,3860430.0,12709700.0
2004-12-21,44.13,44.24,44.05,44.22,1373400.0,46.0,43.2,44.6,0.6424285714285719,44.31801617410006,44.42765705553872,44.41293558430594,-0.16602691116166568,-0.12547616767209369,-0.040550743489571994,39.642857142857146,45.95425708131766,43.13874291868233,0.06320393661983151,-1.9729549988915962,0.0,17.05581498776968,32.354903268845916,3329300.0,11336300.0
2004-12-22,44.2,44.23,43.89,44.02,2706800.0,46.0,43.2,44.6,0.6031428571428573,44.289633681328624,44.411670504341124,44.40902577749693,-0.1681534591845235,-0.13401162597457966,-0.03414183320994385,41.34078212290505,45.93330970850192,43.08669029149809,0.06395460384191948,0.022722108611694658,0.0,18.166745618190497,29.488394126006646,3306180.0,8629500.0
2004-12-23,44.17,44.35,44.05,44.27,639800.0,46.0,43.2,44.6,0.5409999999999998,44.287763806916374,44.406114798288534,44.40764243642731,-0.1479602593826641,-0.13680135265619656,-0.011158906726467549,36.619718309859216,45.874617881723786,43.06738211827622,0.0631250874378261,1.1192325262677105,0.0,16.16054924742555,32.875627145497795,3032915.0,9269300.0
2004-12-27,44.29,44.56,44.27,44.48,2643700.0,46.0,43.2,44.6,0.5267142857142854,44.30607201578148,44.40901225717918,44.40836241218425,-0.113701082792808,-0.13218129868351886,0.01848021589071086,42.73684210526312,45.780330008790585,43.080669991209405,0.06076141428930985,2.3941068139963217,0.0,19.44670463791718,33.76729048006514,3010215.0,11913000.0
2004-12-28,44.42,44.47,44.29,44.37,773200.0,46.0,43.2,44.6,0.5224285714285709,44.31216039523086,44.40748236474078,44.40798069664013,-0.09433903751251194,-0.12461284644931747,0.030273808936805535,42.29166666666665,45.64934019480072,43.108659805199274,0.05724960881501269,1.0475973582327436,26.966396619766982,19.60623461853997,33.497402242275164,2860925.0,11139800.0
2004-12-29,43.92,44.02,43.35,43.66,5633500.0,46.0,43.2,44.6,0.4702857142857135,44.25004988139935,44.37816933082938,44.400538102643715,-0.13473243180843752,-0.12663676352114148,-0.008095668287296048,46.031746031746025,45.564794745193325,43.04720525480667,0.05682276645119521,0.2525832376578663,26.160805557623515,21.780072904009938,25.51640340218716,2949645.0,5506300.0
2004-12-30,43.5,43.88,43.49,43.83,1289700.0,46.0,43.2,44.6,0.4402857142857139,44.21004513078989,44.35667249432627,44.39486110659751,-0.15128301216213202,-0.1315660132493396,-0.01971699891279244,50.57471264367812,45.396463139288585,43.06053686071141,0.05281495593513631,-0.3637190270516122,24.795439485103092,23.264114211551153,24.65931213497736,2912255.0,6796000.0
2004-12-31,43.85,43.94,43.73,43.8,531600.0,46.0,43.2,44.6,0.42171428571428543,44.170993213571805,44.33484220043112,44.388942090611465,-0.16491913053425833,-0.13823663670632333,-0.026682493827935,54.45544554455444,45.30205260708777,43.03994739291225,0.0512124519294451,0.27472527472527375,22.37182903229556,25.304878048780623,25.745257452574595,2615945.0,6264400.0
2005-01-03,42.98,43.17,42.74,43.02,4750500.0,45.47,42.74,44.105000000000004,0.45642857142857046,44.061374812279254,44.28327976119853,44.37532077627702,-0.2359455009906597,-0.1577784095631906,-0.07816709142746908,39.770114942528814,45.070695648305225,43.01330435169478,0.046714302179974736,-2.647657841140516,23.51513729379709,16.901408450704345,39.280125195618204,2642555.0,1513900.0
2005-01-04,42.8,42.91,42.46,42.74,3456800.0,45.32,42.46,43.89,0.46785714285714214,43.93552959206218,44.222758986249566,44.35904892775685,-0.31124028694948436,-0.18847078504044937,-0.12276950190903499,40.51522248243567,44.9621681964901,42.8788318035099,0.04743425946836217,-3.608479927830399,24.993818594117688,16.488549618320718,42.595419847328294,2660245.0,-1942900.0
2005-01-05,42.75,42.88,42.6,42.67,2108700.0,44.56,42.46,43.510000000000005,0.4435714285714276,43.81500296424674,44.161866476984876,44.34224247076425,-0.37226907609728954,-0.22523044325181743,-0.1470386328454721,33.076923076923066,44.825017362121464,42.77198263787853,0.0468745442022657,-3.505201266395286,28.01222680955558,11.433172302737558,44.92753623188414,2575210.0,-4051600.0
2005-01-06,42.48,42.56,42.07,42.15,2556400.0,44.56,42.07,43.315,0.45285714285714207,43.656431253366094,44.08296975239723,44.3204291128462,-0.45732275333733696,-0.2716489052689213,-0.18567384806841564,31.386861313868593,44.9624884645453,42.448511535454685,0.057520836715988094,-4.248069059518411,29.70467275147393,11.198738170347037,47.00315457413252,2395505.0,-6608000.0
2005-01-07,42.09,42.39,41.7,41.84,4492700.0,44.56,41.7,43.13,0.4635714285714277,43.48343780066456,43.99501015426401,44.29574822615121,-0.5434779391711331,-0.32601471204936366,-0.2174632271217694,19.94884910485939,45.11577743403723,42.10122256596277,0.06912768997040612,-5.4890444996611665,32.52235169042073,8.32049306625578,51.61787365177197,2442470.0,-11100700.0
2005-01-10,41.99,42.07,41.89,41.95,1026100.0,44.56,41.7,43.13,0.46285714285714213,43.337396105363176,43.914813677626206,44.272407447781546,-0.5960100313295698,-0.3800137759054049,-0.21599625542416484,19.121447028423688,45.213766901122064,41.85423309887795,0.07717034506923588,-5.687949640287759,36.42124639554992,6.018518518518536,51.697530864197525,2370560.0,-10074600.0
2005-01-11,42.21,42.28,42.12,42.21,1507300.0,44.56,41.7,43.13,0.4657142857142844,43.23002504770954,43.84795823928793,44.25188598063944,-0.6096347755411173,-0.42593797583254744,-0.1836967997085699,24.937655860349054,45.218316252115464,41.67968374788453,0.08144335897790357,-4.868154158214999,39.1376143778631,9.20245398773011,50.15337423312881,2373670.0,-8567300.0
2005-01-12,42.52,42.79,42.48,42.6,1738000.0,44.56,41.7,43.13,0.4828571428571417,43.17002266221339,43.799018700492326,44.23544930421517,-0.5822509167263306,-0.4572005640113041,-0.12505035271502646,33.09523809523803,45.20997449525834,41.593025504741654,0.0833369581815534,-2.427851580393947,40.82589363932884,16.4201183431953,46.00591715976331,2348540.0,-6829300.0
2005-01-13,42.39,42.6,42.34,42.6,718300.0,44.56,41.7,43.13,0.4778571428571417,43.11573478962164,43.75199835929655,44.21917617681005,-0.5541609884044689,-0.4765926488899371,-0.07756833951453185,28.860759493670813,45.15204742564002,41.51195257435998,0.08400477363795901,-2.8062970568103918,42.1983685902322,14.798206278026866,48.57997010463369,2252385.0,-6829300.0
2005-01-14,42.19,42.32,42.13,42.32,1262300.0,44.56,41.7,43.13,0.4907142857142845,43.03995052394339,43.69584156089277,44.20027890141891,-0.5481741672018217,-0.49090895255231404,-0.05726521464950762,23.134328358208975,45.13033781564463,41.397662184355376,0.08627671115221093,-3.378995433789944,44.7909566034538,11.353711790392953,50.36390101892279,2152010.0,-8091600.0
2005-01-18,42.22,42.38,42.15,42.32,666800.0,44.56,41.7,43.13,0.49357142857142783,42.97138380737735,43.641886989877364,44.18156965861873,-0.537236638713118,-0.5001744897844749,-0.037062148928643124,23.785166240409225,45.028857792302226,41.31214220769777,0.08609387393253398,-1.6271501627150187,47.27464468745806,12.156295224312554,50.0723589001446,2090885.0,-8091600.0
2005-01-19,42.65,42.65,42.2,42.26,1578900.0,44.56,41.7,43.13,0.45285714285714207,42.90363296857951,43.58769534321551,44.16244956251307,-0.5273313199403376,-0.5056058558156474,-0.02172546412469012,28.52760736196319,44.881586194850456,41.25141380514954,0.08429225476184313,-1.1230697239120402,49.48487096494658,17.50788643533114,39.747634069400526,2072725.0,-9670500.0
2005-01-20,42.12,42.32,42.11,42.25,1276200.0,44.56,41.7,43.13,0.4399999999999992,42.841382209667174,43.5352367023051,44.14342021363234,-0.5143589896204617,-0.5073564825766104,-0.007002507043851303,24.51612903225805,44.73263027289001,41.203369727109994,0.08213695181949401,-0.9842981017108121,52.157104817974144,18.019480519480428,42.37012987012982,2067865.0,-10946700.0
2005-01-21,42.32,42.82,42.29,42.74,889800.0,44.56,41.7,43.13,0.4657142857142849,42.83172676112744,43.50405094927353,44.129455833397195,-0.4592455229639114,-0.4977342906540706,0.03848876769015919,35.11235955056185,44.599472609162675,41.20852739083732,0.07903564279147297,1.399762752075917,53.9155425481272,23.773006134969325,40.03067484662572,1977015.0,-10056900.0
2005-01-24,42.74,42.82,42.67,42.77,2294900.0,44.56,41.7,43.13,0.4007142857142852,42.82584802197245,43.475264637537315,44.1159289096818,-0.4084387268886829,-0.4798751779009931,0.07143645101231022,45.55160142348755,44.39804127616695,41.25995872383304,0.07327004021419863,2.2227533460803084,51.228066320410406,27.62923351158644,28.877005347593578,2059770.0,-7762000.0
2005-01-25,42.53,42.56,42.1,42.24,1332500.0,44.47,41.7,43.085,0.408571428571428,42.770052972260785,43.42682288704566,44.097262950381484,-0.4062574624207542,-0.46515163480494537,0.058894172384191146,41.83006535947713,44.098396699759014,41.33560330024098,0.06467667203965707,0.6912991656734091,48.81510758939819,27.09790209790209,33.39160839160838,1994210.0,-9094500.0
2005-01-26,42.59,42.78,42.56,42.69,541800.0,44.02,41.7,42.86,0.42714285714285644,42.76242887966452,43.3979278718674,44.08326033395978,-0.3640213439638771,-0.4449255766367317,0.08090423267285463,50.290697674418546,43.77469034422872,41.49130965577128,0.05355899628122444,1.1371712864250094,44.8419487606493,29.59866220735784,31.939799331103675,1982640.0,-8552700.0
2005-01-27,42.48,42.65,42.4,42.62,571200.0,43.94,41.7,42.82,0.4049999999999991,42.74886422445837,43.36742089650006,44.068700529641774,-0.33236602216474864,-0.42241366574233513,0.09004764357758649,57.859531772575245,43.61543653617235,41.54656346382765,0.0485867657486837,0.04694835680749687,40.944164854023015,31.216931216931215,27.160493827160543,1729525.0,-9123900.0
2005-01-28,42.71,42.73,42.43,42.69,1149100.0,43.94,41.7,42.82,0.3771428571428562,42.74325810784329,43.340855371147114,44.05498211641151,-0.2981931515567169,-0.3975695629052115,0.09937641134849462,65.45454545454535,43.37866891096392,41.669331089036085,0.04019701396688534,0.21126760563379143,37.39274002797654,35.03787878787876,22.159090909091,1722495.0,-7974800.0
2005-01-31,42.21,42.3,41.96,42.22,1692400.0,43.17,41.7,42.435,0.4128571428571419,42.6934240023344,43.29690025855311,44.03672358789,-0.305514199922996,-0.3791584903087684,0.07364429038577242,54.34083601286167,43.062141116677985,41.827858883322016,0.02907956728368405,-0.23629489603025355,32.16936909585791,32.00692041522489,28.373702422145403,1780535.0,-9667200.0
2005-02-01,42.09,42.14,41.95,42.1,1088900.0,42.91,41.7,42.305,0.4085714285714275,42.63690743068351,43.249962993511815,44.01745270641846,-0.3173410702963153,-0.3667950063062778,0.04945393600996251,48.14814814814815,42.971194298983555,41.82680570101645,0.026990933700490764,-0.51984877126654,27.263062189126913,28.671328671328634,28.8461538461539,1597455.0,-10756100.0
2005-02-02,42.22,42.23,42.02,42.16,956500.0,42.88,41.7,42.290000000000006,0.38214285714285573,42.591487675380314,43.20721934670743,43.99897058993669,-0.31820438958827424,-0.35707688296267714,0.038872493374402906,41.66666666666655,42.928041688689646,41.81195831131035,0.02634135891855788,-0.23663038334122977,24.948006008291408,22.803738317756938,30.84112149532719,1472440.0,-9799600.0
2005-02-03,41.56,41.74,41.5,41.68,2446400.0,42.82,41.5,42.16,0.4107142857142842,42.50467932534409,43.14732839193459,43.97589625570846,-0.3535451167875223,-0.3563705297276462,0.0028254129401238948,35.25641025641018,42.93886711970855,41.70213288029146,0.029223053589090133,-1.3491124260355036,22.92094816047888,21.21739130434776,35.30434782608724,1489325.0,-12246000.0
2005-02-04,41.59,41.65,41.39,41.47,1819400.0,42.82,41.39,42.105000000000004,0.39785714285714135,42.406138437216086,43.08155080793716,43.95096196460689,-0.39395685329077423,-0.36388779444027186,-0.030069058850502373,36.06557377049174,43.010153740985224,41.56284625901478,0.0342262301673215,-2.9714553111839126,20.01610068689828,21.90305206463189,34.649910233393435,1452475.0,-14065400.0
2005-02-07,41.55,41.55,41.21,41.27,1754000.0,42.82,41.21,42.015,0.40571428571428364,42.29793477652884,43.010509599782765,43.924285726153094,-0.43708334937405624,-0.37852690542702877,-0.05855644394702747,33.84615384615381,43.09215510358799,41.423844896412,0.039479156779213216,-3.507131166705635,17.739083201858644,20.422535211267522,37.14788732394397,1315540.0,-15819400.0
2005-02-08,41.19,41.4,41.05,41.26,1296800.0,42.82,41.05,41.935,0.3985714285714269,42.199083845430856,42.94186216449717,43.89777542042023,-0.4666886286487184,-0.3961592500713667,-0.0705293785773517,34.37499999999994,43.161858589295726,41.28514141070428,0.04444721964288722,-2.320075757575768,18.08393397823994,15.949820788530413,40.68100358422974,1329075.0,-17116200.0
2005-02-09,41.03,41.36,41.02,41.31,3477900.0,42.82,41.02,41.92,0.40785714285714086,42.11440919348506,42.877867569811,43.87202641126182,-0.48057665510437886,-0.4130427310779692,-0.06753392402640968,35.49382716049384,43.202039267238305,41.154960732761694,0.04853369689478316,-3.232607167955015,18.2452243008206,15.586690017513094,38.704028021015965,1427605.0,-13638300.0
2005-02-10,41.53,41.84,41.45,41.75,7774500.0,42.82,41.02,41.92,0.4049999999999981,42.079703556010294,42.8336374690341,43.850911720602504,-0.4508812153747144,-0.42061042793731823,-0.03027078743739614,34.482758620689566,43.15643128137067,41.11556871862933,0.04843512822150509,-2.0412951665884527,19.532776034800918,15.34391534391537,38.977072310405845,1729430.0,-5863800.0
2005-02-11,41.89,42.16,41.83,42.08,1896500.0,42.82,41.02,41.92,0.42357142857142654,42.07973178877122,42.80408305848375,43.833290708457206,-0.3961525236734147,-0.41571884708453755,0.019566323411122855,40.11461318051566,43.10687934127075,41.11312065872925,0.04734644223560904,-1.4289060669946063,21.51790447103348,20.067453625632314,37.26812816188889,1788340.0,-3967300.0
2005-02-14,42.37,42.63,42.32,42.55,2351800.0,42.82,41.02,41.92,0.41499999999999815,42.12451923745967,42.794119016974584,43.82052164668151,-0.3112664828969187,-0.3948283742470138,0.08356189135009506,54.518950437317734,43.13376738718466,41.10923261281533,0.04806416614720105,0.7816200852676314,20.818007065933756,28.57142857142864,28.22719449225487,1842815.0,-1615500.0
2005-02-15,42.4,42.6,42.34,42.58,1559900.0,42.82,41.02,41.92,0.3949999999999981,42.16789835770161,42.7857221927795,43.80817814770956,-0.23881996681394213,-0.3636266927603995,0.12480672594645736,48.17275747508306,43.16403183023813,41.104968169761875,0.04886882864342178,1.1401425178147129,21.010089827892298,26.039783001808402,29.656419529837407,1887470.0,-55600.0
2005-02-16,42.32,42.6,42.2,42.52,1820300.0,42.82,41.02,41.92,0.40285714285714086,42.20143184744431,42.77530171463129,43.79536045469753,-0.18412460558866428,-0.3277262753260525,0.1436016697373882,48.33333333333342,43.19018630797661,41.10481369202339,0.049477967043198734,0.8538899430740265,20.93392643202036,25.53191489361711,28.723404255319245,1899540.0,-1875900.0
2005-02-17,42.52,42.81,42.51,42.73,3054200.0,42.82,41.02,41.92,0.40285714285714136,42.25177167149723,42.773525176802615,43.784759853158256,-0.12242169174448492,-0.28666535860973896,0.16424366686525405,50.636942675159226,43.24573951068446,41.097260489315545,0.050946231966349634,2.5191938579654405,19.43755799114405,27.836879432624222,28.723404255319213,1988440.0,1178300.0
2005-02-18,42.71,42.82,42.64,42.75,863200.0,42.82,41.02,41.92,0.36357142857142727,42.29922198849749,42.772602620849575,43.774463735216386,-0.07108839238799902,-0.24354996536539097,0.17246157297739195,59.85130111524172,43.24736236242771,41.0966376375723,0.05099887899211344,3.0865686038099804,20.132823974989662,31.04125736738711,22.59332023575644,1987110.0,2041500.0
2005-02-22,43.39,43.63,43.2,43.57,3378500.0,43.63,41.02,42.325,0.4071428571428563,42.420248465783445,42.803873106306455,43.77242927018936,0.03535323408660673,-0.18776932547499145,0.22312255956159818,71.68141592920361,43.43094864103188,40.993051358968124,0.057753654933757184,5.573055488248113,22.640453511042516,41.929824561403606,20.000000000000053,2041290.0,5420000.0
2005-02-23,43.29,43.55,43.15,43.42,1534900.0,43.63,41.02,42.325,0.4221428571428569,42.515462897613595,42.82803494527483,43.76892251128201,0.10637897295888621,-0.12893966578821592,0.23531863874710213,68.10344827586219,43.604501919166545,40.93749808083346,0.0630929913731184,5.235094522540007,23.84206631075039,38.9170896785111,20.13536379018622,2051410.0,3885100.0
