,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2004-08-19,100.01,104.06,95.96,100.335,44659000.0,0.0,0.0,0.0,0.0,100.335,100.335,100.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-20,101.01,109.08,100.5,108.31,22834300.0,0.0,0.0,0.0,0.0,101.0945238095238,100.64774509803921,100.41435323383084,0.636182336182344,0.1272364672364688,0.5089458689458752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22834300.0
2004-08-23,110.76,113.48,109.05,109.4,18256100.0,0.0,0.0,0.0,0.0,101.88552154195011,100.99097078046904,100.50376265438975,1.2143174162547439,0.3446526570401238,0.86966475921462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41090400.0
2004-08-24,111.24,111.6,103.57,104.87,15247300.0,0.0,0.0,0.0,0.0,102.1697575855739,101.14308957339183,100.54720780210727,1.2920663545877744,0.5341353965496539,0.7579309580381205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25843100.0
2004-08-25,104.76,108.0,103.88,106.0,9188600.0,0.0,0.0,0.0,0.0,102.534542577424,101.33355664894509,100.60146444089227,1.4283988122038238,0.7129880796804879,0.7154107325233359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35031700.0
2004-08-26,104.95,107.95,104.66,107.91,7094800.0,0.0,0.0,0.0,0.0,103.04649090338363,101.59145638820215,100.67418618774907,1.671298614470473,0.904650186638485,0.7666484278319879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42126500.0
2004-08-27,108.1,108.62,105.69,106.15,6211700.0,0.0,0.0,0.0,0.0,103.34206319829947,101.77022280435108,100.72867189732371,1.7021597289019468,1.0641520950911774,0.6380076338107694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35914800.0
2004-08-30,105.28,105.49,102.01,102.01,5196700.0,0.0,0.0,0.0,0.0,103.21520003655667,101.77962583163144,100.74142143068367,1.3766844227852744,1.1266585606299968,0.25002586215527756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30718100.0
2004-08-31,102.32,103.71,102.16,102.37,4917800.0,0.0,0.0,0.0,0.0,103.13470479497984,101.80277775980275,100.75762619256743,1.1347116396706696,1.1282691764381314,0.006442463232538165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35635900.0
2004-09-01,102.7,102.97,99.67,100.25,9138200.0,0.0,0.0,0.0,0.0,102.85997100498176,101.74188451432029,100.75257518567622,0.7630838279464598,1.0552321067397972,-0.2921482787933374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26497700.0
