,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2002-07-26,82.76,82.99,82.64,82.79,210100.0,0.0,0.0,0.0,0.0,82.79,82.79,82.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-07-29,82.36,82.43,81.82,81.82,49900.0,0.0,0.0,0.0,0.0,82.69761904761906,82.75196078431374,82.78034825870648,-0.07737891737892255,-0.01547578347578451,-0.06190313390313804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49900.0
2002-07-30,81.94,82.12,81.7,81.77,41300.0,0.0,0.0,0.0,0.0,82.60927437641725,82.71345251826222,82.77029504220194,-0.14111021826121828,-0.04060267043287127,-0.100507547828347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91200.0
2002-07-31,82.05,82.58,82.05,82.52,32600.0,0.0,0.0,0.0,0.0,82.60077205485369,82.70586614499703,82.76780454426958,-0.12960499566744943,-0.0584031354797869,-0.07120186018766253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58600.0
2002-08-01,82.54,82.9,82.52,82.86,71400.0,0.0,0.0,0.0,0.0,82.62546043058191,82.7119106098991,82.7687219119883,-0.0919914452516224,-0.065120797434154,-0.026870647817468396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12800.0
2002-08-02,83.02,83.7,82.9,83.5,120300.0,0.0,0.0,0.0,0.0,82.70874991338363,82.74281607617758,82.77599831087399,-0.010419672757720377,-0.05418057249886728,0.0437608997411469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133100.0
2002-08-05,83.68,83.92,83.53,83.92,159300.0,0.0,0.0,0.0,0.0,82.82410706448995,82.7889801516216,82.78738141225833,0.08711285182020845,-0.025921887635052134,0.11303473945526057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292400.0
2002-08-06,83.48,83.51,83.03,83.24,90100.0,0.0,0.0,0.0,0.0,82.86371591549091,82.80666720449919,82.79188507979805,0.10828946963118824,0.0009203838181959421,0.1073690858129923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202300.0
2002-08-07,83.19,83.65,83.1,83.5,38100.0,0.0,0.0,0.0,0.0,82.92431439972988,82.83385672589138,82.79893099940205,0.14438750957276625,0.029613808969110006,0.11477370060365624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240400.0
2002-08-08,83.33,83.4,83.09,83.21,142600.0,0.0,0.0,0.0,0.0,82.95152255213655,82.84860744252309,82.80302123821397,0.14789010485948495,0.053269068147184996,0.09462103671229996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97800.0
2002-08-09,83.32,83.88,83.32,83.83,99600.0,0.0,0.0,0.0,0.0,83.03518707098068,82.88709342516924,82.8132399323611,0.19840763558430297,0.0822967816346086,0.11611085394969436,0.0,0.0,0.0,0.0,1.2561903611547187,0.0,0.0,0.0,0.0,197400.0
2002-08-12,84.1,84.28,83.95,84.0,38100.0,0.0,0.0,0.0,0.0,83.12707401660157,82.93073682026065,82.82504849024805,0.24928709543327443,0.11569484439434177,0.13359225103893266,0.0,0.0,0.0,0.0,2.6643852358836595,0.0,0.0,0.0,0.0,235500.0
