,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2000-05-26,91.06,91.44,90.63,91.44,37400.0,0.0,0.0,0.0,0.0,91.44,91.44,91.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,92.75,94.81,92.75,94.81,28800.0,0.0,0.0,0.0,0.0,91.76095238095238,91.5721568627451,91.47353233830846,0.2688319088319133,0.05376638176638267,0.21506552706553067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28800.0
2000-05-31,95.13,96.38,95.13,95.75,18000.0,0.0,0.0,0.0,0.0,92.14086167800453,91.73599384851981,91.51608425534022,0.5513773427163784,0.15328857395638182,0.39808876875999655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46800.0
2000-06-01,97.11,97.31,97.11,97.31,3500.0,0.0,0.0,0.0,0.0,92.63316056581363,91.95458232504845,91.57373515827216,0.8909057898598576,0.300812017137077,0.5900937727227806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50300.0
2000-06-02,101.7,102.4,101.7,102.4,14700.0,0.0,0.0,0.0,0.0,93.56333575002185,92.36420654759557,91.68145918654805,1.5528052195037816,0.551210657610418,1.0015945618933637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0
2000-06-05,102.1,103.1,101.9,102.0,24200.0,0.0,0.0,0.0,0.0,94.3668275833531,92.74208080063104,91.78413123444311,2.021782775840151,0.8453250812563646,1.1764576945837866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40800.0
2000-06-06,103.6,104.8,102.7,103.0,75900.0,0.0,0.0,0.0,0.0,95.18903448017662,93.14435214178278,91.89573191867751,2.445947154441697,1.1654494958934312,1.280497658548266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116700.0
2000-06-07,102.4,103.1,101.4,103.1,65500.0,0.0,0.0,0.0,0.0,95.94245976777884,93.53476970485012,92.00721717321804,2.7583728396202076,1.4840341646387865,1.2743386749814212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182200.0
2000-06-08,104.3,104.3,102.9,102.9,45700.0,0.0,0.0,0.0,0.0,96.605082647038,93.90203363799326,92.115603071992,2.9557619338242347,1.778379718475876,1.1773822153483586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136500.0
2000-06-09,103.9,104.7,103.8,104.7,20800.0,0.0,0.0,0.0,0.0,97.3760271568439,94.32548329924842,92.24082095187268,3.2203173559632745,2.066767245973356,1.1535501099899186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157300.0
