,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,86.62,87.12,83.37,83.56,4510867.0,0.0,0.0,0.0,0.0,83.56,83.56,83.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,84.5,86.25,83.25,83.69,3541600.0,0.0,0.0,0.0,0.0,83.57238095238095,83.56509803921568,83.56129353233831,0.010370370370367255,0.002074074074073451,0.008296296296293804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3541600.0
1999-11-03,83.62,84.0,82.19,82.44,2648800.0,0.0,0.0,0.0,0.0,83.4645351473923,83.52097654748174,83.55013638276282,-0.08133797615279548,-0.014608335971300335,-0.06672964018149515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892800.0
1999-11-04,83.88,85.94,83.5,84.12,3869600.0,0.0,0.0,0.0,0.0,83.52696037145017,83.54446766326677,83.55580666751145,-0.0182452222760503,-0.01533571323225033,-0.00290950904379997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4762400.0
1999-11-05,86.13,87.38,85.62,86.25,3433267.0,0.0,0.0,0.0,0.0,83.7862974789311,83.65056697058965,83.58261456136705,0.20130887517470342,0.027993204449140423,0.173315670725563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8195667.0
1999-11-08,86.31,86.62,84.12,84.38,2393600.0,0.0,0.0,0.0,0.0,83.84284057617576,83.67917218742927,83.59054874483604,0.22185628628085396,0.06676582081548314,0.1550904654653708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5802067.0
1999-11-09,84.31,84.69,82.0,83.06,3235267.0,0.0,0.0,0.0,0.0,83.7682843308257,83.65489092517714,83.58526965284763,0.13012726322975254,0.07943810929833703,0.050689153931415515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2566800.0
1999-11-10,82.06,82.25,80.56,80.56,3180067.0,0.0,0.0,0.0,0.0,83.46273344217563,83.53352265360157,83.55516746724716,-0.1426533361775597,0.035019820203157685,-0.1776731563807174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-613267.0
1999-11-11,80.81,82.62,80.31,81.12,2292867.0,0.0,0.0,0.0,0.0,83.23961597149224,83.4388747064015,83.530936945185,-0.31007228629808026,-0.0339986010970899,-0.27607368520099035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679600.0
1999-11-12,82.56,85.0,82.5,85.0,3423267.0,0.0,0.0,0.0,0.0,83.40727159325489,83.50009530615047,83.545554488019,-0.12819172258852518,-0.05283722539537696,-0.07535449719314821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5102867.0
1999-11-15,84.06,84.81,82.5,82.56,3742000.0,0.0,0.0,0.0,0.0,83.32657906056394,83.46322882355634,83.5357479757004,-0.17887570574954736,-0.07804492146621105,-0.10083078428333632,0.0,0.0,0.0,0.0,-1.1967448539971226,0.0,0.0,0.0,0.0,1360867.0
1999-11-16,83.37,86.44,82.88,86.0,4490200.0,0.0,0.0,0.0,0.0,83.58119057860547,83.56271004616197,83.5602678963402,0.05786904483083788,-0.05086212820680126,0.10873117303763914,0.0,0.0,0.0,0.0,2.7601864021985945,0.0,0.0,0.0,0.0,5851067.0
1999-11-17,85.06,85.19,81.63,81.87,3606800.0,0.0,0.0,0.0,0.0,83.41822004730972,83.49632926003797,83.54344931030697,-0.08676534197746832,-0.05804277096093468,-0.028722571016533645,0.0,0.0,0.0,0.0,-0.6914119359534121,0.0,0.0,0.0,0.0,2244267.0
1999-11-18,82.38,84.12,81.94,83.37,3071600.0,0.0,0.0,0.0,3.0142857142857133,83.41362766185165,83.49137517140903,83.54172344652282,-0.07943598301558552,-0.06232141337186485,-0.01711456964372067,0.0,0.0,0.0,0.0,-0.891583452211131,0.0,18.388625592417046,17.748815165876806,0.0,5315867.0
1999-11-19,83.5,84.38,82.5,83.0,1998867.0,0.0,0.0,0.0,2.8807142857142845,83.37423455119911,83.47210555684397,83.53633316347285,-0.10230402390851623,-0.07031793547919513,-0.0319860884293211,48.97058823529411,0.0,0.0,0.0,-3.7681159420289823,0.0,19.88594098685838,18.57178279196631,0.0,3317000.0
1999-11-22,82.5,82.56,80.69,81.87,2514267.0,0.0,0.0,0.0,2.8314285714285705,83.23097411775157,83.40927788794814,83.51975273398556,-0.20919717248379754,-0.09809378288011561,-0.11110338960368193,46.77304964539009,0.0,0.0,0.0,-2.974638539938368,0.0,20.232088799192695,23.15842583249246,0.0,802733.0
1999-11-23,81.87,82.25,79.5,79.94,3029267.0,0.0,0.0,0.0,2.8985714285714272,82.91754801129905,83.27322777469527,83.48413330379665,-0.4445214664104782,-0.16737931958618815,-0.27714214682429006,45.671745152354575,0.0,0.0,0.0,-3.756320732000973,0.0,19.763430261212385,22.94233612617054,0.0,-2226534.0
1999-11-24,79.75,79.94,78.75,79.56,2521400.0,0.0,0.0,0.0,2.733571428571427,82.59778153403246,83.12761099921703,83.44508720127132,-0.6541399705819657,-0.2647314497853437,-0.389408520796622,41.7331399564902,0.0,0.0,0.0,-1.2413108242303905,0.0,15.887117846877416,26.28690880585317,0.0,-4747934.0
1999-11-26,80.88,80.88,79.06,79.06,794200.0,0.0,0.0,0.0,2.6307142857142845,82.2608499593627,82.968096842385,83.40145449280097,-0.8508024456954502,-0.381945648967365,-0.46885679672808517,36.14643545279384,0.0,0.0,0.0,-2.5394477317554287,0.0,15.150692370350221,27.314689112136865,0.0,-5542134.0
1999-11-29,78.81,78.81,76.31,76.94,3480867.0,87.38,76.31,81.845,2.6485714285714272,81.7541023441853,82.73170088778167,83.33716141327061,-1.1643037872151893,-0.53841727661693,-0.6258865105982594,35.80152671755725,87.16055642076142,77.67444357923856,0.11509828424209505,-9.482352941176476,0.0,15.04854368932035,30.50161812297737,3088933.5,-9023001.0
1999-11-30,76.62,79.25,76.56,77.25,4031467.0,87.38,76.31,81.845,2.6485714285714272,81.32514021616765,82.51673222551572,83.27659264298931,-1.3719267324262034,-0.7051191677787847,-0.6668075646474187,38.467645891226674,87.33882748477197,76.86517251522804,0.1275688164666382,-6.431686046511631,0.0,16.235167206040952,24.78425026968717,3064963.5,-4991534.0
1999-12-01,77.13,78.0,76.56,77.39,3046200.0,87.38,76.31,81.845,2.5728571428571416,80.95036495748502,82.31568390294649,83.21801958186505,-1.5077916982476438,-0.8656536738725565,-0.6421380243750873,43.05738063950941,87.36821699613039,76.20578300386963,0.13648176351083618,-10.011627906976738,0.0,16.712937257079357,21.515824541921166,3040193.5,-1945334.0
1999-12-02,78.0,79.25,76.0,79.06,3261800.0,87.38,76.0,81.69,2.6399999999999983,80.7703301996293,82.18801002439957,83.17664625269227,-1.4638364241960886,-0.985290223937263,-0.47854620025882566,45.69757727652464,87.31936308724778,75.91663691275221,0.13970847330852962,-3.4322706730182007,0.0,18.66883116883112,20.968614718614734,3070843.5,1316466.0
1999-12-03,80.94,83.37,80.81,82.0,3844467.0,87.38,76.0,81.69,2.670714285714285,80.88744160918841,82.18063708226626,83.16493832977991,-1.1781867203187062,-1.0238695232135517,-0.15431719710515446,43.47826086956522,87.09510458813958,75.92889541186042,0.1369885314589159,-1.6432769581384288,0.0,23.107782829633564,20.727467237229213,3069586.85,5160933.0
1999-12-06,82.0,82.0,77.37,78.87,3321667.0,86.62,76.0,81.31,2.8228571428571416,80.69530431307523,82.05080817707935,83.12220262500598,-1.1906470751689824,-1.0572250336046378,-0.13342204156434456,42.21190375685944,86.37188374924877,75.91411625075123,0.1288807105788242,-4.975903614457822,0.0,21.862348178137626,28.314777327935232,3064006.85,1839266.0
1999-12-07,78.5,79.19,77.37,78.63,3702400.0,86.44,76.0,81.22,2.6757142857142844,80.49860866421092,81.91665883680173,83.07750409142383,-1.2059861329557293,-1.086977253474856,-0.11900887948087324,32.01561737432894,85.96595769914366,75.74504230085633,0.12640964929148088,-3.957493587394656,0.0,18.713294180459144,29.871863320875608,3129446.85,-1863134.0
1999-12-08,78.38,78.63,76.88,77.72,3171400.0,86.44,76.0,81.22,2.4885714285714267,80.2339792676194,81.75208398045656,83.0241955930017,-1.2768530741509778,-1.1249524176100805,-0.15190065654089735,37.984944991314414,85.77147729921813,75.40552270078186,0.1286282112018002,-2.7770828121090774,14.762743739629428,20.120551090700335,29.936854190585578,3126253.5,-5034534.0
1999-12-09,78.0,79.38,76.06,77.88,3158800.0,86.44,76.0,81.22,2.5649999999999977,80.00979076594136,81.60023754985042,82.9730095672007,-1.305061041478865,-1.1609741423838376,-0.14408689909502748,32.768361581920885,85.77727124101821,75.13172875898181,0.13231755193353265,-2.1116138763197623,16.294862420869197,19.52102478418267,31.328320802005045,3125190.15,-1875734.0
1999-12-10,79.62,79.62,78.12,78.94,3209067.0,86.44,76.0,81.22,2.554999999999999,79.9079059310898,81.49591450867982,82.93288011877085,-1.2277304057217577,-1.1743253950514216,-0.053405010670336095,37.785800240673886,85.70007885709435,74.99092114290562,0.13328883029153762,-0.15178345560334927,17.719013344600196,19.541515236231515,31.450936538999173,3171000.15,1333333.0
1999-12-13,78.12,79.25,77.75,78.53,1701867.0,86.44,76.0,81.22,2.4971428571428556,79.77667679479553,81.37960413579042,82.88907036634528,-1.1858590482969902,-1.1766321257005354,-0.009226922596454745,39.496855345911946,84.9579757740598,75.0860242259402,0.12336546884756187,2.0665453600207995,18.436265361686086,19.994279176201413,28.06064073226547,3084930.15,-368534.0
1999-12-14,78.06,78.06,76.06,76.56,2228000.0,86.44,76.0,81.22,2.4771428571428555,79.47032662386263,81.19060005203393,82.82609454180454,-1.296690787655976,-1.2006438580916237,-0.09604692956435223,39.39774153074029,84.73718368242092,74.7068163175791,0.1258168054594945,-0.8932038834951417,19.27533766629143,20.155709342560595,29.728950403690913,3009230.15,-2596534.0
1999-12-15,76.56,77.37,74.75,75.5,3057600.0,85.19,74.75,79.97,2.5792857142857133,79.09220027873286,80.96743926567966,82.75319807870201,-1.4533060730494043,-1.2511763010831798,-0.2021297719662245,37.785800240673886,83.60684114763428,74.78715885236572,0.11136384326765614,-2.4421759917302,19.06571569155707,19.35751869288289,30.102464691221293,2937600.15,-5654134.0
1999-12-16,76.19,76.19,73.81,75.0,2703400.0,84.38,73.81,79.095,2.6192857142857133,78.70246691885355,80.73342203957458,82.67605182916269,-1.5993345037929885,-1.3208079416251415,-0.278526562167847,37.785800240673886,83.4528559045634,74.25414409543662,0.11665571989990033,-5.135340247912978,19.32331130490342,16.498500136351275,32.20616307608401,2892430.15,-8357534.0
1999-12-17,73.25,74.88,72.06,72.75,6655667.0,84.38,72.06,78.22,2.6328571428571417,78.13556530753416,80.42034666547362,82.5772851442954,-1.8750053882354791,-1.4316474309472091,-0.44335795728827,37.49253731343285,83.17173379731815,73.47326620268186,0.12382734967137538,-11.280487804878048,18.916675827820463,16.41345632121545,29.32718393922954,3071633.5,-15013201.0
1999-12-20,73.38,73.94,72.25,72.25,4137067.0,83.37,72.06,77.715,2.5614285714285705,77.5750352782452,80.09994091388641,82.47452608813326,-2.1095053075196404,-1.5672190062616955,-0.5422863012579449,35.24203069657615,82.83036681677252,72.73963318322747,0.12972595787806204,-8.393559021174092,19.690043335002255,15.644171779141146,30.14500836586728,3178543.5,-19150268.0
1999-12-21,72.38,76.5,72.12,75.0,5240000.0,83.37,72.06,77.715,2.77142857142857,77.32979382317423,79.89994323098891,82.40015269422149,-2.0498171496081596,-1.6637386349309884,-0.38607851467717125,43.887468030690535,82.24553021595298,72.637469784047,0.1240686251158098,-4.616558565433038,19.786174360491305,21.056701030927886,27.860824742268065,3314830.15,-13910268.0
1999-12-22,75.0,75.63,74.0,74.88,2252267.0,83.37,72.06,77.715,2.6557142857142844,77.09648012572906,79.7030827121266,82.32532530422924,-1.989265833300209,-1.7288440746048326,-0.2604217586953763,38.38888888888887,81.97141817991792,72.40558182008209,0.12392825822286775,-3.6541430777148776,20.93890054223637,18.612157073695588,29.074771382463716,3275980.15,-16162535.0
1999-12-23,76.25,77.94,76.06,77.5,2891600.0,83.37,72.06,77.715,2.56642857142857,77.13491058994533,79.61668731165105,82.27731211712248,-1.710152798206508,-1.7251058193251678,0.014953021118659926,37.273755656108605,81.7403965729931,72.43060342700689,0.12077230018597816,-0.4879301489470911,23.10846338302446,14.222098524909594,30.086278875591454,3294490.15,-13270935.0
1999-12-27,77.5,79.19,76.5,76.5,2541200.0,83.37,72.06,77.715,2.4278571428571416,77.07444291471245,79.4944642798216,82.21982642441479,-1.551757653352965,-1.6904361861307273,0.13867853277776243,42.379421221864945,81.52373246751281,72.39126753248718,0.11866893980477067,-3.0909551558145454,22.715381263145108,18.711385701677013,21.682847896440155,3381840.15,-15812135.0
1999-12-28,76.69,77.37,76.31,76.44,1502200.0,83.37,72.06,77.715,2.3735714285714278,77.01401977997793,79.37468136688742,82.1623157137241,-1.4147613700249337,-1.6353012229095687,0.22053985288463496,42.87573194534809,81.50460708075549,72.36039291924452,0.11886022372223667,-2.6614032853686576,21.69064245515506,19.139331928979882,22.750526632560952,3282906.8,-17314335.0
1999-12-29,77.19,78.19,76.94,77.56,1533467.0,83.37,72.06,77.715,2.3735714285714278,77.06601789617051,79.30351739171536,82.11652152751789,-1.2019607335710703,-1.548633125041869,0.34667239147079876,49.486521181001294,81.52673620807727,72.36926379192275,0.11900858262923686,1.3061650992685525,20.345059460972355,21.60698164309362,21.27595546193198,3158006.8,-15780868.0
1999-12-30,77.56,78.69,76.75,78.06,1277400.0,83.37,72.06,77.715,2.2749999999999995,77.16068285843998,79.25475200380495,82.07615812923413,-0.9816529900978566,-1.4352370980530667,0.4535841079552101,50.56532663316586,81.58359689049172,72.3794031095083,0.11956371051464852,3.390728476821203,19.419735206869955,24.113029827315568,19.6232339089482,3069566.8,-14503468.0
1999-12-31,78.0,78.38,77.69,77.69,773600.0,83.37,72.06,77.715,2.199999999999999,77.21109401477904,79.19338918012633,82.03251476476414,-0.8273759490279957,-1.3136648682480525,0.4862889192200568,45.896257386736714,81.42473020843268,72.40126979156732,0.11732035438567423,3.5866666666666713,18.3723932855949,24.15584415584416,20.292207792207805,2945156.8,-15277068.0
