,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2024-12-23,22.064,24.918,21.47,24.511,3990365.38,0.0,0.0,0.0,0.0,24.511,24.511,24.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-24,24.514,25.966,23.503,25.406,3595893.43,0.0,0.0,0.0,0.0,24.596238095238096,24.546098039215686,24.519905472636815,0.07139601139601126,0.014279202279202253,0.05711680911680901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595893.43
2024-12-25,25.409,25.562,24.12,24.424,1235639.75,0.0,0.0,0.0,0.0,24.579834467120182,24.54130988081507,24.518951189326998,0.048183245265867924,0.02106001087653539,0.027123234389332534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2360253.68
2024-12-26,24.417,24.69,22.395,22.656,1628908.99,0.0,0.0,0.0,0.0,24.39661213691826,24.467376159998793,24.500414361572503,-0.11158952871377181,-0.005469897041526051,-0.10611963167224576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731344.6900000002
2024-12-27,22.653,23.644,21.331,21.531,2136154.41,0.0,0.0,0.0,0.0,24.123696695306997,24.352224153724332,24.47086795001457,-0.32523954218826034,-0.06942382607087291,-0.2558157161173874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1404809.72
2024-12-28,21.536,22.346,21.025,21.948,1950627.37,0.0,0.0,0.0,0.0,23.91648748623014,24.25794085357828,24.445764786332834,-0.45565776309062755,-0.14667061347482385,-0.3089871496158037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545817.6500000001
2024-12-29,21.939,21.975,20.732,20.904,1120961.15,0.0,0.0,0.0,0.0,23.62958391611298,24.126413761281093,24.410523345672807,-0.6359266511128183,-0.24452182100242276,-0.39140483011039556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-575143.4999999998
2024-12-30,20.911,21.787,20.052,20.542,2386902.15,0.0,0.0,0.0,0.0,23.335528305054602,23.98584851574066,24.372030576064123,-0.7987934249066946,-0.35537614178327714,-0.44341728312341744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2962045.6499999994
2024-12-31,20.534,21.174,19.786,19.972,2244717.87,0.0,0.0,0.0,0.0,23.015192276001784,23.828442691593967,24.328249177297316,-0.9627626246038155,-0.47685343834738486,-0.4859091862564306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5206763.52
2025-01-01,19.976,21.8,19.655,21.692,1822381.06,0.0,0.0,0.0,0.0,22.889173964001614,23.744660625256948,24.30201784219983,-0.9430488907527987,-0.5700925288284677,-0.372956361924331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3384382.4599999995
