,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,93.25,94.19,92.12,92.37,26630600.0,0.0,0.0,0.0,0.0,92.37,92.37,92.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,92.75,94.5,91.94,92.56,23174500.0,0.0,0.0,0.0,0.0,92.38809523809525,92.37745098039217,92.37189054726369,0.015156695156690603,0.0030313390313381205,0.012125356125352482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23174500.0
1999-11-03,92.94,93.5,91.5,92.0,22258500.0,0.0,0.0,0.0,0.0,92.35113378684808,92.3626489811611,92.36819014380833,-0.017813491773608803,-0.0011376271296512641,-0.01667586464395754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916000.0
1999-11-04,92.31,92.75,90.31,91.75,27119700.0,0.0,0.0,0.0,0.0,92.29388295000541,92.33862353091949,92.3620389980988,-0.06338485199793809,-0.01358707210330863,-0.049797779894629454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26203700.0
1999-11-05,91.81,92.87,90.5,91.56,35083700.0,0.0,0.0,0.0,0.0,92.22398933571918,92.308089274805,92.35405851055553,-0.11352326981473482,-0.033574311645593866,-0.07994895816914095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61287400.0
1999-11-08,84.81,90.75,84.37,89.94,121909600.0,0.0,0.0,0.0,0.0,92.00646654184116,92.21522302873421,92.33003802786344,-0.2807425627502482,-0.08300796186652475,-0.19773460088372347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-183197000.0
1999-11-09,89.75,89.87,86.44,88.87,54884900.0,0.0,0.0,0.0,0.0,91.7077554426182,92.0840378119211,92.29560978878023,-0.4939116092068474,-0.16518869133458927,-0.32872291787225816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-238081900.0
1999-11-10,88.12,89.12,86.44,87.12,34692700.0,0.0,0.0,0.0,0.0,91.27082635284503,91.889369662434,92.24411118391674,-0.7948969121662088,-0.2911303355009132,-0.5037665766652957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272774600.0
1999-11-11,88.25,90.44,88.25,89.62,34637300.0,0.0,0.0,0.0,0.0,91.11360479543121,91.80037477371111,92.2180006248728,-0.8222227545170853,-0.39734881930414767,-0.4248739352129376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-238137300.0
1999-11-12,89.75,90.0,87.06,89.19,24707100.0,0.0,0.0,0.0,0.0,90.93040433872348,91.69800713552637,92.18787126542134,-0.8685638246835197,-0.49159182038002214,-0.37697200430349753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-262844400.0
1999-11-15,88.25,88.5,86.94,87.0,23540200.0,0.0,0.0,0.0,0.0,90.55608011598791,91.51377156158416,92.13625065581516,-1.0696736223958823,-0.6072081807831942,-0.4624654416126881,0.0,0.0,0.0,0.0,-5.813575836310491,0.0,0.0,0.0,0.0,-286384600.0
1999-11-16,86.94,87.75,85.87,87.31,29582600.0,0.0,0.0,0.0,0.0,90.24692962875096,91.34891777485538,92.08822826122994,-1.190318921203044,-0.7238303288671641,-0.4664885923358799,0.0,0.0,0.0,0.0,-5.671996542783065,0.0,0.0,0.0,0.0,-256802000.0
1999-11-17,86.44,87.06,85.0,85.0,33409500.0,0.0,0.0,0.0,0.0,89.7472220450604,91.099940607214,92.01769862678985,-1.4555502074912425,-0.8701743045919799,-0.5853759028992627,0.0,0.0,0.0,0.0,-7.608695652173914,0.0,0.0,0.0,0.0,-290211500.0
1999-11-18,84.94,85.81,84.5,84.94,32246600.0,0.0,0.0,0.0,2.7728571428571422,89.28939137410227,90.85837430889188,91.94727376483175,-1.6515513553524812,-1.02644971474408,-0.6251016406084011,0.0,0.0,0.0,0.0,-7.422343324250679,0.0,4.507985574446162,29.649665121071596,0.0,-322458100.0
1999-11-19,84.44,86.56,84.37,86.0,29113000.0,0.0,0.0,0.0,2.781428571428571,88.97611600514014,90.66784982619025,91.88809691145035,-1.7017340056101062,-1.1615065729172853,-0.5402274326928209,28.019323671497588,0.0,0.0,0.0,-6.072520751419841,0.0,6.420133538777607,29.558294812532083,0.0,-293345100.0
1999-11-22,89.62,90.37,88.44,89.81,45298300.0,0.0,0.0,0.0,2.9107142857142856,89.05553352846013,90.63420865653573,91.86741933024189,-1.417726292785062,-1.2127505168908408,-0.20497577589422122,42.40750966316953,0.0,0.0,0.0,-0.144540804981097,0.0,14.723926380368098,28.245398773006116,0.0,-248046800.0
1999-11-23,89.25,91.37,88.37,89.62,35393700.0,0.0,0.0,0.0,2.982142857142857,89.10929224003536,90.59443576804414,91.84505694884645,-1.1942133976339875,-1.2090430930394702,0.014829695405482735,43.29199549041715,0.0,0.0,0.0,0.843929334983673,0.0,16.766467065868262,26.514970059880223,0.0,-283440500.0
1999-11-24,89.56,92.25,89.5,91.69,26885500.0,0.0,0.0,0.0,3.0042857142857144,89.35507393146057,90.63739907125809,91.84351409363406,-0.8403589823716402,-1.1353062709059043,0.2949472885342641,49.846625766871156,0.0,0.0,0.0,5.245638200183644,0.0,18.735140275796468,23.49025202092248,0.0,-256555000.0
1999-11-26,91.62,93.37,91.0,91.12,14257100.0,0.0,0.0,0.0,3.0042857142857144,89.52316212846432,90.65632459787543,91.83631494842378,-0.5990159620678526,-1.028048209138294,0.4290322470704415,48.89669007021064,0.0,0.0,0.0,1.6737335416201704,0.0,21.112696148359476,23.49025202092248,0.0,-270812100.0
1999-11-29,90.12,92.06,89.5,90.19,25730100.0,94.5,84.37,89.435,2.673571428571429,89.586670497182,90.63803735874306,91.81993370515588,-0.4772911916068381,-0.9178968056320029,0.44060561402516485,50.649350649350644,94.23002882403776,84.53597117596226,0.1084552727932101,1.1212019284673191,0.0,23.72428533262088,14.026182206785997,35027760.0,-296542200.0
1999-11-30,89.75,92.87,89.56,91.05,32072800.0,94.5,84.37,89.435,2.6600000000000006,89.72603521173609,90.65419275643941,91.81227267326378,-0.3078795772387366,-0.7958933599533498,0.48801378271461315,55.72478991596637,94.02677974677775,84.60722025322224,0.1054621124036355,4.655172413793096,0.0,26.02040816326529,14.097744360902254,35299870.0,-264469400.0
1999-12-01,91.06,93.94,90.87,93.19,24432100.0,93.94,84.37,89.155,2.6878571428571427,90.05593662014218,90.75363617775552,91.82598140288304,-0.0009288300587257936,-0.636900453974425,0.6359716239156992,65.62017498713328,94.15699806948184,84.54000193051816,0.10763466805781502,6.734623754438207,0.0,28.594206749933544,13.951634334307734,35362750.0,-240037300.0
