,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,21.75,24.38,21.75,23.5,1630300.0,0.0,0.0,0.0,0.0,23.5,23.5,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,23.94,25.13,23.75,25.0,1744800.0,0.0,0.0,0.0,0.0,23.642857142857142,23.558823529411764,23.51492537313433,0.11965811965811923,0.023931623931623847,0.09572649572649539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744800.0
1999-11-03,26.0,28.13,25.81,27.44,4191000.0,0.0,0.0,0.0,0.0,24.004489795918367,23.711026528258362,23.553980842058365,0.4066876080551296,0.100482820756325,0.3062047872988046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5935800.0
1999-11-04,27.75,29.94,27.75,29.19,2625700.0,0.0,0.0,0.0,0.0,24.49834791059281,23.925888233032545,23.610060634674703,0.7665347843427561,0.23369321347361124,0.5328415708691449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8561500.0
1999-11-05,30.0,30.25,26.88,28.25,1284100.0,0.0,0.0,0.0,0.0,24.85564810958397,24.09546124350186,23.656229185573462,0.96474513859269,0.379903598497427,0.5848415400952629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7277400.0
1999-11-08,27.38,29.88,26.5,29.06,979200.0,0.0,0.0,0.0,0.0,25.25606257533788,24.290149037874336,23.709998049398603,1.1736592892034032,0.5386547366386223,0.6350045525647809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8256600.0
1999-11-09,29.0,29.13,27.5,28.63,567400.0,0.0,0.0,0.0,0.0,25.577389949115222,24.460339271683186,23.75895329268817,1.2896614380955214,0.6888560769300022,0.6008053611655192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7689200.0
1999-11-10,28.72,28.75,27.81,28.38,300100.0,0.0,0.0,0.0,0.0,25.84430519205663,24.614051457107376,23.80493385694003,1.3459062961950963,0.820266120783021,0.5256401754120753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7389100.0
1999-11-11,28.38,31.88,27.75,30.38,1172300.0,0.0,0.0,0.0,0.0,26.276276126146474,24.84016708624042,23.87035740065207,1.5341789765159,0.9630486919295969,0.5711302845863031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8561400.0
1999-11-12,31.69,32.0,29.88,32.0,1044800.0,0.0,0.0,0.0,0.0,26.821392685561097,25.120944847564328,23.951249366814736,1.7934333103682008,1.1291256156173177,0.664307694750883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9606200.0
1999-11-15,32.22,33.19,30.88,31.38,754600.0,0.0,0.0,0.0,0.0,27.255545763126708,25.3663979907971,24.025167283562848,1.9266561268009923,1.2886317178540527,0.6380244089469396,0.0,0.0,0.0,0.0,33.53191489361702,0.0,0.0,0.0,0.0,8851600.0
1999-11-16,32.13,35.0,32.0,34.38,1507900.0,0.0,0.0,0.0,0.0,27.934065214257497,25.719872579393293,24.12820044492043,2.248393021421542,1.4805839785675505,0.7678090428539914,0.0,0.0,0.0,0.0,37.52000000000002,0.0,0.0,0.0,0.0,10359500.0
1999-11-17,35.0,37.5,34.5,35.69,1638300.0,0.0,0.0,0.0,0.0,28.672725670042496,26.110857968436694,24.243243226563013,2.5793447990140344,1.7003361426568473,0.8790086563571871,0.0,0.0,0.0,0.0,30.065597667638478,0.0,0.0,0.0,0.0,11997800.0
1999-11-18,36.44,36.75,35.5,35.81,491600.0,0.0,0.0,0.0,2.554285714285714,29.3524660824194,26.491216479478393,24.358335333761392,2.8188159091048632,1.9240320959464505,0.8947838131584127,0.0,0.0,0.0,0.0,22.67899965741693,0.0,40.01677852348994,3.495525727069352,0.0,12489400.0
1999-11-19,40.13,44.38,40.0,42.88,4510800.0,0.0,0.0,0.0,2.9785714285714286,30.640802645998505,27.133913872440026,24.542630504569736,3.5383010704682754,2.2468858908508156,1.2914151796174598,90.61190276613578,0.0,0.0,0.0,51.787610619469035,0.0,52.61390887290168,2.997601918465228,0.0,17000200.0
1999-11-22,43.97,44.0,40.25,42.81,1125400.0,0.0,0.0,0.0,3.1299999999999994,31.799773822570078,27.748662348030614,24.724395375171035,4.056093706061056,2.6087274538928638,1.4473662521681918,89.70129291127952,0.0,0.0,0.0,47.31589814177566,0.0,48.35691465084439,2.852578731172981,0.0,15874800.0
