,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2014-11-07,25.16,25.25,25.16,25.25,501.0,0.0,0.0,0.0,0.0,25.25,25.25,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-10,25.25,25.25,25.12,25.12,5660.0,0.0,0.0,0.0,0.0,25.23761904761905,25.244901960784315,25.24870646766169,-0.010370370370370807,-0.0020740740740741617,-0.008296296296296645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5660.0
2014-11-11,24.91,25.18,24.91,25.12,8000.0,0.0,0.0,0.0,0.0,25.226417233560092,25.240003844675126,25.247425806291925,-0.018377123562309805,-0.005334683971721291,-0.013042439590588515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5660.0
2014-11-12,25.199,25.2,25.1,25.1,806.0,0.0,0.0,0.0,0.0,25.214377497030558,25.234513497825123,25.245958882846235,-0.026036236478358177,-0.009474994473048668,-0.016561242005309507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6466.0
2014-11-13,24.95,24.95,24.53,24.56,2900.0,0.0,0.0,0.0,0.0,25.152055830646695,25.20806198810649,25.239133421325377,-0.07481717980029501,-0.022543431538497936,-0.05227374826179707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9366.0
2014-11-14,24.56,24.56,24.56,24.56,20.0,0.0,0.0,0.0,0.0,25.095669561061296,25.18264779249447,25.23237587484453,-0.11218325015451924,-0.0404713952617022,-0.07171185489281703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9366.0
2014-11-17,24.72,24.72,24.72,24.72,210.0,0.0,0.0,0.0,0.0,25.059891507626887,25.164504741808415,25.22727760743314,-0.12741668703997178,-0.05786045361735612,-0.06955623342261566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9156.0
2014-11-18,24.72,24.72,24.59,24.63,11967.0,0.0,0.0,0.0,0.0,25.01894945928147,25.14354377154142,25.221334546662664,-0.14507916110076735,-0.07530419511403837,-0.06977496598672898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21123.0
2014-11-19,24.71,24.71,24.55,24.55,2608.0,0.0,0.0,0.0,0.0,24.974287606016567,25.120267545206463,25.214654600924728,-0.1636457244122056,-0.09297250097367182,-0.07067322343853377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23731.0
2014-11-20,24.55,24.55,24.55,24.55,0.0,0.0,0.0,0.0,0.0,24.93387926258642,25.097904112061112,25.20804112230856,-0.17632726860878023,-0.1096434545006935,-0.06668381410808673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23731.0
2014-11-21,24.99,25.0,24.79,24.95,8315.0,0.0,0.0,0.0,0.0,24.935414570911522,25.092103950803814,25.20547354895226,-0.15234469191254973,-0.11818370198306476,-0.03416098992948498,0.0,0.0,0.0,0.0,-1.1881188118811892,0.0,0.0,0.0,0.0,-15416.0
2014-11-24,24.88,24.9,24.742,24.77,900.0,0.0,0.0,0.0,0.0,24.919660802253283,25.079472423321313,25.201140478813432,-0.14617777635951867,-0.12378251685835555,-0.022395259501163126,0.0,0.0,0.0,0.0,-1.3933121019108374,0.0,0.0,0.0,0.0,-16316.0
2014-11-25,24.9,24.9399,24.65,24.66,6563.0,0.0,0.0,0.0,0.0,24.894931202038684,25.063022524367536,25.195755996437182,-0.14845523253467263,-0.12871705999361896,-0.019738172541053672,0.0,0.0,0.0,0.0,-1.8312101910828105,0.0,0.0,0.0,0.0,-22879.0
