,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2006-04-28,129.0,140.0,128.64,138.12,2343000.0,0.0,0.0,0.0,0.0,138.12,138.12,138.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,141.0,141.79,137.5,138.7,1478600.0,0.0,0.0,0.0,0.0,138.1752380952381,138.14274509803923,138.12577114427862,0.046267806267792366,0.009253561253558473,0.03701424501423389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478600.0
2006-05-02,142.45,144.0,141.0,143.65,1251100.0,0.0,0.0,0.0,0.0,138.6966439909297,138.3587158785083,138.18073859557933,0.4768620384574547,0.10277525669433772,0.37408678176311694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2729700.0
2006-05-03,144.5,144.64,134.13,139.25,1514100.0,0.0,0.0,0.0,0.0,138.7493445632221,138.39366819699816,138.19137801253873,0.4577907156606784,0.17377834848760587,0.28401236717307254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215600.0
2006-05-04,139.5,142.87,136.8,140.0,1107500.0,0.0,0.0,0.0,0.0,138.86845460482002,138.45666160103747,138.20937425121994,0.4974608677069341,0.23851485233147154,0.2589460153754626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2323100.0
2006-05-05,140.0,140.3,137.5,139.95,658600.0,0.0,0.0,0.0,0.0,138.97145892817048,138.51522389119287,138.2266939104118,0.5188837974559419,0.29458864135636564,0.2242951560995763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1664500.0
2006-05-08,135.9,140.0,135.06,140.0,945300.0,0.0,0.0,0.0,0.0,139.06941522072566,138.57345040526374,138.24433874712412,0.5337435424449666,0.34241962157408584,0.19132392087088074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2609800.0
2006-05-09,140.98,146.25,140.6,145.0,1105400.0,0.0,0.0,0.0,0.0,139.6342328187518,138.8254719579985,138.311559257103,0.9381636441606531,0.4615684260913993,0.4765952180692538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3715200.0
2006-05-10,142.9,145.75,142.5,145.26,1391100.0,0.0,0.0,0.0,0.0,140.17002016934686,139.07780639101819,138.38069797096267,1.2650664173662847,0.6222680243463764,0.6427983930199083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5106300.0
2006-05-11,150.0,152.5,148.0,148.6,1053200.0,0.0,0.0,0.0,0.0,140.97287539131383,139.45122574823316,138.48238256826653,1.7732088588536783,0.8524561912478369,0.9207526676058414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6159500.0
