,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2020-04-09,0.66325154,0.74446509,0.58710185,0.68938148,1313219.49604733,0.0,0.0,0.0,0.0,0.68938148,0.68938148,0.68938148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,0.68763386,1.2998012,0.60970738,0.9468132,39815492.51653685,0.0,0.0,0.0,0.0,0.7138987866666666,0.6994768415686274,0.6919429896517413,0.02053586370370364,0.0041071727407407275,0.01642869096296291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39815492.51653685
2020-04-11,0.94732333,1.04992034,0.76884244,0.77701006,80719663.9141607,0.0,0.0,0.0,0.0,0.7199093841269841,0.7025173599384852,0.6927894281626693,0.022845639041890853,0.007854866000970753,0.0149907730409201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40904171.39762385
2020-04-12,0.78599851,0.95929731,0.76381624,0.8965445,42350947.87781852,0.0,0.0,0.0,0.0,0.7367317761148904,0.7101262673918779,0.694816841812792,0.03393045380495041,0.013069983561766686,0.020860470243183726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446776.4801946655
2020-04-13,0.87970593,0.87970593,0.7765568,0.7765568,28375420.39796751,0.0,0.0,0.0,0.0,0.7405246355325199,0.7127313863176866,0.6956301747300777,0.032656797521821046,0.01698734635377756,0.015669451168043486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26928643.917772844
2020-04-14,0.77990501,0.79476095,0.63178694,0.66740104,17248681.98835924,0.0,0.0,0.0,0.0,0.7335604835770418,0.7109537256777774,0.6953492878173406,0.022579179436499563,0.01810571297032196,0.004473466466177602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44177325.90613209
2020-04-15,0.66973247,0.70408571,0.62432148,0.64006149,16763606.15814793,0.0,0.0,0.0,0.0,0.7246558175220855,0.708173638004139,0.6947991604758745,0.012245364361828881,0.016933643248623346,-0.004688278886794465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60940932.06428002
2020-04-16,0.64294733,0.77013627,0.62389378,0.6952078,20101247.95183761,0.0,0.0,0.0,0.0,0.721851244424744,0.7076651737686827,0.6948032265407912,0.008408658028547511,0.01522864620460818,-0.006819988176060669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40839684.112442404
2020-04-17,0.69253533,0.71233027,0.66075081,0.6691781,15090112.0243416,0.0,0.0,0.0,0.0,0.7168347544795303,0.7061558767581461,0.6945482501573007,0.003230423060551657,0.012829001575796875,-0.009598578515245218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55929796.136784
2020-04-18,0.6568159,0.72008691,0.65678029,0.67966293,9926508.31104055,0.0,0.0,0.0,0.0,0.713294580719575,0.7051169376695914,0.6944001375189196,-2.7015880875946863e-05,0.01025779808446231,-0.010284813965338258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46003287.82574345
