,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,136.5,137.0,135.5625,135.5625,4006500.0,0.0,0.0,0.0,0.0,135.5625,135.5625,135.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,135.9687,137.25,134.5937,134.5937,6516900.0,0.0,0.0,0.0,0.0,135.47023333333334,135.52450784313726,135.55286019900498,-0.07728319088317903,-0.015456638176635807,-0.06182655270654323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6516900.0
1999-11-03,136.0,136.375,135.125,135.5,7222300.0,0.0,0.0,0.0,0.0,135.47306825396825,135.5235467512495,135.5523342268756,-0.06465454338845689,-0.025296219219000025,-0.039358324169456865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705400.0
1999-11-04,136.75,137.3593,135.7656,136.5312,7907500.0,0.0,0.0,0.0,0.0,135.5738427059713,135.563062564926,135.56207418481713,0.02823746867593968,-0.014589481640012085,0.04282695031595177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8612900.0
1999-11-05,138.625,139.1093,136.7812,137.875,7431500.0,0.0,0.0,0.0,0.0,135.79300054349784,135.6537267780662,135.58508837203289,0.2078920368896604,0.029906822065922416,0.177985214823738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16044400.0
1999-11-08,137.0,138.375,136.75,138.0,4649200.0,0.0,0.0,0.0,0.0,136.00319096792663,135.74573749265184,135.60911734345544,0.35624941042587466,0.09517533973791287,0.2610740706879618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20693600.0
1999-11-09,138.5,138.6875,136.2812,136.7031,4533700.0,0.0,0.0,0.0,0.0,136.06984897098124,135.783281120391,135.62000274302306,0.36496758729410317,0.14913378924915094,0.21583379804495223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16159900.0
1999-11-10,136.25,138.3906,136.0781,137.7187,6405600.0,0.0,0.0,0.0,0.0,136.22688240231636,135.8591798999835,135.64088530279398,0.4486554171789692,0.20903811483511459,0.2396173023438546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22565500.0
1999-11-11,138.1875,138.5,137.4687,138.5,4794100.0,0.0,0.0,0.0,0.0,136.44336979257196,135.96274147253317,135.66933420525373,0.5714358489442759,0.28151766165694686,0.28991818728732904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27359600.0
1999-11-12,139.25,139.9843,137.125,139.75,11802900.0,0.0,0.0,0.0,0.0,136.75828695518416,136.11126141478678,135.70993784500246,0.7608343541855334,0.3773810001626642,0.3834533540228692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39162500.0
1999-11-15,139.8437,140.25,139.4062,140.0781,2187500.0,0.0,0.0,0.0,0.0,137.074459626119,136.26682371224612,135.75340214505218,0.9267262388710265,0.4872500479043367,0.4394761909666898,0.0,0.0,0.0,0.0,3.3310096818810475,0.0,0.0,0.0,0.0,41350000.0
1999-11-16,140.5625,143.0,140.0937,141.25,7544800.0,0.0,0.0,0.0,0.0,137.4721301379172,136.46224239019725,135.8080946610218,1.1396224307030138,0.6177245244640721,0.5218979062389417,0.0,0.0,0.0,0.0,4.945476645637936,0.0,0.0,0.0,0.0,48894800.0
1999-11-17,142.25,142.9375,141.3125,141.625,9459000.0,0.0,0.0,0.0,0.0,137.86764155335365,136.6647034729346,135.86597431613603,1.3233488211046733,0.7588493837921924,0.564499437312481,0.0,0.0,0.0,0.0,4.520295202952029,0.0,0.0,0.0,0.0,58353800.0
1999-11-18,142.4375,143.0,141.625,142.625,4491000.0,0.0,0.0,0.0,1.955364285714278,138.3207233101771,136.89844059164307,135.93322830304015,1.5319851802956634,0.9134765430928866,0.6185086372027768,0.0,0.0,0.0,0.0,4.463302160971261,0.0,27.054513042874778,6.107374950228494,0.0,62844800.0
1999-11-19,142.4062,142.9687,142.0,142.5,4832100.0,0.0,0.0,0.0,1.9218785714285644,138.71874966158882,137.11810958804924,135.9985693149502,1.668016684729679,1.0643845714202451,0.6036321133094338,79.5996211248497,0.0,0.0,0.0,3.354487760652769,0.0,27.525895422261744,6.213786362301765,0.0,58012700.0
1999-11-22,142.4375,143.0,141.5,142.4687,4155400.0,0.0,0.0,0.0,1.8392857142857082,139.07588778905654,137.3279366630277,136.0629487247517,1.7530884709987333,1.202125351335943,0.5509631196627904,86.52123100896,0.0,0.0,0.0,3.2381884057971044,0.0,28.76194174757285,4.672233009708778,0.0,53857300.0
1999-11-23,142.8437,142.8437,140.375,141.2187,5918000.0,0.0,0.0,0.0,1.88838571428571,139.27996514247974,137.48051561741877,136.11424973246562,1.7000468394887491,1.301709648966504,0.39833719052224503,75.7017914445714,0.0,0.0,0.0,3.3032169716707305,0.0,28.014101235371108,8.806085318526073,0.0,47939300.0
1999-11-24,140.75,142.4375,140.0,141.9687,4459700.0,0.0,0.0,0.0,1.9296857142857107,139.53603512891024,137.65652284810824,136.1725029689585,1.6989453123571252,1.3811567816446284,0.3177885307124968,75.0716992963787,0.0,0.0,0.0,3.0860006665761386,0.0,23.771080412798554,10.005700410133446,0.0,52399000.0
1999-11-26,142.4687,142.875,141.25,141.4375,1693900.0,0.0,0.0,0.0,1.8616071428571408,139.717127021395,137.80479646190793,136.22489099911812,1.6363461636089198,1.4321946580374867,0.20415150557143313,67.75692083777778,0.0,0.0,0.0,2.1209386281588527,0.0,19.60441247002398,10.371606714628333,0.0,50705100.0
1999-11-29,140.875,141.9218,140.4375,140.9375,7348600.0,143.0,134.5937,138.79685,1.8515571428571402,139.83335301935736,137.9276475810488,136.2717826309677,1.5287673870841445,1.4515092038468183,0.07725818323732625,64.11404629887666,144.59774165365832,134.0865983463417,0.07543404345803295,0.8497316636851604,0.0,19.710822550903107,13.441967764584245,5868010.0,43356500.0
1999-11-30,140.75,142.3125,139.0,139.2812,7682000.0,143.0,134.5937,138.79685,1.9162857142857124,139.7807670175138,137.9807280680665,136.30172708240084,1.2949336745694495,1.4201940979913446,-0.12526042342189503,61.97367565508983,144.47468881276785,134.58152118723217,0.07090447924836134,-0.5688969225025153,0.0,19.045027583122106,16.598702847771026,6051785.0,35674500.0
1999-12-01,139.3125,140.5,139.0,140.4062,6980200.0,143.0,135.125,139.0625,1.8582499999999982,139.84033206346487,138.07584461441684,136.34256760894414,1.1867171342850895,1.3734987052500935,-0.18678157096500403,62.35620821877503,144.1947345353099,135.44272546469014,0.06259539813170774,-0.5973805309734459,0.0,19.639830101285767,16.336414829620818,6074950.0,42654700.0
1999-12-02,140.625,141.375,140.375,141.25,6698300.0,143.0,135.7656,139.3828,1.8560142857142847,139.9745861526587,138.2003212962044,136.39139778198947,1.1557199345262745,1.3299429511053298,-0.17422301657905526,62.57131363370395,144.01852383629011,136.1939361637099,0.05584753563478374,-0.26478375992938785,0.0,22.609893704635905,16.35609331824725,6048750.0,49353000.0
1999-12-03,143.0312,145.3437,143.0312,143.8437,10045400.0,145.3437,136.0781,140.7109,1.9441857142857148,140.34307318573883,138.4216302649807,136.4655500428652,1.3251686249200532,1.3289880858682745,-0.003819460948221387,66.66639525131711,144.34396619429018,136.59974380570983,0.05513006422945251,0.8544785276073608,0.0,30.71208658784809,15.614322558838436,6155645.0,59398400.0
1999-12-06,143.5312,143.7187,142.25,142.7812,3138900.0,145.3437,136.0781,140.7109,1.9977500000000024,140.575275739478,138.59259378400108,136.5283923309959,1.358068098876231,1.334804088469866,0.023264010406365054,60.3839977872877,144.51754705130676,136.91678294869322,0.05401447721472742,0.19733333333333825,0.0,28.93862738437886,17.98880883851478,5941015.0,56259500.0
1999-12-07,143.2812,143.3125,141.375,141.625,10714200.0,145.3437,136.0781,140.7109,1.9274357142857172,140.67524947857532,138.71151167482458,136.57910484511535,1.2761350018461428,1.3230702711451214,-0.04693526929897862,51.44230769230769,144.49338049271194,137.30344950728812,0.0510291828720984,-0.5922002517044223,0.0,19.803143332555116,21.887704240645427,6244265.0,45545300.0
1999-12-08,141.3437,142.0625,140.5,140.7187,4611400.0,145.3437,136.0781,140.7109,1.9185071428571459,140.6793876234729,138.79022494247852,136.6202948466565,1.1251021195365922,1.2834766408234157,-0.1583745212868235,46.65109782504272,144.1084200308361,138.08996996916392,0.042654035422896516,-0.3540607582423583,31.849184902828426,19.895305501673565,25.247309105666243,6248150.0,40933900.0
1999-12-09,141.8125,142.2187,139.375,141.4062,6474700.0,145.3437,137.125,141.23435,2.0234142857142894,140.74860784980882,138.89281219963624,136.66791579345593,1.0487931420058771,1.236539941059908,-0.1877467990540309,45.389899234423744,143.83823303976408,138.72890696023592,0.03616362525046726,-0.3962140950787063,28.75911796659519,18.643170313261187,27.909685891597647,6251605.0,47408600.0
1999-12-10,142.2812,142.8125,140.875,141.875,5127300.0,145.3437,137.125,141.23435,2.0926142857142884,140.85588329268418,139.00976074082698,136.71972757660564,1.014451998447555,1.1921223525374376,-0.17767035408988252,47.69586952354267,143.65432562511828,139.25031437488175,0.031134245449184018,0.3093239063190367,25.300019278676093,20.053521569055768,26.98674931562025,6268265.0,52535900.0
1999-12-13,141.4375,142.7187,141.2812,142.125,4210800.0,145.3437,139.0,142.17185,2.088150000000003,140.97675155052377,139.13192698628475,136.77351138181353,0.9959288575007577,1.1528836535301017,-0.15695479602934403,48.753020397204864,143.63858874793254,139.5035512520675,0.029208209670697895,0.842572062084268,20.977013901037793,20.096394279283412,25.334113244464522,5888660.0,56746700.0
1999-12-14,141.625,142.4843,140.625,140.75,5739000.0,145.3437,139.0,142.17185,2.0446214285714297,140.95515616475961,139.19538082995987,136.81307843274078,0.8603801988387261,1.0943829625918267,-0.23400276375310058,48.31479257602665,143.59025172042186,139.61907827957816,0.028044086265404458,1.0545572553941174,17.84307731960194,20.524232568376252,24.23571251401769,6066235.0,51007700.0
1999-12-15,140.375,142.2031,140.0312,141.5,6879100.0,145.3437,139.0,142.17185,2.025650000000001,141.00704605383012,139.28575805231438,136.8597144682359,0.8042052645725732,1.036347422987976,-0.23214215841540287,48.31479257602665,143.59648848705837,139.63784151294163,0.027953157896620315,0.779025427652047,15.63434987107829,20.71645433035603,25.23422816662027,6032950.0,57886800.0
1999-12-16,142.1875,142.6562,141.1562,142.125,5854900.0,145.3437,139.0,142.17185,2.0167214285714294,141.11351785822725,139.39710087379225,136.91210536904947,0.8008863814344522,0.9892552146772714,-0.18836883324281917,52.45533960471711,143.6344930202078,139.6498369797922,0.02813184930077556,0.6194690265486802,14.127194367418952,20.863424015640675,25.345946922338626,5852745.0,63741700.0
1999-12-17,143.0,143.3125,142.0625,142.6875,4775400.0,145.3437,139.0,142.17185,1.9999857142857158,141.26342091934848,139.52613613364355,136.96957198229276,0.8340310014096133,0.9582103720237398,-0.12417937061412654,56.22217797562329,143.64429381916904,139.64628618083094,0.028225489448594408,-0.8037891127661623,12.889148764410818,23.38195272823373,22.65623325880902,5866965.0,68517100.0
