,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2010-06-29,19.0,25.0,17.54,23.89,18766300.0,0.0,0.0,0.0,0.0,23.89,23.89,23.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-30,25.79,30.4192,23.3,23.83,17187100.0,0.0,0.0,0.0,0.0,23.884285714285713,23.887647058823532,23.88940298507463,-0.004786324786323348,-0.0009572649572646696,-0.0038290598290586786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17187100.0
2010-07-01,25.0,25.92,20.27,21.96,8218800.0,0.0,0.0,0.0,0.0,23.701020408163263,23.812053056516728,23.870204945422145,-0.1576555385102374,-0.03229691966785921,-0.12535861884237817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25405900.0
2010-07-02,23.0,23.1,18.71,19.2,5139800.0,0.0,0.0,0.0,0.0,23.272351797862,23.631188230770974,23.823735244472672,-0.49579916135934,-0.12499736800615538,-0.37080179335318464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30545700.0
2010-07-06,20.0,20.0,15.83,16.11,6866900.0,0.0,0.0,0.0,0.0,22.590223055208476,23.336239672701524,23.746981659950556,-1.0015720948011229,-0.3003123133651489,-0.701259781435974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37412600.0
2010-07-07,16.4,16.63,14.98,15.8,6921700.0,0.0,0.0,0.0,0.0,21.943535145188623,23.04070086200735,23.66790721557294,-1.4111483578133353,-0.5224795222547862,-0.888668835558549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44334300.0
2010-07-08,16.14,17.52,15.57,17.46,7711400.0,0.0,0.0,0.0,0.0,21.516531798027803,22.82184984781098,23.606136994522462,-1.5835383261811558,-0.7346912830400602,-0.8488470431410956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36622900.0
2010-07-09,17.58,17.9,16.55,17.4,4050600.0,0.0,0.0,0.0,0.0,21.124481150596583,22.609228285151726,23.544384387611792,-1.705341995686645,-0.9288214255693772,-0.7765205701172677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40673500.0
2010-07-12,17.95,18.07,17.0,17.05,2202500.0,0.0,0.0,0.0,0.0,20.73643532673024,22.391219332792836,23.479763647436553,-1.8092583521859673,-1.1049088108926952,-0.7043495412932721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42876000.0
2010-07-13,17.3938,18.64,16.9,18.14,2680100.0,0.0,0.0,0.0,0.0,20.489155771803553,22.224504849153902,23.426631670845143,-1.7831044052588148,-1.2405479297659192,-0.5425564754928955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40195900.0
