,open,high,low,close,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di
2006-07-27,7.9845,7.9845,7.9728,7.974,0.0,0.0,0.0,0.0,7.974,7.974,7.974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-28,7.9808,7.9845,7.9685,7.971,0.0,0.0,0.0,0.0,7.973714285714286,7.973882352941177,7.973970149253732,-0.0002393162393170556,-4.7863247863411123e-05,-0.00019145299145364447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-31,7.9705,7.9743,7.9643,7.97,0.0,0.0,0.0,0.0,7.973360544217687,7.973730103806229,7.973930645281058,-0.0005038595465949314,-0.00013906250760971518,-0.0003647970389852162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,7.972,7.973,7.9665,7.973,0.0,0.0,0.0,0.0,7.973326206673145,7.973701472284416,7.9739213851290085,-0.0004660645930769647,-0.0002044629247031651,-0.0002616016683737996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-02,7.9743,7.9768,7.967,7.9703,0.0,0.0,0.0,0.0,7.973037996513798,7.973568081214439,7.973885351446133,-0.0006465265002280063,-0.00029287563980813334,-0.00035365086041987294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-03,7.9737,7.9765,7.9735,7.975,0.0,0.0,0.0,0.0,7.9732248539886745,7.973624234892304,7.97389644247652,-0.00040561743602740563,-0.00031542399905198784,-9.019343697541779e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-04,7.9756,7.9775,7.9743,7.9743,0.0,0.0,0.0,0.0,7.973327248846896,7.973650735484763,7.973900457974267,-0.0002680890531241431,-0.0003059570098664189,3.786795674227581e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-07,7.977,7.978,7.9646,7.968,0.0,0.0,0.0,0.0,7.972819891813859,7.973429138014772,7.973841746949648,-0.0006598478522388262,-0.00037673517834090043,-0.0002831126738979258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-08,7.9727,7.974,7.9697,7.9712,0.0,0.0,0.0,0.0,7.972665616403015,7.973341720837722,7.973815460910348,-0.0007039910953938744,-0.00044218636175149525,-0.00026180473364237914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-09,7.9712,7.979,7.9712,7.9745,0.0,0.0,0.0,0.0,7.972840319602728,7.973387143549969,7.973822272244574,-0.0004673057036157502,-0.00044721023012434625,-2.009547349140394e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-10,7.977,7.977,7.9674,7.9708,0.0,0.0,0.0,0.0,7.9726460034500874,7.973285686940167,7.973792199883931,-0.000571699704888573,-0.00047210812507719166,-9.959157981138136e-05,0.0,0.0,0.0,0.0,-0.04013042387760457,0.0,0.0,0.0
2006-08-11,7.9712,7.9777,7.9712,7.9759,0.0,0.0,0.0,0.0,7.972955907883413,7.9733882090209445,7.973813173019415,-0.00024013717363580156,-0.0004257139347889137,0.00018557676115311212,0.0,0.0,0.0,0.0,0.0614728390415209,0.0,0.0,0.0
2006-08-14,7.9777,7.989,7.9777,7.983,0.0,0.0,0.0,0.0,7.973912488084992,7.973765142000516,7.973904584233152,0.0005887524126571009,-0.0002228206652997108,0.0008115730779568117,0.0,0.0,0.0,0.0,0.16311166875784266,0.0,0.0,0.0
2006-08-15,7.984,8.0015,7.984,8.0015,0.0,0.0,0.0,0.009907142857142923,7.976539870172136,7.974852783490691,7.974179165484563,0.002707241377272851,0.00036319174321480156,0.0023440496340580495,0.0,0.0,0.0,0.0,0.357456415401991,0.0,24.729632299927736,15.861571737563796
2006-08-16,7.992,7.9932,7.977,7.9875,0.0,0.0,0.0,0.010821428571428664,7.977583692060504,7.975348752765567,7.974311711101633,0.00321936530821354,0.0009344264562145492,0.0022849388519989907,58.84665792922641,0.0,0.0,0.0,0.21580116181323383,0.0,22.640264026402445,19.14191419141951
2006-08-17,7.9882,7.9882,7.9785,7.979,0.0,0.0,0.0,0.010371428571428634,7.977718578530932,7.975491938931623,7.974358360742413,0.0029058514044404404,0.0013287114458597274,0.001577139958580713,54.88997555012224,0.0,0.0,0.0,0.050156739811924034,0.0,23.622589531680298,17.01101928374657
