,open,high,low,close,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di
2007-01-12,120.5,120.72,120.16,120.32,0.0,0.0,0.0,0.0,120.32,120.32,120.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-15,120.44,120.5,120.36,120.43,0.0,0.0,0.0,0.0,120.33047619047619,120.3243137254902,120.32109452736319,0.008774928774926138,0.0017549857549852277,0.007019943019940911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-16,120.42,120.76,120.21,120.66,0.0,0.0,0.0,0.0,120.36185941043084,120.33747789311803,120.32446672112077,0.03389745213107176,0.008183479030202534,0.025713973100869224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-17,120.63,120.87,120.35,120.66,0.0,0.0,0.0,0.0,120.39025375229457,120.35012581887811,120.32780536071161,0.05319404504963643,0.017185592234089313,0.03600845281554711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-18,120.65,121.58,120.47,121.21,0.0,0.0,0.0,0.0,120.46832482350462,120.38384637500054,120.33658341682394,0.11158090223597128,0.03606465423446571,0.07551624800150557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-19,121.23,121.47,121.09,121.22,0.0,0.0,0.0,0.0,120.5399129355518,120.41663671323582,120.34537363158192,0.15685173447899103,0.06022207028337078,0.09662966419562025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-22,121.23,121.79,121.2,121.67,0.0,0.0,0.0,0.0,120.64754027502305,120.46578821467756,120.35855399345674,0.2264302869830317,0.09346371362330297,0.13296657335972872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-23,121.65,121.74,121.09,121.65,0.0,0.0,0.0,0.0,120.74301262978275,120.51222789253335,120.37140420247708,0.2767675541929293,0.13012448173722824,0.14664307245570107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-24,121.65,121.78,120.64,121.19,0.0,0.0,0.0,0.0,120.78558285551773,120.53880719086537,120.37954943429324,0.2763563811614489,0.15937086162207237,0.11698551953937653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-25,121.17,121.28,120.19,121.24,0.0,0.0,0.0,0.0,120.82886067880176,120.56630494808634,120.38811113146446,0.27687348056799976,0.18287138541125786,0.0940020951567419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-26,121.24,121.63,121.17,121.52,0.0,0.0,0.0,0.0,120.89468347129683,120.60370475404375,120.39937370727078,0.29645954442705147,0.20558901721441658,0.09087052721263489,0.0,0.0,0.0,0.0,0.9973404255319229,0.0,0.0,0.0
2007-01-29,121.5,122.17,121.43,121.75,0.0,0.0,0.0,0.0,120.97614218831617,120.64865750878714,120.41281277486013,0.32677387315506223,0.22982598840254573,0.0969478847525165,0.0,0.0,0.0,0.0,1.0960724072075045,0.0,0.0,0.0
2007-01-30,121.74,121.99,121.47,121.63,0.0,0.0,0.0,0.0,121.03841436085749,120.68714152805039,120.42492409053317,0.3372278472507304,0.25130636017218266,0.08592148707854774,0.0,0.0,0.0,0.0,0.8039118183325034,0.0,0.0,0.0
