,open,high,low,close,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di
2014-11-07,3.4038,3.4115,3.3869,3.3992,0.0,0.0,0.0,0.0,3.3992,3.3992,3.3992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-10,3.3881,3.3992,3.37,3.3966,0.0,0.0,0.0,0.0,3.398952380952381,3.399098039215686,3.399174129353234,-0.0002074074074074339,-4.1481481481486786e-05,-0.00016592592592594712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-11,3.3938,3.3962,3.374,3.3801,0.0,0.0,0.0,0.0,3.3971569160997737,3.3983530180699733,3.398984337021361,-0.0016837817874852945,-0.00036994154268224836,-0.001313840244803046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-12,3.379,3.3967,3.3711,3.3925,0.0,0.0,0.0,0.0,3.3967134002807478,3.398123487949582,3.3989198162549794,-0.0018321231760078938,-0.0006623778693473775,-0.0011697453066605162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-13,3.3924,3.4012,3.3803,3.3951,0.0,0.0,0.0,0.0,3.3965597431111525,3.3980049197946967,3.3988818081330394,-0.0017200587576029491,-0.000873914046998492,-0.0008461447106044572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-14,3.3936,3.4105,3.3685,3.3855,0.0,0.0,0.0,0.0,3.3955064342434236,3.39751453078314,3.398748655813308,-0.002378469156201657,-0.001174825068839125,-0.001203644087362532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-17,3.3728,3.3917,3.3581,3.389,0.0,0.0,0.0,0.0,3.394886773839288,3.3971806276151737,3.398651654262927,-0.0025880104182811614,-0.0014574621387275324,-0.001130548279553629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-18,3.3889,3.3916,3.3575,3.363,0.0,0.0,0.0,0.0,3.3918499382355463,3.395840210845951,3.3982969114344406,-0.004796762000613519,-0.00212532211110473,-0.0026714398895087894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-19,3.3623,3.3696,3.3441,3.3624,0.0,0.0,0.0,0.0,3.3890451822131133,3.394528830028463,3.397939728236088,-0.00652046467052525,-0.003004350622988834,-0.003516114047536416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-20,3.3625,3.3713,3.3492,3.3579,0.0,0.0,0.0,0.0,3.386078974383293,3.3930924053214646,3.3975413229800075,-0.008155611039595279,-0.004034602706310123,-0.004121008333285155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-21,3.358,3.396,3.3479,3.3871,0.0,0.0,0.0,0.0,3.3861762149182177,3.3928574090343484,3.397437429219013,-0.007014422456506519,-0.004630566656349403,-0.0023838558001571166,0.0,0.0,0.0,0.0,-0.35596610967285613,0.0,0.0,0.0
2014-11-24,3.3716,3.378,3.3689,3.373,0.0,0.0,0.0,0.0,3.384921337306959,3.392078687111433,3.3971942707193215,-0.007165178723812726,-0.005137489069842067,-0.002027689653970659,0.0,0.0,0.0,0.0,-0.6948124595183347,0.0,0.0,0.0
2014-11-25,3.3726,3.3811,3.3422,3.3457,0.0,0.0,0.0,0.0,3.3811859718491535,3.390259915067847,3.3966818899161444,-0.009379415927841528,-0.00598587444144196,-0.003393541486399568,0.0,0.0,0.0,0.0,-1.017721369190272,0.0,0.0,0.0
2014-11-26,3.3458,3.3565,3.3335,3.3403,0.0,0.0,0.0,0.029171428571428563,3.3772920697682816,3.3883007027122454,3.3961208760861332,-0.011438098456036716,-0.007076319244360912,-0.004361779211675804,0.0,0.0,0.0,0.0,-1.538688282977152,0.0,7.566111655239836,22.380019588638522
2014-11-27,3.3402,3.3555,3.3354,3.3524,0.0,0.0,0.0,0.02884999999999998,3.3749213964570166,3.3868928320176477,3.3956858424932364,-0.011955435497146283,-0.008052142494917987,-0.003903293002228296,35.9374999999999,0.0,0.0,0.0,-1.2576949132573456,0.0,7.650408516959521,22.629363703887044
2014-11-28,3.3522,3.367,3.3442,3.3475,0.0,0.0,0.0,0.02839285714285714,3.372309834889682,3.3853480150757793,3.395206381373901,-0.012615395452464373,-0.008964793086427265,-0.003650602366037108,35.44754001185537,0.0,0.0,0.0,-1.1224339093191538,0.0,10.666666666666497,18.74213836477988
2014-12-01,3.3561,3.3694,3.3374,3.3469,0.0,0.0,0.0,0.029064285714285733,3.369889850614474,3.38384024977869,3.3947257208627177,-0.013036556153041445,-0.009779145699750101,-0.003257410453291344,39.13612565445023,0.0,0.0,0.0,-1.2422543523163077,0.0,10.420250675841558,19.98033914966814
2014-12-02,3.3469,3.3639,3.3396,3.3598,0.0,0.0,0.0,0.028971428571428617,3.3689289124607145,3.382897494885408,3.3943782012521435,-0.012188900791350932,-0.010261096718070267,-0.0019278040732806645,39.334637964774814,0.0,0.0,0.0,-0.09515313707999518,0.0,10.453648915187195,19.32938856015771
2014-12-03,3.3598,3.3789,3.3569,3.3728,0.0,0.0,0.0,0.02905000000000005,3.3692975874644557,3.3825015146938235,3.3941634927819733,-0.010348841453372781,-0.010278645665130771,-7.019578824201018e-05,43.188759926695134,0.0,0.0,0.0,0.3093028788960117,0.0,13.0071305630684,19.277108433734856
2014-12-04,3.3725,3.3877,3.3363,3.3574,3.4115,3.3335,3.3725,0.029721428571428645,3.3681644838964124,3.3815171415685756,3.3937976868836452,-0.010017754035259951,-0.010226467339156609,0.0002087133038966571,41.710914454277294,3.4087252273372775,3.331694772662723,0.022856277405430107,-0.014890258792688016,0.0,12.713290074501119,20.95650084114384
2014-12-05,3.3569,3.3921,3.3506,3.3805,3.4105,3.3335,3.372,0.030285714285714343,3.369339294953897,3.3814772536639257,3.393665371591271,-0.007801457579072135,-0.009741465387139714,0.0019400078080675787,47.75251189846647,3.4056769591722618,3.332873040827739,0.021608185245942404,-0.19485695727908814,0.0,13.51415094339602,18.11320754716967
2014-12-08,3.3816,3.3996,3.3685,3.3766,3.4105,3.3335,3.372,0.03007142857142862,3.3700307906725735,3.3812859888143603,3.393495566898821,-0.006287248588280114,-0.009050622027367795,0.0027633734390876807,54.07185628742512,3.4025532346164598,3.3339967653835396,0.02035358432221839,0.10672991402311816,0.0,15.391923990498569,18.09976247030867
2014-12-09,3.3756,3.3914,3.3395,3.3574,3.4105,3.3335,3.372,0.03195714285714289,3.3688278582275664,3.38034928337066,3.393136407029181,-0.006560876887935496,-0.008552672999481335,0.001991796111545839,48.65301724137933,3.401272583599223,3.3330074164007772,0.02027393194178013,0.3497026033416173,0.0,14.483683504693564,20.51855163164943
2014-12-10,3.3569,3.3662,3.3483,3.3546,3.4105,3.3335,3.372,0.03165714285714289,3.367472824110655,3.379339507552203,3.39275296019307,-0.006923852029968369,-0.008226908805578742,0.0013030567756103732,49.10277324632956,3.3976120056173205,3.33287799438268,0.019236047073731746,0.4281052600065838,0.0,14.237364620938397,20.712996389891597
2014-12-11,3.3546,3.3752,3.3396,3.3638,3.4105,3.3335,3.372,0.03076428571428577,3.367123031338212,3.3787301150991755,3.3924648710369203,-0.006395426833214035,-0.007860612411105802,0.0014651855778917665,42.89200732153736,3.3928365357844075,3.3345234642155925,0.01733609367383786,0.34005488605177714,0.0,11.005340143951507,21.314139772463314
2014-12-12,3.3618,3.3714,3.3452,3.3525,3.3996,3.3335,3.36655,0.03133571428571431,3.365730361686954,3.3777014831345022,3.3920672106285927,-0.006809960632529144,-0.00765048205539047,0.0008405214228613261,43.637492240844075,3.3896835788109367,3.334376421189063,0.016450524719254074,0.14936519790889058,0.0,10.804650102575607,20.925461591064416
2014-12-15,3.3496,3.3678,3.3496,3.3601,3.3996,3.3335,3.36655,0.029857142857142867,3.3651941367643867,3.3770112288939336,3.391749128930796,-0.006450863630482306,-0.0074105583704088375,0.0009596947399265312,55.09193776520523,3.385152867332417,3.3360171326675836,0.014621184902281465,0.3943948131106323,26.39077559807188,11.339712918660098,15.574162679425765
2014-12-16,3.3586,3.3807,3.3442,3.3679,3.3996,3.3335,3.36655,0.030821428571428586,3.365451838024921,3.376653925800054,3.391511824165316,-0.0054737834877904845,-0.007023203393885167,0.0015494199060946826,59.59666203059819,3.3855961993769537,3.3360638006230463,0.014738144670782919,0.2410857789154175,23.09601718956599,13.974507531865427,13.070683661645313
2014-12-17,3.3683,3.4329,3.36,3.4311,3.4329,3.3335,3.3832,0.034592857142857154,3.3717040439273096,3.378789065964758,3.391905736362676,0.00039570988312531696,-0.0055394207384830705,0.005935130621608387,70.18984094407406,3.4042989474367507,3.3242310525632504,0.0237995208087057,1.7285341555977274,21.93504576373321,23.229403262440503,11.645674168903478
2014-12-18,3.4296,3.4679,3.4212,3.4588,3.4679,3.3335,3.4007,0.036300000000000034,3.3799988968866135,3.3819267496524144,3.392571350926232,0.007199492895858306,-0.002991638011614795,0.010191130907473102,75.56270096463035,3.427348495392011,3.3112715046079892,0.03445126473492245,3.020194197891213,22.928815363148626,26.76111767020849,11.097992916174636
2014-12-19,3.4586,3.4918,3.4528,3.4765,3.4918,3.3335,3.41265,0.03680000000000004,3.3891894781355076,3.385635504568006,3.3934064618622894,0.013860012431237578,0.00037869207695567954,0.013481320354281899,77.59795570698478,3.4488572402263165,3.2987027597736835,0.0445063046353446,2.839816595178224,24.44325217493077,31.036490683229683,9.627329192546547
2014-12-22,3.4831,3.488,3.466,3.4848,3.4918,3.3335,3.41265,0.03663571428571429,3.398295242122602,3.3895243083104374,3.3943158503014708,0.019582527595067845,0.004219459180578112,0.015363068414489731,77.15030408340584,3.4693684584663305,3.28937154153367,0.05326345352318938,3.20440679973939,26.075240758823092,31.175667771495313,9.67050107233376
2014-12-23,3.4827,3.5345,3.479,3.5302,3.5345,3.3335,3.434,0.03902857142857145,3.4108576000156874,3.395041002102185,3.3956679313929987,0.027464469360518162,0.008868461216566124,0.01859600814395204,79.96953541508007,3.499464947045602,3.277725052954398,0.06543711895083482,5.146839816524684,28.890740857918733,35.02928257686671,9.077598828696896
2014-12-24,3.5313,3.5644,3.5205,3.56,3.5644,3.3354,3.4499,0.03849285714285714,3.4250616381094314,3.4015099824119033,3.3973030763542624,0.035704002431904414,0.014235569459633782,0.02146843297227063,86.57039711191338,3.5317852248350423,3.2673747751649582,0.07777738710960885,6.122935670422702,32.62969043941611,41.06513267767672,5.381332343663002
2014-12-25,3.5612,3.5612,3.5379,3.5612,3.5644,3.3363,3.4503500000000003,0.037192857142857125,3.4380271963847235,3.407772336042809,3.3989338915149165,0.04184832033761321,0.01975811963522967,0.02209020070238354,85.41748333986673,3.5585118938067515,3.261528106193249,0.0870915090273671,5.86836316071111,37.049103943932664,41.65546379873247,5.569425772997874
2014-12-26,3.5515,3.6104,3.5458,3.5902,3.6104,3.3363,3.47335,0.03958571428571427,3.452519844348083,3.414926362080346,3.4008370368729772,0.04849873100063151,0.025506241908310037,0.022992489092321475,88.11563169164891,3.5878101074720568,3.2564998925279434,0.09681332813508253,7.09023117076808,42.17396074014149,46.66185492601949,5.232767953807276
2014-12-30,3.5343,3.5506,3.5125,3.5163,3.6104,3.3363,3.47335,0.041428571428571405,3.458594144886361,3.418901798861509,3.4019859220782216,0.04726131791894339,0.02985725711043671,0.01740406080850668,73.72349955210515,3.5973979736403408,3.2638520263596593,0.09722600030043548,4.648671170500873,46.455574154547165,44.58620689655174,5.741379310344772
2014-12-31,3.5163,3.5524,3.5,3.5305,3.6104,3.3363,3.47335,0.043892857142857115,3.46544232156385,3.423278198906156,3.4032646691222195,0.04688600775045337,0.03326300723844004,0.01362300051201333,75.39705457695646,3.6081288404784475,3.270191159521552,0.09826169208670009,4.827934321090299,50.12556937845913,42.08299430431246,7.45321399511796
2015-01-01,3.5305,3.5411,3.5305,3.54,3.6104,3.3363,3.47335,0.042107142857142836,3.4725430528434833,3.4278555244392477,3.4046252196782176,0.04681548260134605,0.03597350231102125,0.0108419802903248,75.41834968263136,3.6191879732874805,3.2758520267125193,0.09958925447131887,3.173909241934081,52.77518699638386,42.34096692111963,7.769296013570799
2015-01-02,3.54,3.5888,3.5305,3.577,3.6104,3.3395,3.4749499999999998,0.044399999999999995,3.4824913335250565,3.4337043274024146,3.4063403916217183,0.04917828503322719,0.03861445885546244,0.010563826177764746,80.15041633091599,3.633947842001996,3.2830521579980037,0.10145892265548433,3.4173701861917483,55.73273646206403,47.82818532818532,7.3680823680823435
2015-01-05,3.5958,3.6191,3.577,3.5928,3.6191,3.3395,3.4793000000000003,0.04610714285714287,3.4929969208083844,3.4399433733866336,3.4081957111080694,0.05172944608346741,0.04123745630106344,0.010491989782403975,80.57818659658349,3.6502884647121063,3.2879415352878936,0.10444938534012645,3.345318567524802,59.99954596036787,50.751355538342345,7.09527498063514
2015-01-06,3.5921,3.6442,3.5817,3.637,3.6442,3.3395,3.4918500000000003,0.047964285714285716,3.5067114997790143,3.4476710842342166,3.410472370699034,0.056664635554926956,0.044322892151836144,0.012341743403090813,82.27392660110343,3.6725080993270005,3.2917619006730003,0.10934274479708574,4.367539026629941,65.20689674353814,50.60312732688009,6.820551005212187
2015-01-07,3.6359,3.6491,3.6202,3.6275,3.6491,3.3396,3.49435,0.04482142857142853,3.518215166466727,3.4547231985779727,3.412631849597551,0.059127651402310466,0.04728384400193101,0.011843807400379457,77.03744493392077,3.687074236612388,3.3042057633876127,0.10952743223695091,2.7562177780295682,68.0432196479688,46.61354581673303,7.298804780876475
2015-01-08,3.6272,3.6541,3.6207,3.6309,3.6541,3.3396,3.4968500000000002,0.04387142857142853,3.528947055374658,3.4616320927513855,3.4148036719896155,0.06065477035507749,0.04995802927256031,0.010696741082517183,75.39097078784306,3.6978886932102144,3.3210213067897856,0.10738629970192774,1.9915730337078719,70.10868668262167,42.73852165418431,7.4568544448062335
2015-01-09,3.6307,3.638,3.5947,3.5977,3.6541,3.3442,3.49915,0.044178571428571366,3.5354949548627856,3.466968089114076,3.416623535949918,0.05851157557043507,0.051668738532135265,0.006842837038299805,67.09932279909711,3.700326954580188,3.341973045419812,0.10177183850741252,1.0249354150286383,70.18639730578293,38.57720291026682,11.608730800323322
