,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2007-03-01,24.93,25.0,24.93,24.97,4600.0,0.0,0.0,0.0,0.0,24.97,24.97,24.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-02,25.02,25.26,24.95,24.96,2400.0,0.0,0.0,0.0,0.0,24.96904761904762,24.969607843137254,24.969900497512437,-0.000797720797720558,-0.0001595441595441116,-0.0006381766381764464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2400.0
2007-03-05,25.11,25.13,25.1,25.12,1100.0,0.0,0.0,0.0,0.0,24.98342403628118,24.975505574778932,24.971394024900373,0.011349907874127041,0.002142346247190119,0.009207561626936922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1300.0
2007-03-06,25.1,25.1,25.1,25.1,400.0,0.0,0.0,0.0,0.0,24.994526509016303,24.98038770910133,24.97267368634415,0.01914249549025726,0.005542376095803547,0.013600119394453714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1700.0
2007-03-07,25.08,25.08,24.99,25.0,2800.0,0.0,0.0,0.0,0.0,24.995047793871894,24.981156818548335,24.97294558996262,0.017052443104145,0.007844389497471838,0.00920805360667316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4500.0
2007-03-08,25.15,25.15,25.12,25.12,42200.0,0.0,0.0,0.0,0.0,25.006948003979332,24.9866016491935,24.97440881792319,0.024793257410134828,0.011234163080004437,0.01355909433013039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37700.0
2007-03-09,25.2,25.2,25.16,25.16,700.0,0.0,0.0,0.0,0.0,25.02152438455273,24.993401584519244,24.97625549635182,0.033766336910151296,0.01574059784603381,0.018025739064117485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38400.0
2007-03-12,25.08,25.08,25.08,25.08,200.0,0.0,0.0,0.0,0.0,25.027093490785802,24.99679760081261,24.977287779970208,0.03402995945962317,0.019398470168751684,0.014631489290871488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38200.0
2007-03-13,25.0,25.02,25.0,25.02,1100.0,0.0,0.0,0.0,0.0,25.026417920234774,24.99770749881996,24.977712777184436,0.02906237075097806,0.02133125028519696,0.007731120465781102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37100.0
2007-03-14,25.04,25.04,24.96,24.96,2000.0,0.0,0.0,0.0,0.0,25.020092404021938,24.99622877337604,24.97753653064529,0.020052865400892017,0.02107557330833597,-0.0010227079074439545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35100.0
2007-03-15,24.96,24.96,24.96,24.96,0.0,0.0,0.0,0.0,0.0,25.01436931792461,24.994808037165214,24.977362037803047,0.01276561345537175,0.019413581337743128,-0.0066479678823713785,0.0,0.0,0.0,0.0,-0.04004805766919528,0.0,0.0,0.0,0.0,35100.0
2007-03-16,24.86,24.89,24.86,24.87,4000.0,0.0,0.0,0.0,0.0,25.00061985907465,24.989913604335207,24.976293758819935,-0.0002687362279303329,0.015477117824608436,-0.01574585405253877,0.0,0.0,0.0,0.0,-0.36057692307692735,0.0,0.0,0.0,0.0,31100.0
2007-03-19,24.87,25.0,24.87,25.0,2200.0,0.0,0.0,0.0,0.0,25.000560824877063,24.99030914926324,24.976529641816754,-0.00010740066666770076,0.012360214126353209,-0.01246761479302091,0.0,0.0,0.0,0.0,-0.4777070063694322,0.0,0.0,0.0,0.0,33300.0
2007-03-20,24.88,24.88,24.85,24.85,1400.0,0.0,0.0,0.0,0.10928571428571411,24.986221698698294,24.984806829684292,24.975270640405643,-0.011945586187994905,0.007499054063483586,-0.01944464025147849,0.0,0.0,0.0,0.0,-0.9960159362549792,0.0,32.02614379084985,28.10457516339895,0.0,31900.0
2007-03-21,24.78,24.78,24.78,24.78,200.0,0.0,0.0,0.0,0.10928571428571411,24.966581536917506,24.976775189304515,24.973327648958822,-0.026668431411962956,0.0006655569683942775,-0.027333988380357235,41.284403669724846,0.0,0.0,0.0,-0.8799999999999919,0.0,32.02614379084985,32.679738562091785,0.0,31700.0
2007-03-22,24.8,24.8,24.6,24.776,17500.0,0.0,0.0,0.0,0.10142857142857105,24.948430914353935,24.968901652469043,24.971364189765204,-0.03821859867960953,-0.007111274161206484,-0.031107324518403045,41.51291512915124,0.0,0.0,0.0,-1.369426751592362,0.0,16.197183098591637,47.88732394366239,0.0,14200.0
2007-03-23,24.87,24.93,24.87,24.93,4100.0,0.0,0.0,0.0,0.10028571428571402,24.94667558917737,24.967376097470257,24.970952605787442,-0.034547435157911366,-0.01259850636054746,-0.021948928797363904,41.18738404452684,0.0,0.0,0.0,-0.9141494435612074,0.0,25.641025641025667,48.433048433048796,0.0,18300.0
2007-03-26,24.91,24.91,24.85,24.85,3100.0,0.0,0.0,0.0,0.10457142857142822,24.937468390208096,24.96277311325574,24.969749097272146,-0.03765923085848755,-0.017610651260135477,-0.02004857959835207,39.01581722319858,0.0,0.0,0.0,-0.917065390749594,0.0,24.590163934426272,47.81420765027358,0.0,15200.0
2007-03-27,24.87,24.87,24.84,24.84,200.0,0.0,0.0,0.0,0.09885714285714238,24.928185686378754,24.95795848136336,24.968458061478394,-0.04046580320670401,-0.022181681649449184,-0.018284121557254826,42.36641221374044,0.0,0.0,0.0,-0.7194244604316502,0.0,26.011560693641698,43.35260115606968,0.0,15000.0
2007-03-28,24.8,24.85,24.8,24.84,3400.0,25.26,24.6,24.93,0.09171428571428539,24.919787049580776,24.953332658564797,24.967179871811943,-0.042203535921611746,-0.026186052503881698,-0.016017483417730047,34.91379310344817,25.193414771673613,24.725185228326392,0.018759722562220114,-0.48076923076924016,0.0,22.58566978193148,49.84423676012483,4680.0,15000.0
2007-03-29,24.87,24.87,24.87,24.87,100.0,25.26,24.6,24.93,0.08814285714285701,24.91504542581118,24.9500647111701,24.966212907913317,-0.04069089305242102,-0.029087020613589563,-0.011603872438831455,34.20479302832247,25.191700926704165,24.716899073295828,0.019026855227689706,-0.36057692307692735,0.0,21.06969205834671,51.86385737439234,4455.0,15100.0
2007-03-30,24.8,24.8,24.79,24.79,200.0,25.2,24.6,24.9,0.08814285714285701,24.903136337638685,24.943787663673234,24.964459545645525,-0.045423826496190145,-0.03235438179010968,-0.013069444706080464,34.20479302832247,25.194257642265228,24.69734235773477,0.019919797502203147,-0.3216726980297624,0.0,21.06969205834671,51.86385737439234,4345.0,14900.0
2007-04-02,24.83,24.8455,24.76,24.8455,4100.0,25.2,24.6,24.9,0.08853571428571426,24.89764716262548,24.93993324548997,24.963275868574428,-0.044186964362431524,-0.034720898304574054,-0.009466066057857471,40.44882320744402,25.170124149060477,24.694025850939525,0.019095815254885615,-0.6179999999999963,0.0,24.64703509479618,45.17950786607523,4495.0,19000.0
2007-04-03,24.89,24.89,24.88,24.88,5200.0,25.2,24.6,24.9,0.08600000000000005,24.895966480470673,24.937582922137423,24.962447252966722,-0.039962220931567316,-0.03576916282997271,-0.004193058101594607,45.4954954954954,25.146446336850275,24.69570366314973,0.01808680699771362,0.12072434607643956,0.0,29.06976744186027,43.189368770764354,4735.0,24200.0
2007-04-04,24.85,24.85,24.85,24.85,500.0,25.2,24.6,24.9,0.08814285714285701,24.891588720425847,24.934148297739878,24.96132837482775,-0.03858998923010404,-0.03633332810999897,-0.002256661120105065,44.008714596949915,25.137868340586774,24.68928165941323,0.01800571299677163,0.28248587570620654,0.0,28.363047001620618,44.570502431118435,4620.0,23700.0
2007-04-05,24.77,24.77,24.77,24.77,1100.0,25.2,24.6,24.9,0.08671428571428562,24.880008842290053,24.927711109593215,24.959424609904094,-0.04345687334741655,-0.03775803715748249,-0.00569883618993406,44.49339207048451,25.10675716895548,24.685392831044528,0.016924930452328377,-0.024216984178238032,0.0,28.830313014826874,43.6573311367382,2565.0,22600.0
2007-04-09,24.93,24.96,24.9199,24.93,22700.0,25.08,24.6,24.84,0.09100000000000007,24.884769904929094,24.927800870001324,24.959131827715993,-0.03401119140687925,-0.03700866800736184,0.002997476600482593,46.26865671641791,25.056062386370556,24.713087613629448,0.013782625290611084,0.0,26.35318411142702,33.75196232339085,41.60125588697023,3665.0,45300.0
2007-04-10,24.84,24.87,24.827,24.85,30500.0,25.04,24.6,24.82,0.08764285714285716,24.881458485412036,24.92474985549147,24.958045938883,-0.032604902804955316,-0.03612791496688054,0.003523012161925222,50.0,25.018204443129747,24.727945556870253,0.011669602019834456,0.0,27.083008299370395,35.04482477587609,49.13610431947825,5180.0,14800.0
2007-04-11,24.85,25.26,24.82,24.85,172000.0,25.26,24.6,24.93,0.11407142857142867,24.878462439182318,24.921818488609453,24.956970854914015,-0.031131543896840697,-0.03512864075287257,0.003997096856031876,54.385964912280706,24.992347526080707,24.736802473919298,0.01027747516944927,0.040257648953301306,28.526649701619238,51.34627426424544,33.36881653099545,13725.0,14800.0
2007-04-12,24.78,24.78,24.7,24.7,8900.0,25.26,24.6,24.93,0.11050000000000029,24.86146601640305,24.91311972435026,24.954413930984522,-0.041588239408753225,-0.03642056048404871,-0.005167678924704516,45.97457627118643,24.99085634155462,24.712293658445383,0.011209055486794533,-0.5636070853462183,26.912083588638705,53.00581771169994,30.56884292178397,14070.0,5900.0
2007-04-13,24.66,24.71,24.6369,24.69,8300.0,25.26,24.6,24.93,0.10472142857142888,24.84513591960276,24.904369931238485,24.951782946596616,-0.05010458786499328,-0.039157365960237625,-0.010947221904755652,35.000000000000114,24.985224860954528,24.690925139045472,0.011848733120785557,-0.7237635705669487,25.61150814450698,47.063638223859165,36.559579837664295,14485.0,-2400.0
2007-04-16,24.69,24.69,24.59,24.59,22600.0,25.26,24.59,24.925,0.10615000000000054,24.820837260592974,24.8920416986409,24.948183116282223,-0.06418315616700809,-0.04416252400159172,-0.02002063216541637,34.146341463414615,25.00729424600121,24.640855753998792,0.014761415762819608,-0.8067769261799085,24.045007654753714,46.430253684139544,37.87766637507545,15415.0,-25000.0
2007-04-17,24.6,24.6,24.55,24.58,23600.0,25.26,24.55,24.905,0.10757857142857194,24.797900378631738,24.879804769282433,24.944519602687375,-0.07527966231625172,-0.050385951664523726,-0.02489371065172799,34.146341463414615,24.997338596015386,24.608811403984614,0.015664476764706455,-1.0686039725503749,22.799921187709195,45.81369098997397,39.36657592457299,16485.0,-48600.0
2007-04-18,24.52,24.56,24.46,24.55,18300.0,25.26,24.46,24.86,0.11257857142857171,24.774290818762047,24.866871248918418,24.940594034501434,-0.08550878066889567,-0.05741051746539812,-0.02809826320349755,32.94117647058832,25.011258727712786,24.564891272287213,0.018007346493246177,-1.3263665594855256,20.36415260439428,43.778948036292086,40.79055897468408,17330.0,-66900.0
