,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,24.41,24.44,24.0,24.03,4500.0,0.0,0.0,0.0,0.0,24.03,24.03,24.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,24.0,24.33,24.0,24.25,21200.0,0.0,0.0,0.0,0.0,24.05095238095238,24.038627450980393,24.03218905472637,0.01754985754985583,0.003509971509971166,0.014039886039884663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21200.0
1999-11-03,24.38,24.38,24.22,24.22,8600.0,0.0,0.0,0.0,0.0,24.06705215419501,24.045740099961556,24.034057820350984,0.02870658517381841,0.008549294242740615,0.020157290931077796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12600.0
1999-11-04,24.66,24.67,24.42,24.53,14800.0,0.0,0.0,0.0,0.0,24.111142425224056,24.06473068427679,24.038992568407195,0.061849815247594364,0.019209398443711365,0.042640416803883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27400.0
1999-11-05,24.78,24.81,24.48,24.48,75900.0,0.0,0.0,0.0,0.0,24.14627171805986,24.081015755481623,24.043380702054886,0.08312328820855797,0.031992176396680685,0.05113111181187728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48500.0
1999-11-08,24.39,24.39,24.0,24.25,161800.0,0.0,0.0,0.0,0.0,24.15615060205416,24.08764258859999,24.045436615467278,0.08049568681661867,0.041692878480668286,0.03880280833595039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-210300.0
1999-11-09,24.3,24.63,24.3,24.34,18900.0,0.0,0.0,0.0,0.0,24.173660068525194,24.0975389576745,24.048367594417854,0.08469918217260286,0.0502941392190552,0.03440504295354766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-191400.0
1999-11-10,24.3,24.59,24.22,24.41,17600.0,0.0,0.0,0.0,0.0,24.196168633427558,24.109792331883344,24.051965926811707,0.0926113317287438,0.05875757772099292,0.03385375400775088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-173800.0
1999-11-11,24.58,24.66,24.16,24.27,15600.0,0.0,0.0,0.0,0.0,24.203200192148742,24.11607498553498,24.054135420077262,0.08658681834134896,0.06432342584506413,0.022263392496284826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-189400.0
1999-11-12,24.41,24.5,24.22,24.34,51600.0,0.0,0.0,0.0,0.0,24.216228745277434,24.124856358651254,24.056979843758086,0.08646405921058076,0.06875155251816746,0.017712506692413296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137800.0
1999-11-15,24.27,25.0,24.23,24.97,84400.0,0.0,0.0,0.0,0.0,24.28801648382244,24.157999246547284,24.066064621432137,0.13563894525672637,0.08212903106587925,0.05350991419084712,0.0,0.0,0.0,0.0,3.9117769454847906,0.0,0.0,0.0,0.0,-53400.0
1999-11-16,25.0,25.08,24.83,25.06,125900.0,0.0,0.0,0.0,0.0,24.3615387234584,24.19337182511406,24.075954525696496,0.17980002184266297,0.101663229221236,0.07813679262142698,0.0,0.0,0.0,0.0,3.3402061855670073,0.0,0.0,0.0,0.0,72500.0
1999-11-17,25.0,25.11,24.88,24.97,15000.0,0.0,0.0,0.0,0.0,24.41948741646236,24.223827831972333,24.08485050056519,0.2051706656425516,0.12236471650549913,0.08280594913705247,0.0,0.0,0.0,0.0,3.0966143682906733,0.0,0.0,0.0,0.0,57500.0
1999-11-18,24.73,25.02,24.63,24.81,8300.0,0.0,0.0,0.0,0.38285714285714306,24.456679091084993,24.246814975816555,24.092065918470013,0.20994629066363402,0.13988103133712612,0.0700652593265079,0.0,0.0,0.0,0.0,1.141459437423542,0.0,26.119402985074586,15.111940298507495,0.0,49200.0
1999-11-19,24.56,24.8,24.56,24.7,61600.0,0.0,0.0,0.0,0.3692857142857144,24.47985251098166,24.26458693754924,24.09811501380862,0.20252039812272926,0.15240890469424676,0.050111493428482506,64.62882096069863,0.0,0.0,0.0,0.8986928104575131,0.0,27.079303675048322,17.021276595744727,0.0,-12400.0
1999-11-22,24.5,24.55,24.28,24.42,9700.0,0.0,0.0,0.0,0.37571428571428583,24.474152271840552,24.27068156744927,24.101317849492116,0.17205828404512147,0.15633878056442171,0.015719503480699754,53.61702127659578,0.0,0.0,0.0,0.7010309278350668,0.0,26.61596958174901,22.053231939163492,0.0,-22100.0
1999-11-23,24.2,24.45,24.13,24.2,130200.0,0.0,0.0,0.0,0.3871428571428573,24.448042531665262,24.26790974127479,24.102299761437468,0.1286813196362253,0.15080728837878243,-0.022125968742557123,49.60629921259844,0.0,0.0,0.0,-0.5751848808545623,0.0,24.907749077490728,24.169741697417006,0.0,-152300.0
1999-11-24,24.08,24.38,24.08,24.23,13500.0,0.0,0.0,0.0,0.3764285714285714,24.42727657626857,24.26642308475421,24.103570410577394,0.09562322706930004,0.13977047611688598,-0.044147249047585935,43.36283185840706,0.0,0.0,0.0,-0.7374027038099085,0.0,20.113851992409778,25.806451612903285,0.0,-138800.0
1999-11-26,24.2,24.36,24.16,24.17,7900.0,0.0,0.0,0.0,0.36714285714285716,24.402774045195375,24.26264178731287,24.104231401516923,0.06384696392348488,0.12458577367820577,-0.06073880975472089,43.17180616740091,0.0,0.0,0.0,-0.4120313143798793,0.0,17.898832684824868,26.45914396887165,0.0,-146700.0
1999-11-29,24.0,24.0,23.59,23.63,33500.0,25.11,23.59,24.35,0.37428571428571444,24.32917651708153,24.237832305457463,24.09951268110382,-0.004853492546011751,0.09869792043336227,-0.10355141297937402,37.984496124031004,25.112340890969442,23.715659109030554,0.057208232241291394,-2.9170090386195557,0.0,17.557251908396903,27.671755725190884,44025.0,-180200.0
1999-11-30,23.92,24.17,23.8,23.92,7100.0,25.11,23.59,24.35,0.3857142857142861,24.290207324978528,24.22536829347874,24.097726485271945,-0.03548942291332935,0.07186045176402395,-0.1073498746773533,42.44604316546767,25.121160692867157,23.695839307132843,0.05839446855539317,-4.205046055266304,0.0,15.740740740740753,26.851851851851876,44155.0,-173100.0
1999-12-01,24.03,24.03,23.83,23.98,47300.0,25.11,23.59,24.35,0.3735714285714291,24.260663770218667,24.215746007459966,24.096555077458294,-0.05430116980608801,0.046628127450001555,-0.10092929725608957,42.23826714801445,25.130176312544354,23.659823687455646,0.06027270445126903,-4.309656823623298,0.0,16.25239005736138,26.19502868068832,45460.0,-125800.0
1999-12-02,24.03,24.56,23.88,24.48,18700.0,25.11,23.59,24.35,0.38642857142857195,24.281552934959745,24.226108909128204,24.100370449821895,-0.02853486130547367,0.03159552969890651,-0.06013039100438018,53.354632587859435,25.139331878007155,23.676668121992847,0.05992558816840003,-1.9623548257909462,0.0,24.214417744916766,25.32347504621071,45965.0,-107100.0
1999-12-03,24.47,24.88,24.47,24.64,96600.0,25.11,23.59,24.35,0.3957142857142862,24.315690750677863,24.242339932299647,24.105739898082376,0.004741133802475872,0.026224650519620387,-0.021483516717144515,54.65838509316771,25.150328909656277,23.67667109034372,0.06036241502908459,-0.6852075775896749,0.0,29.42238267148009,24.729241877256307,50055.0,-10500.0
1999-12-06,24.58,24.98,24.58,24.66,68700.0,25.11,23.59,24.35,0.36928571428571494,24.348482107756162,24.258718758483976,24.111254923972105,0.03235348172121277,0.027450416759938867,0.004903064961273906,44.06130268199237,25.167105158527164,23.677894841472835,0.0609769809419318,-0.16194331983805377,0.0,23.791102514506733,26.49903288201158,49695.0,58200.0
