,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
2018-06-19,49.7,50.06,49.58,49.96,16588.0,0.0,0.0,0.0,0.0,49.96,49.96,49.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-20,50.45,50.889,50.45,50.58,189989.0,0.0,0.0,0.0,0.0,50.01904761904762,49.984313725490196,49.96616915422886,0.04945868945868881,0.009891737891737763,0.039566951566951045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189989.0
2018-06-21,50.77,50.85,50.2,50.27,428740.0,0.0,0.0,0.0,0.0,50.04294784580499,49.99551710880431,49.96919234672409,0.06291539841397764,0.02049646999618574,0.0424189284177919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-238751.0
2018-06-22,50.59,50.61,50.19,50.49,181638.0,0.0,0.0,0.0,0.0,50.085524241442606,50.014908594733555,49.974374512428334,0.09029127695827555,0.034455431388603706,0.05583584556967184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57113.0
2018-06-25,50.23,50.23,49.015,49.45,2509603.0,0.0,0.0,0.0,0.0,50.024998123209976,49.99275531650871,49.96915685558825,0.027747691464966806,0.03311388340387633,-0.005366191938909526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2566716.0
2018-06-26,49.72,49.78,49.35,49.532,104005.0,0.0,0.0,0.0,0.0,49.9780459209995,49.97468648056719,49.96480703612966,-0.015028595647628151,0.023485387593575435,-0.038513983241203587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2462711.0
2018-06-27,49.82,50.0,49.1,49.1,144883.0,0.0,0.0,0.0,0.0,49.89442249995193,49.94038504995672,49.956201990994046,-0.08283305312162526,0.0022216994505352967,-0.08505475257216055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2607594.0
2018-06-28,49.1,49.79,48.97,49.59,336481.0,0.0,0.0,0.0,0.0,49.86542988090889,49.926644459762336,49.95255819008864,-0.09592391805855272,-0.017407424051282306,-0.07851649400727041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2271113.0
2018-06-29,49.8,49.84,49.42,49.53,152346.0,0.0,0.0,0.0,0.0,49.83348417796519,49.911089775065776,49.94835363098328,-0.10987346844436985,-0.03590063292989982,-0.07397283551447004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2423459.0
2018-07-02,49.11,49.84,48.94,49.84,321297.0,0.0,0.0,0.0,0.0,49.83410473244469,49.908301940749475,49.947275485401356,-0.09482113933417935,-0.047684734210755725,-0.047136405123423625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2102162.0
2018-07-03,50.0,50.0,49.189,49.23,97459.0,0.0,0.0,0.0,0.0,49.77657094840234,49.881701864641656,49.94013841589488,-0.13060838986796597,-0.06426946534219778,-0.06633892452576819,0.0,0.0,0.0,0.0,-1.4611689351481272,0.0,0.0,0.0,0.0,-2199621.0
2018-07-05,49.59,50.0,49.33,49.9799,324879.0,0.0,0.0,0.0,0.0,49.79593561998307,49.88555277191061,49.940534053547665,-0.0973373366979402,-0.07088303961334627,-0.02645429708459393,0.0,0.0,0.0,0.0,-1.1864373270067174,0.0,0.0,0.0,0.0,-1874742.0
