,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,27.06,27.19,26.94,27.02,230400.0,0.0,0.0,0.0,0.0,27.02,27.02,27.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,26.81,27.0,26.72,26.77,44000.0,0.0,0.0,0.0,0.0,26.996190476190478,27.010196078431374,27.017512437810947,-0.019943019943021056,-0.003988603988604212,-0.015954415954416844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44000.0
1999-11-03,26.77,26.78,26.5,26.63,320200.0,0.0,0.0,0.0,0.0,26.961315192743765,26.99528642829681,27.0136565926586,-0.04650871340329843,-0.012492625871543057,-0.034016087531755376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-364200.0
1999-11-04,26.59,26.73,26.08,26.2,24100.0,0.0,0.0,0.0,0.0,26.888808983911026,26.96409872522635,27.005560507159508,-0.10109427137470561,-0.03021295497217557,-0.07088131640253004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-388300.0
1999-11-05,26.28,26.34,25.38,25.56,116000.0,0.0,0.0,0.0,0.0,26.76225574734807,26.909036030119434,26.991176820521105,-0.19376279375828886,-0.06292292272939823,-0.13083987102889064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-504300.0
1999-11-08,25.78,26.55,25.78,26.53,46700.0,0.0,0.0,0.0,0.0,26.740136152362542,26.894171872075535,26.98658799643632,-0.18677929655160241,-0.08769419749383907,-0.09908509905776335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-457600.0
1999-11-09,27.0,27.11,26.86,27.09,115300.0,0.0,0.0,0.0,0.0,26.773456518804203,26.901851406503948,26.987616971596157,-0.1345069919417874,-0.09705675638342874,-0.03745023555835865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342300.0
1999-11-10,27.34,27.7,27.34,27.69,258700.0,0.0,0.0,0.0,0.0,26.860746374156182,26.932759194484184,26.994605857450924,-0.04415681605726718,-0.08647676831819644,0.04231995226092926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83600.0
1999-11-11,27.72,27.72,27.52,27.69,217600.0,0.0,0.0,0.0,0.0,26.93972290995083,26.96245491234755,27.001525202152905,0.027133570360032166,-0.06375470058255071,0.09088827094258288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83600.0
1999-11-12,27.31,28.0,27.31,27.88,137100.0,0.0,0.0,0.0,0.0,27.02927310900313,26.998437072647647,27.010266244917553,0.09783534239227265,-0.03143669198758604,0.12927203437985868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53500.0
