,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,42.63,42.97,42.41,42.44,230800.0,0.0,0.0,0.0,0.0,42.44,42.44,42.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,42.44,42.94,42.14,42.25,156300.0,0.0,0.0,0.0,0.0,42.42190476190476,42.43254901960784,42.43810945273632,-0.015156695156697708,-0.0030313390313395417,-0.012125356125358167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-156300.0
1999-11-03,42.88,43.13,42.63,42.88,209200.0,0.0,0.0,0.0,0.0,42.465532879818596,42.45009611687812,42.442506373604616,0.02339753735765271,0.0022544362464589087,0.0211431011111938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52900.0
1999-11-04,43.44,43.47,42.91,43.2,409100.0,0.0,0.0,0.0,0.0,42.535482129359686,42.47950411229467,42.450043623618505,0.07886427180783784,0.017576403358734696,0.06128786844910314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462000.0
1999-11-05,44.25,44.25,43.47,43.67,898000.0,0.0,0.0,0.0,0.0,42.64353145037305,42.526190225538016,42.462182493035236,0.15891525439065646,0.04584417356511905,0.1130710808255374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360000.0
1999-11-08,43.19,44.3,43.19,44.11,377100.0,0.0,0.0,0.0,0.0,42.78319512176609,42.58830041277182,42.47857868713439,0.2549219757374104,0.08765973399957731,0.16726224173783305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1737100.0
1999-11-09,44.48,44.5,43.5,43.63,981500.0,0.0,0.0,0.0,0.0,42.86384320540741,42.62915137697685,42.49003561562061,0.2889452249323128,0.12791683218612443,0.16102839274618835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755600.0
1999-11-10,43.5,44.73,43.5,44.39,583900.0,0.0,0.0,0.0,0.0,43.009191471559085,42.69820426415423,42.508940733873146,0.3729355743023035,0.17692058060936025,0.19601499369294326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339500.0
1999-11-11,44.72,45.25,44.67,45.0,295500.0,0.0,0.0,0.0,0.0,43.198792283791555,42.788470763599165,42.5337273932376,0.4831509696856031,0.23816665842460885,0.24498431126099426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635000.0
1999-11-12,45.61,45.63,44.03,45.25,439300.0,0.0,0.0,0.0,0.0,43.39414539962093,42.8850013218894,42.56075498136459,0.5839390889211202,0.3073211445239111,0.2766179443972091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074300.0
1999-11-15,45.34,45.34,44.86,45.05,187300.0,0.0,0.0,0.0,0.0,43.551845837752275,42.969903230834916,42.585523588515194,0.640295147137877,0.37391594504670433,0.2663792020911727,0.0,0.0,0.0,0.0,6.149858623939686,0.0,0.0,0.0,0.0,1887000.0
1999-11-16,45.41,46.0,45.03,46.0,255600.0,0.0,0.0,0.0,0.0,43.785003377013965,43.0887305551159,42.61949847818171,0.7529354189927417,0.44971983983591185,0.3032155791568299,0.0,0.0,0.0,0.0,8.875739644970416,0.0,0.0,0.0,0.0,2142600.0
1999-11-17,46.19,46.38,45.5,45.56,515600.0,0.0,0.0,0.0,0.0,43.954050674441206,43.18564308236626,42.648757199791845,0.7975061685201439,0.5192771055727583,0.2782290629473856,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,1627000.0
1999-11-18,46.25,47.11,45.91,47.11,752800.0,0.0,0.0,0.0,0.9685714285714282,44.25461727687538,43.33953943207739,42.69314767541581,0.946984605688101,0.6048186055958269,0.34216600009227416,0.0,0.0,0.0,0.0,9.050925925925913,0.0,29.719764011799427,8.775811209439514,0.0,2379800.0
