,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,25.06,25.19,24.78,24.88,116900.0,0.0,0.0,0.0,0.0,24.88,24.88,24.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,24.64,25.08,24.39,24.39,276500.0,0.0,0.0,0.0,0.0,24.833333333333332,24.86078431372549,24.875124378109454,-0.039088319088318,-0.0078176638176636,-0.0312706552706544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-276500.0
1999-11-03,24.66,25.02,24.66,25.02,92300.0,0.0,0.0,0.0,0.0,24.85111111111111,24.867028066128412,24.87656592658598,-0.01901120932459932,-0.010056372919050746,-0.008954836405548575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-184200.0
1999-11-04,25.31,25.31,24.8,24.91,36700.0,0.0,0.0,0.0,0.0,24.856719576719573,24.86871324000573,24.876898603933384,-0.011839556839351673,-0.010413009703110931,-0.0014265471362407411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-220900.0
1999-11-05,25.16,25.23,24.91,25.09,55900.0,0.0,0.0,0.0,0.0,24.87893675988914,24.877391152162367,24.879019015834544,0.00827315729398137,-0.006675776303692472,0.014948933597673842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-165000.0
1999-11-08,24.91,25.06,24.81,25.06,22300.0,0.0,0.0,0.0,0.0,24.896180877994937,24.88455228345012,24.880819821647137,0.02154353836945333,-0.0010319133690633111,0.02257545173851664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-187300.0
1999-11-09,25.17,25.17,24.52,24.63,37900.0,0.0,0.0,0.0,0.0,24.870830318185895,24.87456984096188,24.87832410202876,-0.0026069441311804553,-0.00134691952148674,-0.0012600246096937152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-225200.0
1999-11-10,24.42,24.75,24.42,24.64,33400.0,0.0,0.0,0.0,0.0,24.848846478358666,24.865371023669258,24.87595271792897,-0.020700832766937793,-0.00521770217057695,-0.015483130596360844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-191800.0
1999-11-11,24.64,24.89,24.55,24.64,26600.0,0.0,0.0,0.0,0.0,24.8289563375626,24.85653294430968,24.873604929690874,-0.03464104941584267,-0.011102371619630095,-0.023538677796212576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-191800.0
1999-11-12,24.64,24.86,24.44,24.81,31500.0,0.0,0.0,0.0,0.0,24.82715097208045,24.854708122964205,24.87297204481833,-0.03160684822149662,-0.015203266940003402,-0.016403581281493218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160300.0
1999-11-15,24.7,24.88,24.59,24.7,119600.0,0.0,0.0,0.0,0.0,24.815041355691836,24.848641137749922,24.871250929944516,-0.037644361835937445,-0.01969148591919021,-0.017952875916747234,0.0,0.0,0.0,0.0,-0.7234726688102877,0.0,0.0,0.0,0.0,-279900.0
1999-11-16,24.81,25.17,24.81,25.17,41100.0,0.0,0.0,0.0,0.0,24.848846940864043,24.861243446073455,24.874223557507257,-0.00445273447590111,-0.016643735630532393,0.012191001154631283,0.0,0.0,0.0,0.0,3.1980319803198043,0.0,0.0,0.0,0.0,-238800.0
1999-11-17,25.0,25.25,25.0,25.05,45300.0,0.0,0.0,0.0,0.0,24.868004375067468,24.868645663874496,24.875972576835544,0.012030195615022166,-0.010908949381421482,0.022939144996443648,0.0,0.0,0.0,0.0,0.11990407673860837,0.0,0.0,0.0,0.0,-284100.0
1999-11-18,24.98,25.27,24.86,25.17,99900.0,0.0,0.0,0.0,0.4285714285714283,24.89676586315628,24.880463480977458,24.878898222837183,0.03437972550830537,-0.0018512144034761122,0.03623093991178148,0.0,0.0,0.0,0.0,1.0437575270975552,0.0,13.66666666666668,18.83333333333333,0.0,-184200.0
1999-11-19,25.11,25.19,24.83,25.0,20800.0,0.0,0.0,0.0,0.42499999999999993,24.906597685712825,24.885151187605793,24.880103215644773,0.037936995646823846,0.00610642760658388,0.03183056804023997,51.973684210526336,0.0,0.0,0.0,-0.35870864886409226,0.0,13.781512605042023,19.495798319327736,0.0,-205000.0
1999-11-22,24.95,25.38,24.94,25.27,39600.0,0.0,0.0,0.0,0.4071428571428571,24.94120742993065,24.900243297895763,24.88398278563836,0.06183016175937439,0.017251174437141983,0.04457898732223241,65.60283687943259,0.0,0.0,0.0,0.8379888268156499,0.0,17.719298245614002,13.508771929824556,0.0,-165400.0
1999-11-23,25.31,25.45,25.11,25.2,33000.0,0.0,0.0,0.0,0.38642857142857145,24.965854341365826,24.911998462684164,24.887127235532507,0.07426121598705038,0.028653182747123664,0.04560803323992671,53.98230088495574,0.0,0.0,0.0,2.3142509135200884,0.0,19.96303142329017,14.23290203327171,0.0,-198400.0
1999-11-24,25.38,25.5,25.16,25.5,41400.0,0.0,0.0,0.0,0.37428571428571444,25.01672535647384,24.93505734650047,24.89322547199487,0.107085988205462,0.044339743838791336,0.06274624436667067,62.04081632653058,0.0,0.0,0.0,3.490259740259738,0.0,16.03053435114503,14.694656488549604,0.0,-157000.0
1999-11-26,25.64,25.64,25.25,25.25,17200.0,0.0,0.0,0.0,0.37928571428571445,25.03894198919062,24.94740803879457,24.896775467298404,0.11164002925173477,0.057799800921380026,0.05384022833035475,53.17460317460316,0.0,0.0,0.0,2.475649350649345,0.0,18.455743879472696,14.500941619585674,0.0,-174200.0
1999-11-29,25.06,25.36,24.97,25.23,34200.0,25.64,24.39,25.015,0.3871428571428573,25.057137990220085,24.9584900764889,24.90009113429046,0.11234031748739781,0.06870790423458359,0.04363241325281422,53.38645418326696,25.534888235616048,24.42611176438395,0.04438567967943386,1.692865779927466,0.0,18.08118081180812,17.52767527675275,61105.0,-208400.0
1999-11-30,25.3,25.3,24.91,24.91,23500.0,25.64,24.39,25.015,0.3685714285714286,25.04312484829436,24.956588504861884,24.900189729969163,0.08608167929611099,0.07218265924688907,0.013899020049221916,55.83333333333334,25.535404772391118,24.42859522760888,0.044304280873518426,0.8502024291497934,0.0,18.992248062015513,13.953488372092998,56435.0,-231900.0
1999-12-01,24.73,24.95,24.59,24.81,37500.0,25.64,24.42,25.03,0.37071428571428583,25.020922481790137,24.95083993604377,24.899292319720715,0.05655047639072919,0.0690562226756571,-0.012505746284927913,53.41365461847385,25.489668589277628,24.516331410722373,0.03892881568432808,-1.430274135876053,0.0,18.882466281310215,18.111753371869,44485.0,-269400.0
1999-12-02,24.72,24.94,24.63,24.94,64600.0,25.64,24.42,25.03,0.3685714285714288,25.013215578762505,24.950414840512643,24.899697371265784,0.043139414554424604,0.0638728610514106,-0.020733446496985997,55.72519083969466,25.48639479296616,24.51160520703384,0.038993143163019356,-0.43912175648702645,0.0,16.279069767441847,18.217054263565906,43100.0,-204800.0
1999-12-03,24.8,25.36,24.8,25.11,93100.0,25.64,24.42,25.03,0.3785714285714289,25.022433142689884,24.95667308206117,24.901789934735778,0.04570180867635898,0.06023865057640028,-0.0145368419000413,55.72519083969466,25.496912848128048,24.521087151871953,0.039018981017077646,-0.23837902264601807,0.0,23.773584905660318,15.660377358490587,45920.0,-111700.0
1999-12-06,24.88,24.92,24.31,24.39,44700.0,25.64,24.31,24.975,0.4150000000000004,24.962201414814658,24.93445060825485,24.89669749757423,-0.010247333349777676,0.04614145379116469,-0.056388787140942365,45.20123839009291,25.53273541426859,24.415264585731403,0.04474536832454499,-2.4399999999999977,0.0,21.34251290877792,22.719449225473365,45360.0,-156400.0
1999-12-07,24.47,24.47,23.75,24.0,44600.0,25.64,23.75,24.695,0.432857142857143,24.87056318483231,24.897805486362504,24.887775134414287,-0.08507646361698207,0.01989787030953534,-0.10497433392651741,31.42857142857143,25.627060978431153,24.214939021568846,0.05666393631324215,-5.025722200237437,0.0,15.6765676567656,31.02310231023106,46475.0,-201000.0
1999-12-08,23.83,23.94,23.5,23.63,34600.0,25.64,23.5,24.57,0.4507142857142859,24.752414310086376,24.84808762415221,24.87525995894748,-0.17224941224665002,-0.01853158620170173,-0.1537178260449483,29.11764705882355,25.77711722257809,23.964882777421906,0.07286536307973888,-6.23015873015873,14.48343343757065,13.787638668779667,33.75594294770209,46310.0,-235600.0
1999-12-09,23.56,23.8,23.28,23.59,50700.0,25.64,23.28,24.46,0.4585714285714287,24.641708185316244,24.798750854577616,24.86247130263955,-0.24177523339813334,-0.06318031564098806,-0.17859491775714528,26.20481927710844,25.887927293855036,23.749072706144965,0.08617984921369426,-7.490196078431377,16.45550898107478,13.551401869158836,34.423676012461065,47175.0,-286300.0
1999-12-10,23.78,23.78,23.47,23.72,56700.0,25.64,23.28,24.46,0.45500000000000007,24.55392645338136,24.75644689949614,24.851103428981446,-0.28312138691114086,-0.10716852989501863,-0.17595285701612223,30.487804878048763,25.94812749202288,23.59687250797712,0.09491391599740678,-6.059405940594065,18.29687344539007,13.6577708006279,34.222919937205646,48680.0,-229600.0
1999-12-13,23.34,23.55,23.03,23.22,58800.0,25.64,23.03,24.335,0.4728571428571429,24.426885838773615,24.696194079908057,24.83487354411596,-0.35217468226280246,-0.1561697603685754,-0.19600492189422705,20.797720797720814,26.057776442074715,23.328223557925288,0.11053954092858005,-7.966706302021409,21.532925782566007,10.271903323262833,39.57703927492443,50045.0,-288400.0
1999-12-14,22.88,23.38,22.86,23.19,81200.0,25.64,22.86,24.25,0.48571428571428577,24.30908718746184,24.63712764540186,24.818506643179486,-0.4046560426407382,-0.20586701682300798,-0.1987890258177302,21.03746397694526,26.13874429679336,23.09625570320664,0.12359047805775233,-6.904857486953031,24.915846518427923,8.970588235294109,41.02941176470587,48125.0,-369600.0
1999-12-15,23.34,23.63,23.08,23.59,88600.0,25.64,22.86,24.25,0.5007142857142858,24.240602693417856,24.596063816170417,24.806282696481183,-0.40925362079848426,-0.24654433761810324,-0.16270928318038103,23.249299719887944,26.102439358092084,22.974560641907914,0.12746821183789436,-4.9173720274082955,28.533858940788175,11.554921540656187,39.800285306704694,50500.0,-281000.0
1999-12-16,23.36,23.36,22.91,23.0,64100.0,25.64,22.86,24.25,0.5214285714285715,24.12245005594949,24.533473078281382,24.788309734327143,-0.45525738008676697,-0.28828694611183603,-0.16697043397493094,21.227621483375927,26.122683447666333,22.749316552333667,0.13804906266707587,-7.778668805132327,32.18281604429073,9.178082191780796,40.547945205479415,51440.0,-345100.0
1999-12-17,23.0,23.22,22.88,23.0,1213100.0,25.64,22.86,24.25,0.5178571428571429,24.015550050620966,24.473336879133093,24.770515607617423,-0.4861120931463958,-0.327851975518748,-0.1582601176276478,21.336760925449838,26.09272996861748,22.562270031382514,0.14512218424560544,-8.40302668259657,36.38286071862795,9.2413793103448,37.379310344827545,107100.0,-345100.0
1999-12-20,22.77,22.95,22.5,22.7,905900.0,25.64,22.5,24.07,0.5257142857142857,23.890259569609444,24.403794256421993,24.749913462267997,-0.5286778986130969,-0.3680171601376178,-0.16066073847547907,21.44702842377258,26.089405347696186,22.33559465230381,0.15503606382622095,-6.929069290692913,39.84640829982259,9.103260869565192,41.168478260869534,151355.0,-1251000.0
1999-12-21,22.77,22.77,22.39,22.48,1212300.0,25.64,22.39,24.015,0.527142857142857,23.755949134408546,24.328351344405444,24.72732725866334,-0.5735522145928442,-0.4091241710286631,-0.16442804356418111,20.80200501253131,26.031905172203146,22.114094827796855,0.16274707532946833,-6.333333333333336,44.097926242243126,9.078590785907837,38.21138211382111,209990.0,-2463300.0
1999-12-22,22.7,23.09,22.63,22.92,750600.0,25.64,22.39,24.015,0.5485714285714283,23.676334931131542,24.273121879918957,24.709343902855746,-0.5670742317895936,-0.4407141831808492,-0.1263600486087444,26.511627906976713,25.907093805155245,22.010906194844754,0.1626189578158726,-3.0046550994498378,47.127463280450414,12.890624999999986,36.71874999999998,245870.0,-1712700.0
1999-12-23,23.13,23.47,23.13,23.31,431000.0,25.64,22.39,24.015,0.5478571428571425,23.641445890071395,24.23535239443194,24.695420082926834,-0.5244253936185039,-0.45745642526838015,-0.06696896835012378,30.088495575221202,25.67523964824066,22.02376035175934,0.15310506704464746,-1.1869436201780492,49.20088894734253,12.385919165580182,36.76662320730116,265350.0,-1281700.0
1999-12-27,23.53,23.75,23.17,23.47,2693700.0,25.36,22.39,23.875,0.5321428571428566,23.625117710064597,24.20533857504245,24.683226848270845,-0.47227117119251005,-0.4604193744532062,-0.011851796739303866,38.383838383838345,25.468530259808382,22.05246974019162,0.14377056541809993,-1.0539629005059004,51.18473726194924,16.51006711409398,31.275167785234864,399175.0,1412000.0
1999-12-28,23.42,23.56,23.17,23.28,75700.0,25.36,22.39,23.875,0.5085714285714279,23.592249356725112,24.169050787785885,24.669264392069145,-0.44118428842351065,-0.4565723572472671,0.015388068823756429,40.42553191489361,25.23504660437146,22.090953395628542,0.13286959425021833,0.25839793281654533,50.123152203897725,17.27528089887643,24.85955056179773,401250.0,1336300.0
1999-12-29,23.25,23.42,22.94,23.0,62800.0,25.36,22.39,23.875,0.5071428571428565,23.535844656084624,24.123205658853106,24.65265479612816,-0.4341369097478207,-0.45208526774737784,0.01794835799955713,41.41689373297002,25.05009906920248,22.084900930797524,0.12581725420197123,-0.8193186718413181,48.369556806007004,17.32394366197186,24.647887323943646,403215.0,1273500.0
