,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,30.0,30.22,29.97,30.22,25900.0,0.0,0.0,0.0,0.0,30.22,30.22,30.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,30.02,30.39,29.91,29.94,88300.0,0.0,0.0,0.0,0.0,30.19333333333333,30.209019607843135,30.217213930348258,-0.02233618233618273,-0.004467236467236547,-0.017868945868946183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88300.0
1999-11-03,29.8,29.8,29.5,29.59,4400.0,0.0,0.0,0.0,0.0,30.135873015873013,30.18474432910419,30.210972995717928,-0.06750172482366068,-0.017074134138521376,-0.0504275906851393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92700.0
1999-11-04,29.78,29.78,29.31,29.44,10700.0,0.0,0.0,0.0,0.0,30.06959939531368,30.15553866913932,30.20330162262621,-0.11408439515061986,-0.036476186340941075,-0.07760820880967878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103400.0
1999-11-05,29.84,29.91,29.58,29.69,76800.0,0.0,0.0,0.0,0.0,30.033447071950473,30.137282250741702,30.198194143794108,-0.12933766227116195,-0.05504848152698525,-0.0742891807441767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26600.0
1999-11-08,29.69,29.88,29.63,29.88,15400.0,0.0,0.0,0.0,0.0,30.018833065098047,30.127192750712616,30.195028032910585,-0.12465759904912588,-0.06897030503141338,-0.055687294017712496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11200.0
1999-11-09,29.67,29.67,29.39,29.44,3900.0,0.0,0.0,0.0,0.0,29.963706106517282,30.100244015390555,30.187515316165207,-0.15466999852987584,-0.08611024373110587,-0.06855975479876997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15100.0
1999-11-10,29.34,29.59,29.34,29.56,23300.0,0.0,0.0,0.0,0.0,29.92525790589659,30.079057975571317,30.181271382671028,-0.16684871608852703,-0.10225793820259012,-0.06459077788593691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8200.0
1999-11-11,29.53,29.61,29.41,29.47,5700.0,0.0,0.0,0.0,0.0,29.881900010096913,30.055173349078323,30.174194055480275,-0.18166852367905406,-0.11814005529788292,-0.06352846838117114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0
1999-11-12,29.72,29.72,29.39,29.56,3800.0,0.0,0.0,0.0,0.0,29.85124286627816,30.03575478636937,30.168082671843656,-0.1840297002963709,-0.13131798429758051,-0.052711715998790376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6300.0
1999-11-15,29.45,29.5,29.31,29.42,14800.0,0.0,0.0,0.0,0.0,29.81017211710881,30.011607539845084,30.160639063168595,-0.19495051160285826,-0.14404448975863607,-0.05090602184422219,0.0,0.0,0.0,0.0,-2.6472534745201726,0.0,0.0,0.0,0.0,-8500.0
1999-11-16,29.53,29.53,29.36,29.36,7300.0,0.0,0.0,0.0,0.0,29.767298582146065,29.986054302988414,30.152672505326123,-0.20607136933184123,-0.15644986567327712,-0.0496215036585641,0.0,0.0,0.0,0.0,-1.9372077488310047,0.0,0.0,0.0,0.0,-15800.0
1999-11-17,29.42,29.8,29.42,29.58,13500.0,0.0,0.0,0.0,0.0,29.749460621941676,29.970130604832008,30.146974271442282,-0.19488604283082367,-0.16413710110478644,-0.030748941726037232,0.0,0.0,0.0,0.0,-0.03379520108145462,0.0,0.0,0.0,0.0,-2300.0
1999-11-18,29.61,29.66,29.36,29.36,10700.0,0.0,0.0,0.0,0.34214285714285736,29.712369134137706,29.94620391444644,30.13914368167669,-0.20145154437184232,-0.17159998975819762,-0.029851554613644693,0.0,0.0,0.0,0.0,-0.27173913043478937,0.0,15.240083507306887,21.503131524008438,0.0,-13000.0
1999-11-19,29.13,29.38,29.13,29.38,13100.0,0.0,0.0,0.0,0.34214285714285736,29.680714930886495,29.923999839370108,30.131590013202295,-0.20270427014475345,-0.1778208458355088,-0.024883424309244645,33.96946564885488,0.0,0.0,0.0,-1.044122600202091,0.0,15.240083507306887,26.304801670146226,0.0,100.0
1999-11-22,29.2,29.28,28.98,29.05,35300.0,0.0,0.0,0.0,0.33642857142857147,29.620646842230638,29.8897253358654,30.120827923518693,-0.2277005166033632,-0.1877967799890797,-0.03990373661428351,33.33333333333324,0.0,0.0,0.0,-2.777777777777768,0.0,11.889596602972372,29.936305732484154,0.0,-35200.0
1999-11-23,28.88,28.94,28.73,28.75,32400.0,0.0,0.0,0.0,0.32785714285714285,29.53772809535153,29.845030224654995,30.10718784467771,-0.26862121663101135,-0.20396166731746604,-0.06465954931354531,33.96946564885488,0.0,0.0,0.0,-2.34375,0.0,12.200435729847468,27.233115468409665,0.0,-67600.0
1999-11-24,28.7,28.7,28.55,28.59,18800.0,0.0,0.0,0.0,0.30857142857142833,29.447468276746623,29.7958133530999,30.092091448213257,-0.3103839164631417,-0.22524611714660117,-0.0851377993165405,33.84030418250941,0.0,0.0,0.0,-3.2814614343707693,0.0,12.962962962962942,28.703703703703777,0.0,-86400.0
1999-11-26,28.75,29.06,28.75,28.92,2500.0,0.0,0.0,0.0,0.30857142857142833,29.397233202770753,29.761467731409706,30.0804288467385,-0.31324205546024686,-0.2428453048093303,-0.07039675065091655,35.79335793357929,0.0,0.0,0.0,-1.8663047166610047,0.0,18.28703703703703,28.703703703703777,0.0,-83900.0
