,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,28.3,28.3,28.13,28.19,22400.0,0.0,0.0,0.0,0.0,28.19,28.19,28.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,28.28,28.33,27.8,27.83,19900.0,0.0,0.0,0.0,0.0,28.155714285714286,28.17588235294118,28.186417910447762,-0.028717948717950748,-0.00574358974359015,-0.0229743589743606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19900.0
1999-11-03,28.03,28.03,27.73,27.95,7400.0,0.0,0.0,0.0,0.0,28.13612244897959,28.167024221453293,28.18406549342838,-0.04131784644605219,-0.012858441084082557,-0.028459405361969628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12500.0
1999-11-04,28.13,28.38,28.13,28.27,8800.0,0.0,0.0,0.0,0.0,28.148872691933917,28.171062487278654,28.184920563145514,-0.025191637014266632,-0.015325080270119373,-0.00986655674414726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3700.0
1999-11-05,28.66,28.66,28.14,28.14,23600.0,0.0,0.0,0.0,0.0,28.148027673654497,28.16984435052263,28.184473592367947,-0.022640428633074805,-0.01678814994271046,-0.0058522786903643445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27300.0
1999-11-08,28.0,28.25,28.0,28.19,16600.0,0.0,0.0,0.0,0.0,28.152025038068356,28.170634768149196,28.184528581498615,-0.016395004076496633,-0.016709520769467696,0.00031451669297106327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10700.0
1999-11-09,28.31,28.33,27.94,28.0,10000.0,0.0,0.0,0.0,0.0,28.13754646301423,28.163943208613933,28.18269247621007,-0.0264717226822917,-0.0186619611520325,-0.0078097615302591995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20700.0
1999-11-10,27.67,28.19,27.67,28.17,21300.0,0.0,0.0,0.0,0.0,28.14063727606049,28.16418072984476,28.18256618291445,-0.020503662072218987,-0.019030301336069796,-0.0014733607361491902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0
1999-11-11,28.42,28.59,28.34,28.5,8000.0,0.0,0.0,0.0,0.0,28.174862297388064,28.1773501129881,28.18572472835809,0.010730615181508085,-0.013078118032554221,0.023808733214062308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0
1999-11-12,28.89,29.13,28.53,29.06,33500.0,0.0,0.0,0.0,0.0,28.259161126208248,28.211963834047392,28.194423984792337,0.07975199348364015,0.005487904270684653,0.07426408921295549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42100.0
1999-11-15,29.0,29.34,29.0,29.19,15700.0,0.0,0.0,0.0,0.0,28.347812447521747,28.250318193496515,28.20433021379938,0.1432900876692571,0.033048340950399144,0.11024174671885796,0.0,0.0,0.0,0.0,3.5473572188719382,0.0,0.0,0.0,0.0,57800.0
