,open,high,low,close,volume,dc_high,dc_low,dc_mid,atr,ema20,ema50,ema200,macd,macd_signal,macd_hist,rsi,bb_upper,bb_lower,bb_width,roc10,adx,plus_di,minus_di,volume_ma20,obv
1999-11-01,28.5,28.63,28.19,28.19,12700.0,0.0,0.0,0.0,0.0,28.19,28.19,28.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,28.05,28.55,27.98,27.98,3300.0,0.0,0.0,0.0,0.0,28.17,28.181764705882355,28.187910447761197,-0.016752136752138824,-0.003350427350427765,-0.01340170940171106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3300.0
1999-11-03,28.06,28.09,27.75,27.75,3100.0,0.0,0.0,0.0,0.0,28.130000000000003,28.164832756632066,28.183553129873026,-0.04803370102515814,-0.01228708208537384,-0.0357466189397843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6400.0
1999-11-04,27.94,28.13,27.94,28.09,18600.0,0.0,0.0,0.0,0.0,28.126190476190477,28.161898138724926,28.18262225295887,-0.04487214937552508,-0.01880409554340409,-0.026068053832120994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12200.0
1999-11-05,28.36,28.5,28.2,28.28,7000.0,0.0,0.0,0.0,0.0,28.140839002267573,28.166529584265124,28.18359118576525,-0.02672709153748798,-0.020388694742220867,-0.006338396795267112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19200.0
1999-11-08,28.22,28.38,28.19,28.19,2500.0,0.0,0.0,0.0,0.0,28.145521002051613,28.167449992725317,28.18365495506112,-0.01938578307136396,-0.020188112408049488,0.0008023293366855276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16700.0
1999-11-09,28.06,28.06,27.78,27.89,11900.0,0.0,0.0,0.0,0.0,28.121185668522887,28.156569600853736,28.180733015209764,-0.037344748995952415,-0.023619439725630076,-0.013725309270322339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0
1999-11-10,28.08,28.2,28.0,28.0,7500.0,0.0,0.0,0.0,0.0,28.10964417628261,28.150429616506532,28.178934676749968,-0.04221465393406376,-0.027338482567316816,-0.014876171366746946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12300.0
1999-11-11,28.06,28.22,28.03,28.06,5700.0,0.0,0.0,0.0,0.0,28.10491615949379,28.146883357035687,28.177751247130566,-0.04076270305726837,-0.03002332666530713,-0.01073937639196124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0
1999-11-12,28.56,28.72,28.22,28.72,7900.0,0.0,0.0,0.0,0.0,28.163495572875334,28.169358519504875,28.183146757109366,0.013488970171643189,-0.021320867297917066,0.034809837469560255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25900.0
1999-11-15,28.47,29.03,28.47,28.77,6200.0,0.0,0.0,0.0,0.0,28.22125789926816,28.19291308736743,28.188986092859523,0.059828725890344714,-0.005090948660264711,0.06491967455060943,0.0,0.0,0.0,0.0,2.0574671869457273,0.0,0.0,0.0,0.0,32100.0
1999-11-16,28.88,29.13,28.69,28.89,5100.0,0.0,0.0,0.0,0.0,28.28494762314738,28.220249829039297,28.19596135561714,0.1050256430387222,0.016932369679532672,0.08809327335918953,0.0,0.0,0.0,0.0,3.2523230879199394,0.0,0.0,0.0,0.0,37200.0
1999-11-17,28.97,29.09,28.63,28.64,13500.0,0.0,0.0,0.0,0.0,28.318762135228585,28.236710620057366,28.200379650586125,0.11929643974427862,0.037405183692481865,0.08189125605179676,0.0,0.0,0.0,0.0,3.207207207207219,0.0,0.0,0.0,0.0,23700.0
1999-11-18,28.83,28.83,28.61,28.77,2200.0,0.0,0.0,0.0,0.4007142857142852,28.36173716996872,28.257623929074725,28.206047514759398,0.13948813015752748,0.057821772985490995,0.08166635717203649,0.0,0.0,0.0,0.0,2.420790316838728,0.0,26.381461675579366,16.755793226381506,0.0,25900.0
1999-11-19,28.67,28.72,28.45,28.5,14700.0,0.0,0.0,0.0,0.3921428571428568,28.374905058543128,28.26712887303258,28.20897241511005,0.13217976076440152,0.0726933705412731,0.05948639022312842,55.14950166112955,0.0,0.0,0.0,0.7779349363507659,0.0,26.95810564663027,20.03642987249549,0.0,11200.0
1999-11-22,28.13,28.22,28.09,28.17,2100.0,0.0,0.0,0.0,0.38071428571428534,28.35539029106283,28.26331989761954,28.208584629885078,0.0986227219434106,0.07787924082170061,0.020743481121709983,53.035143769968066,0.0,0.0,0.0,-0.07094714437744232,0.0,27.767354596622923,23.452157598499085,0.0,9100.0
1999-11-23,28.09,28.13,27.89,28.06,10100.0,0.0,0.0,0.0,0.37642857142857117,28.327257882390178,28.255346568301125,28.20710617585637,0.062432760223906314,0.07478994470214176,-0.012357184478235445,55.14950166112955,0.0,0.0,0.0,0.6095374686267307,0.0,28.083491461100596,23.149905123339654,0.0,-1000.0
1999-11-24,28.0,28.28,27.95,28.22,4200.0,0.0,0.0,0.0,0.3728571428571428,28.317042845972065,28.253960428367748,28.20723447261402,0.046130849928296414,0.06905812574737269,-0.022927275819076276,52.296819787985854,0.0,0.0,0.0,0.7857142857142785,0.0,30.459770114942597,23.371647509578526,0.0,3200.0
1999-11-26,28.22,28.56,28.22,28.56,6700.0,0.0,0.0,0.0,0.36785714285714277,28.340181622546154,28.265961980196465,28.210744577364128,0.05995549741830786,0.06723760008155973,-0.007282102663251869,54.69798657718117,0.0,0.0,0.0,1.781895937277267,0.0,29.126213592233015,23.6893203883495,0.0,9900.0
1999-11-29,28.47,28.88,28.47,28.81,8900.0,29.13,27.75,28.439999999999998,0.3835714285714286,28.384926229922712,28.287296804502486,28.21670731788787,0.0900465403530113,0.07179938813585005,0.01824715221716125,59.87261146496811,29.02364156758279,27.630358432417207,0.049185693337295944,0.3133704735376108,0.0,33.89199255121043,22.532588454376178,7695.0,18800.0
1999-11-30,28.86,28.97,28.41,28.41,6900.0,29.13,27.75,28.439999999999998,0.39428571428571424,28.387314208025312,28.292108694521996,28.218630628157644,0.08068714048301473,0.07357693860528298,0.007110201877731745,58.02469135802468,29.0324774635425,27.643522536457503,0.049013865730997086,-1.2513034410844615,0.0,34.60144927536232,14.49275362318842,7405.0,11900.0
1999-12-01,28.75,28.86,28.67,28.75,8800.0,29.13,27.75,28.439999999999998,0.4042857142857143,28.421855712022904,28.31006521630545,28.223917885588914,0.09955727288705774,0.07877300546163794,0.020784267425419792,60.80691642651297,29.07278412228585,27.680215877714158,0.049074700705572974,-0.48459674627898686,0.0,31.272084805653698,14.13427561837457,7680.0,20700.0
1999-12-02,28.63,28.63,28.39,28.63,157100.0,29.13,27.78,28.455,0.4142857142857143,28.44167897754453,28.322611678411118,28.227958503642757,0.10363435926757703,0.08374527622282577,0.01988908304475126,58.07365439093484,29.05890178736065,27.782098212639358,0.04492544377197065,-0.034916201117318746,0.0,30.17241379310345,18.620689655172445,15380.0,-136400.0
1999-12-03,28.89,29.19,28.88,28.95,8800.0,29.19,27.78,28.485,0.40714285714285736,28.49009050349267,28.347215142002838,28.235142996143825,0.1311747049016887,0.09323116195859836,0.03794354294309034,53.6050156739812,29.12365229502864,27.803347704971358,0.046385883326269896,0.6256517205422307,0.0,31.754385964912302,18.947368421052655,14890.0,-127600.0
1999-12-06,28.97,29.22,28.75,29.0,11900.0,29.22,27.78,28.5,0.4007142857142857,28.538653312683845,28.372814548198807,28.242753513595133,0.15524563433124428,0.10563405643312755,0.049611577898116724,53.6050156739812,29.195094406926458,27.803905593073544,0.04881449898604935,1.7543859649122862,0.0,26.737967914438503,21.56862745098041,15135.0,-115700.0
1999-12-07,28.78,28.91,28.52,28.52,6400.0,29.22,27.78,28.5,0.40357142857142875,28.536876806713956,28.378586526700815,28.24551218510165,0.13404484531643845,0.11131621420978974,0.022728631106648717,44.78873239436618,29.196167162116087,27.83583283788391,0.04770424758844779,1.2424565140219945,0.0,24.77876106194693,25.486725663716825,15330.0,-122100.0
1999-12-08,28.44,28.69,28.25,28.36,11000.0,29.22,27.89,28.555,0.4021428571428573,28.52003139655072,28.377857643300782,28.246651367339446,0.10314343118442082,0.10968165760471596,-0.00653822642029514,45.953757225433506,29.158309553221258,27.920690446778735,0.043365129257433487,1.0691375623663513,17.616711925769298,24.86678507992898,29.307282415630514,15285.0,-133100.0
1999-12-09,29.23,29.23,28.22,28.31,18200.0,29.23,27.89,28.560000000000002,0.45857142857142896,28.500028406403032,28.375196559249773,28.247281701992787,0.07376889383102281,0.10249910484997733,-0.028730211018954524,43.19526627218934,29.130956869730255,27.979043130269744,0.04034017648259538,0.3189227498228142,16.643099340239225,30.218068535825537,25.38940809968844,15820.0,-151300.0
1999-12-10,28.94,29.09,28.91,29.09,16100.0,29.23,27.89,28.560000000000002,0.4914285714285719,28.556216177221792,28.403228066730176,28.25566695868938,0.11213620623128406,0.10442652512623868,0.007709681105045385,57.5835475578406,29.18028796744002,28.03271203255998,0.040115915434605354,1.855742296918761,16.57554998536805,28.19767441860464,21.366279069767405,16340.0,-135200.0
1999-12-13,29.38,29.97,29.38,29.97,4400.0,29.97,27.89,28.93,0.5250000000000004,28.69086225558162,28.46467010332899,28.272724998901424,0.211117591089252,0.12576473831884136,0.08535285277041063,70.27027027027022,29.50653774463257,27.83146225536743,0.05842811012819212,4.026379729260676,19.081731553708835,38.36734693877549,15.102040816326515,16165.0,-130800.0
1999-12-14,29.91,30.0,29.56,29.58,20900.0,30.0,27.89,28.945,0.5364285714285718,28.775542040764325,28.508408530649422,28.28573271035514,0.2551500995553049,0.15164181056613407,0.1035082889891708,66.10169491525423,29.640701261529262,27.778298738470742,0.0648706011271015,4.118268215417098,22.079311200224648,37.94940079893475,12.117177097203722,16900.0,-151700.0
